匕 bi3 "dagger; ladle"
刁 diao1 "artful; wicked"
丈 zhang4 "to measure; husband; polite appellation for an older male"
巾 jin1 "towel; general purpose cloth; kangxi radical 50"
乞 qi3 "to beg"
乂 yi4 "to regulate; to govern; to control; to mow"
弓 gong1 "a bow (weapon); to bend; to arch (one's back etc)"
习 xi2 "(bound form) to practice; to study; habit; custom"
兀 wu4 "cut off the feet; rising to a height; towering; bald"
尢 wang1 lame
丐 gai4 "to beg for alms; beggar"
历 li4 "calendar; to experience; to undergo; to pass through; all; each; every; history"
歹 dai3 "bad; wicked; evil; kangxi radical 78"
屯 zhun1 "difficult; stingy"
屯 tun2 "to station (soldiers); to store up; village"
弋 yi4 "to shoot"
曰 yue1 "to speak; to say"
冈 gang1 "ridge; mound"
壬 ren2 "ninth in order; nona"
夭 yao1 "tender; gentle; to die prematurely; to die young; to die prematurely"
仆 pu2 servant
仆 pu1 "to fall forward; to fall prostrate"
斤 jin1 "catty; (prc) weight equal to 500 g; (hk, malaysia, singapore) slightly over 604 g"
仑 lun2 "to arrange; kunlun (karakorum) mountain range in xinjiang"
乏 fa2 "short of; tired"
匀 yun2 "even; well-distributed; uniform; to distribute evenly; to share"
凤 feng4 phoenix
亢 kang4 "kang, one of the 28 constellations; high; overbearing; excessive"
冗 rong3 "extraneous; redundant; superfluous; busy schedule"
讥 ji1 "to ridicule"
允 yun3 "just; fair; to permit; to allow"
予 yu2 me
予 yu3 "(literary) to give"
幺 yao1 "youngest; most junior; tiny; one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military); one or ace on dice or dominoes"
刊 kan1 "to print; to publish; publication; periodical; to peel with a knife; to carve; to amend; to peel with a knife; to carve; to amend"
卉 hui4 plants
廿 nian4 twenty
厉 li4 "strict; severe"
夯 hang1 "to tamp; (slang) popular; hot"
戊 wu4 "fifth in order; penta"
轧 ga2 "to crush together (in a crowd); to make friends; to check (accounts)"
轧 zha2 "to roll (steel)"
轧 ya4 "to crush; to knock sb down with a vehicle"
凸 tu1 "to stick out; protruding; convex; male (connector etc)"
旦 dan4 "(literary) dawn; daybreak; dan, female role in chinese opera (traditionally played by specialized male actors)"
申 shen1 "to extend; to state; to explain"
叭 ba1 "denote a sound or sharp noise (gunfire etc)"
央 yang1 "center; end; to beg; to plead"
叽 ji1 grumble
叩 kou4 "to knock; to kowtow; to knock"
叹 tan4 "to sigh; to exclaim"
冉 ran3 "edge of a tortoiseshell"
皿 min3 "(bound form) dish; vessel; shallow container; radical no. 108"
囚 qiu2 prisoner
矢 shi3 "arrow; dart; straight; to vow; to swear"
乍 zha4 "at first; suddenly; abruptly; to spread; (of hair) to stand on end; bristling"
禾 he2 "cereal; grain"
丘 qiu1 "mound; hillock; grave; classifier for fields; hillock"
斥 chi4 "to blame; to reprove; to reprimand; to expel; to oust; to reconnoiter; (of territory) to expand; saline marsh"
丛 cong2 "cluster; collection; collection of books; thicket"
匆 cong1 "hurried; hasty"
卯 mao3 "mortise (slot cut into wood to receive a tenon); to exert one's strength"
务 wu4 "affair; business; matter; to be engaged in; to attend to; by all means"
饥 ji1 "(bound form) hungry"
冯 ping2 "to gallop; to assist; to attack; to wade; great"
