我,wo3,i; me; my
一,yi1,one; 1; single; a (article); as soon as; entire; whole; all; throughout
在,zai4,(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress)
是,shi4,is; are; am; yes; to be
他,ta1,he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another
个,ge4,individual; this; that; size; classifier for people or objects in general
你,ni3,you
和,he2,and; together with; with; sum; union; peace; harmony; harmonious
不,bu4,(negative prefix); not; no
有,you3,to have; there is; there are; to exist; to be
就,jiu4,at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning
这,zhe4,this; these
也,ye3,also; too
说,shuo1,to speak; to say; to explain; to scold; to tell off
人,ren2,person; people
她,ta1,she
都,dou1,all; both; entirely; (used for emphasis) even; already; (not) at all
我们,wo3men5,we; us; ourselves; our
上,shang4,on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university)
年,nian2,year; grain
要,yao4,important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; probably; if
对,dui4,right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple
很,hen3,(adverb of degree); quite; very; awfully
到,dao4,to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action)
看,kan4,to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try
去,qu4,to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation)
来,lai2,to come; to arrive; to come round; ever since; next
中,zhong1,china; chinese; within; among; in; middle; center; while (doing sth); during; (dialect) ok; all right
把,ba3,to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful
自己,zi4ji3,oneself; one's own
还,hai2,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else
那,na4,that; those; then (in that case)
