一
乙
二 ⿱一一
十 ⿻一丨
丁 ⿱一亅
厂 ⿱一丿
七 "⿻㇀乚(GHJKV) or ⿻㇀㇄(T)"
卜 ⿰丨丶
八 "⿰丿乀(GHT) or ⿰丿乁(JKV)"
人 ⿸丿㇏
入 ⿹乀丿
儿 ⿰丿乚
匕 "⿺乚丿(GJKH) or ⿺乚一(T)"
几 ⿰丿㇈
九 ⿻㇓㇈
刁 ⿹𠃌㇀
了 "⿱乛亅 or ⿱乛㇁"
刀 ⿹𠃌丿
力 ⿻𠃌丿
乃 ⿹㇡丿
又 ⿻㇇㇏
三 "⿱一二 or ⿱𠄟一"
干 ⿱一十
于 "⿱一𬺰 or ⿻二亅 or ⿻丁一"
亏 ⿱一丂
工 "⿱一丄 or ⿱丅一"
土 ⿱十一
士 ⿱十一
才 "⿹𬺰丿(GHTV) or ⿻𬺰丿(JK)"
下 ⿱一卜
寸 ⿹𬺰丶
大 "⿻一人 or ⿸𠂇㇏"
丈 ⿻𠂇㇏
与 "⿹⿺㇉一一(GHKTV) or ⿻⿺㇉一一(J)"
万 ⿸丆𠃌
上 ⿱⺊一
小 ⿻亅八
口 ⿱冂一
山 ⿶凵丨
巾 ⿻冂丨
千 ⿱丿十
乞 ⿱𠂉乙
川 ⿲丿丨丨
亿 ⿰亻乙
个 ⿱𠆢丨
夕 ⿴𠂊丶
久 ⿸𠂊㇏
么 ⿱丿厶
勺 "⿹勹丶(GHTJV) or ⿹勹一(K)"
凡 ⿵几丶
丸 "⿻九丶(GJKV) or ⿵九丶(HT)"
及 "⿻⿹𠄎丿乀(GHJV or U+2F836) or ⿸⿱㇇丿又(TK)"
广 "⿱丶厂(GHTK) or ⿱丨厂(J)"
亡 "⿱亠𠃊(GV) or ⿱亠㇄(HTJK) or ⿱丶匸 or ⿱丨匸"
门 "⿲丨丶𠃌 or ⿻冂丨"
丫 ⿱丷丨
义 ⿶乂丶
之 ⿳丶㇇乀
尸 ⿰丿コ
己 ⿳𠃍一乚
已 ⿻コ乚
巳 ⿺乚コ
弓 ⿱コ㇉
子 ⿻了一
卫 "⿻𠃌丄 or ⿱𰆊一"
也 ⿻乜丨
