的 de5  ⿰白勺 0
了 liao3 憭钌蓼 ⿱乛亅 1
我 wo3  ⿻𠂌戈 2
一 yi1 漪噫黟依医咿洢祎伊揖 3
在 zai4 再载 ⿸𠂇⿰丨土 4
是 shi4 仕奭恃誓𬤊室栻拭势谥 ⿱日𤴓 5
他 ta1 趿她铊褟溻塌它遢 ⿰亻也 6
个 ge4 各铬虼硌 ⿱𠆢丨 7
你 ni3 拟旎薿 ⿰亻尔 8
和 he2 郃翮颌饸禾鞨劾核何菏 ⿰禾口 9
不 bu4 步簿埠埗怖钚部瓿埔布 ⿸丆⿰丨丶 10
有 you3 友铕槱黝酉莠羑卣牖 ⿸𠂇月 11
就 jiu4 舅柩疚咎臼鹫厩僦桕旧 ⿰京尤 12
这 zhe4 蔗柘䗪浙鹧 ⿺辶文 13
也 ye3 野冶 ⿻乜丨 14
说 shuo1  ⿰讠兑 15
人 ren2 仁壬 ⿸丿㇏ 16
她 ta1 塌他遢褟趿溻铊它 ⿰女也 17
着 zhe5  ⿸⺶目 18
都 du1 厾嘟督阇 ⿰者阝 19
们 men5  ⿰亻门 20
上 shang4 尚绱 ⿱⺊一 21
年 nian2 黏鲇 ⿱𠂉㐄 22
要 yao4 靿曜鹞耀钥崾药 ⿱覀女 23
地 di4 棣娣杕弟缔谛递𤧛睇碲 ⿰土也 24
对 dui4 祋怼碓兑队 ⿰又寸 25
很 hen3 𬣳狠 ⿰彳艮 26
到 dao4 纛盗稻道悼 ⿰至刂 27
看 kan4 阚墈磡崁衎瞰 ⿸龵目 28
去 qu4 阒趣觑 ⿱土厶 29
来 lai2 涞梾铼徕莱崃俫 ⿻未丷 30
中 zhong1 衷钟盅柊螽终舯忠锺 ⿻口丨 31
把 ba3 钯靶 ⿰扌巴 32
自 zi4 恣眦字渍 ⿱丿目 33
己 ji3 几脊鱾麂挤掎戟虮 ⿳𠃍一乚 34
还 huan2 锾圜鹮萑寰桓缳𤩽鬟洹 ⿺辶不 35
那 na4 呐钠肭娜纳衲𦰡捺 ⿰𭃂阝 36
会 hui4 翙惠晦讳秽哕烩卉绘诲 ⿱人云 37
大 da4  ⿻一人 38
又 you4 囿诱蚴祐柚釉佑宥鼬侑 ⿻㇇㇏ 39
好 hao3 郝 ⿰女子 40
多 duo1 裰咄㙍剟哆掇 ⿱夕夕 41
得 de2 锝德 ⿰彳㝵 42
为 wei2 围维𬶏圩韦涠嵬唯𣲗沩 ⿻⿵丶力丶 43
与 yu3 庾敔屿宇圉窳语予圄羽 ⿹⿺㇉一一 44
而 er2 陑鲕耏儿鸸 ⿱一𦓐 45
里 li3 娌李澧浬俚醴锂理鳢礼 ⿱田土 46
两 liang3 魉𬜯 ⿱一⿻冂从 47
想 xiang3 享响飨饷鲞 ⿱相心 48
什 shen2 𬬹神 ⿰亻十 49
么 me5  ⿱丿厶 50
