要 yao1 yao1/xiang4/diao1/du2/na4 "要 yao4 to want; to need; to ask for; will; shall; about to; need to; should; (bound form) important
需要 xu1yao4 to need; to want; to demand; to require; needs
不要 bu4yao4 must not
要求 yao1qiu2 to request; to require; requirement; to stake a claim; to ask; to demand
重要 zhong4yao4 important; significant; major"
要 yao4 du2/yao4/tai2/kuang4/cha1 "要 yao4 to want; to need; to ask for; will; shall; about to; need to; should; (bound form) important
需要 xu1yao4 to need; to want; to demand; to require; needs
不要 bu4yao4 must not
要求 yao1qiu2 to request; to require; requirement; to stake a claim; to ask; to demand
重要 zhong4yao4 important; significant; major"
那 na4 na4/ni4/bu3/zhen3/hou2 "那 na4 (specifier) that; the; (pronoun) that (referring to persons, things or situations); then (in that case)
那么 na4me5 like that; in that way; or so; so; so very much; about; in that case
那个 na4ge5 that one; that thing; that (as opposed to this); (used before a verb or adjective for emphasis); (used to humorously or indirectly refer to sth embarrassing, funny etc, or when one can't think of the right word); (euph.) menstruation; sex
那些 na4xie1 those
那样 na4yang4 that kind; that sort"
会 kuai4 gai4/diao1/kuai4/xiao4 "会 hui4 can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association
不会 bu4hui4 improbable; unlikely; will not (act, happen etc); not able; not having learned to do sth; not at all
社会 she4hui4 society
都会 du1hui4 city; metropolis
会议 hui4yi4 meeting; conference"
过 guo1 cong1/lang2/guo1/bang4/fang1 "过 guo4 to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-
不过 bu4guo4 only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)
过去 guo4qu5 (verb suffix)
通过 tong1guo4 to pass through; to get through; to adopt (a resolution); to pass (legislation); to pass (a test); by means of; through; via
过程 guo4cheng2 course of events; process"
向 xiang4 cong1/xiang4/guo1/zong1/cha1 "向 xiang4 towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; (suffix) suitable for ...; oriented to ...; to tend toward; to guide; direction; orientation; to face; to turn toward; to; towards; shortly before; formerly
走向 zou3xiang4 direction; strike (i.e. angle of inclination in geology); inclination; trend; to move towards; to head for
向前 xiang4qian2 forward; onward
一向 yi1xiang4 always (previously); a period of time in the recent past
转向 zhuan3xiang4 to change direction; fig. to change one's stance"
话 hua4 hua4/you1/mi3/liao4/qing1 "话 hua4 dialect; language; spoken words; speech; talk; words; conversation; what sb said
电话 dian4hua4 telephone; phone call; phone number
说话 shuo1hua4 to speak; to say; to talk; to gossip; to tell stories; talk; word
打电话 da3dian4hua4 to make a telephone call
一句话 yi1ju4hua4 in a word; in short"
像 xiang4 liu4/se4/xiao4/yin4/xiang4 "像 xiang4 to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.)
好像 hao3xiang4 as if; to seem like
想像 xiang3xiang4 to imagine; to envision; imagination
偶像 ou3xiang4 idol
录像 lu4xiang4 to videotape; to videorecord; video recording"
生 sheng1 shen4/sheng1/meng3/liang4/cheng1 "学生 xue2sheng5 student; schoolchild
生活 sheng1huo2 to live; life; livelihood
发生 fa1sheng1 to happen; to occur; to take place; to break out
生 sheng1 to be born; to give birth; life; to grow; raw; uncooked; student
先生 xian1sheng5 teacher; gentleman; sir; mister (mr.); husband; (dialect) doctor"
笑 xiao4 liao4/xiao4/liu4/yao4 "笑 xiao4 to laugh; to smile; to laugh at
微笑 wei1xiao4 smile; to smile
笑容 xiao4rong2 smile; smiling expression
笑话 xiao4hua5 joke; to laugh at; to mock
开玩笑 kai1wan2xiao4 to play a joke; to make fun of; to joke"
东 dong1 dong1/lun2/you1/yao4/cong1 "东西 dong1xi5 thing; stuff; person
东 dong1 east; host (i.e. sitting on east side of guest); landlord
东方 dong1fang1 the east; the orient; two-character surname dongfang; east
东北 dong1bei3 northeast china; manchuria; northeast
东京 dong1jing1 tonkin (northern vietnam during the french colonial period)"
