巛,  
一 1 
乙 1 
乀 1 
𠃋 1 
乚 1 
𠃍 1 
𡿨 1 
乛 1 
𠄌 1 
𠃊 1 
丨 1 
丿 1 
亅 1 
丶 1 
二 2 ⿱一一
十 2 ⿻一丨
丁 2 ⿱一亅
厂 2 ⿱一丿
七 2 ⿻乚
卜 2 ⿰丨丶
八 2 ⿰丿乀
人 2 ⿸丿
入 2 ⿹乀丿
儿 2 ⿰丿乚
匕 2 ⿺乚丿
几 2 ⿰丿
九 2 ⿻
刁 2 ⿹𠃌
了 2 ⿱乛亅
刀 2 ⿹𠃌丿
力 2 ⿻𠃌丿
乃 2 ⿹丿
又 2 ⿻
乂 2 ⿻丿
乜 2 ⿻乛乚
亻 2 ⿱丿丨
丷 2 ⿰丶
刂 2 ⿰丨亅
𬺰 2 ⿻一亅
丂 2 一
丄 2 丨一
丅 2 一丨
丆 2 一丿
𠂉 2 
𠃌 2 
㐅 2 丿丶
𠂈 2 
𠂇 2 
𠂆 2 
𠄠 2 
𠄐 2 
丩 2 𠄌丨
龴 2 丶
𠂊 2 
𰀪 2 
𠘨 2 
𰆊 2 
㔾 2 乚𠃌
𠄎 2 
𠘧 2 
𠆢 2 
𠤎 2 
𢎘 2 
巜 2 𡿨𡿨
𫠠 2 
𰛄 2 
讠 2 丶
冂 2 丨𠃌
勹 2 丿𠃌
凵 2 𠃊丨
亠 2 丶一
冖 2 丿乛
厶 2 𠃋丶
冫 2 丶
匚 2 一𠃊
卩 2 丨𠃌
廴 2 乀
匸 2 一𠃊
三 3 ⿱一二
干 3 ⿱一十
于 3 ⿱一𬺰
亏 3 ⿱一丂
工 3 ⿱一丄
土 3 ⿱十一
士 3 ⿱十一
才 3 ⿹𬺰丿
下 3 ⿱一卜
寸 3 ⿹𬺰丶
大 3 ⿻一人
丈 3 ⿻𠂇
万 3 ⿸丆𠃌
上 3 ⿱一
小 3 ⿻亅八
口 3 ⿱冂一
山 3 ⿶凵丨
巾 3 ⿻冂丨
千 3 ⿱丿十
乞 3 ⿱𠂉乙
川 3 ⿲丿丨丨
亿 3 ⿰亻乙
个 3 ⿱𠆢丨
夕 3 ⿴𠂊丶
久 3 ⿸𠂊
么 3 ⿱丿厶
勺 3 ⿹勹丶
凡 3 ⿵几丶
丸 3 ⿻九丶
及 3 ⿻⿹𠄎丿乀
广 3 ⿱丶厂
亡 3 ⿱亠𠃊
门 3 ⿲丨丶𠃌
丫 3 ⿱丷丨
义 3 ⿶乂丶
之 3 ⿳丶乀
尸 3 ⿰丿
己 3 ⿳𠃍一乚
已 3 ⿻乚
巳 3 ⿺乚
弓 3 ⿱
子 3 ⿻了一
卫 3 ⿻𠃌丄
也 3 ⿻乜丨
女 3 ⿻𡿨丆
刃 3 ⿹刀丿
飞 3 ⿺⿱丿丶
习 3 ⿹𠃌冫
叉 3 ⿴又丶
马 3 ⿹𢎘一
乡 3 ⿳𠃋𠃋丿
兀 3 ⿱一儿
弋 3 ⿺𫠠丶
孑 3 ⿻了
孓 3 ⿻了
幺 3 ⿱𠃋厶
廿 3 ⿵卄一
亍 3 ⿱一丁
尢 3 ⿸𠂇乚
彳 3 ⿱丿亻
彑 3 ⿱⿰𠃋一
忄 3 ⿰丿卜
扌 3 ⿻𬺰
氵 3 ⿱
丬 3 ⿰冫丨
犭 3 ⿹⿻丿丿
丌 3 一丿丨
卄 3 十丨
𠀃 3 
𫝀 3 
𰀁 3 
𰀂 3 
𠂋 3 
㐄 3 十𠃋
𠂎 3 
𠂌 3 
亇 3 亅
亼 3 人一
亽 3 𠆢丶
𠃓 3 
𠫓 3 
卂 3 十
乇 3 丿七
卪 3 卩丶
𠫔 3 
𭕄 3 
𡳾 3 
𫶧 3 
𡭔 3 
𭠍 3 
𫜹 3 
巛 3 𡿨𡿨𡿨
龵 3 
纟 3 𠃋𠃋
𧾷 3 
阝 3 丨
饣 3 𠄌
囗 3 冂一
廾 3 丿十
宀 3 丶冖
夂 3 𠂊
屮 3 凵丨
彡 3 丿丿丿
彐 3 一
夊 3 
与 4 ⿹⿺一一
丰 4 ⿻三丨
王 4 ⿱一土
开 4 ⿱一廾
井 4 ⿻一廾
天 4 ⿱一大
夫 4 ⿻二人
元 4 ⿱一兀
无 4 ⿱一尢
云 4 ⿱二厶
专 4 ⿱⿻二丶
丐 4 ⿱一⿺
扎 4 ⿰扌乚
艺 4 ⿱艹乙
木 4 ⿻十𠆢
五 4 ⿱一𫝀
支 4 ⿱十又
