a1 阿
ai1 唉哎埃挨哀
ai2 癌挨
ai3 矮蔼嗳
ai4 爱艾暧碍隘
an1 安庵氨
an3 俺
an4 按案暗岸黯
ang1 肮
ang2 昂
ang4 盎
ao1 凹
ao2 熬
ao3 袄
ao4 奥傲澳懊
ba1 八巴吧扒芭叭疤
ba2 拔跋
ba3 把
ba4 爸罢霸坝耙
bai1 掰
bai2 白拜
bai3 百摆柏
bai4 败拜呗
ban1 般班搬斑颁扳
ban3 版板
ban4 半办伴扮拌瓣绊
bang1 帮浜邦梆
bang3 膀绑榜
bang4 棒傍镑磅谤
bao1 包胞煲
bao2 薄
bao3 保宝堡饱
bao4 报抱爆暴曝豹鲍
bei1 杯背悲碑卑
bei3 北
bei4 被备背倍辈贝惫狈
ben1 锛奔
ben3 本苯
ben4 笨奔
beng1 崩
beng2 甭
beng3 绷
beng4 蹦
bi1 逼
bi2 鼻
bi3 比笔彼鄙匕
bi4 必毕币避闭壁臂碧弊蔽璧陛辟毙庇痹
bian1 边编鞭蝙
bian3 扁贬匾
bian4 便变遍辨辩辫
biao1 标镖飙彪
biao3 表婊
bie1 憋鳖
bie2 别
bie3 瘪
bie4 别
bin1 宾滨彬缤濒
bin4 鬓
bing1 冰兵
bing3 饼屏丙柄秉
bing4 并病
bo1 波玻播拨剥钵菠
bo2 博伯脖柏勃驳泊搏薄舶
bo3 簸
bo4 簸薄
bu2 不
bu3 补捕卜
bu4 不部步布怖簿埠
ca1 擦
cai1 猜
cai2 才材财裁
cai3 采彩踩睬
cai4 菜
can1 参餐
can2 残惭蚕
can3 惨
can4 灿
cang1 苍仓沧舱
cang2 藏
cao1 操糙
cao2 曹槽嘈
cao3 草
ce4 册策测厕侧
cen2 涔岑
ceng2 曾层
ceng4 蹭
cha1 插差叉
cha2 察查茶茬搽
cha4 差诧刹岔
chai1 拆差钗
chai2 柴
chan1 搀
chan2 缠禅澶蝉馋
chan3 产阐铲
chan4 颤忏
chang1 昌娼
chang2 常长尝偿肠裳
chang3 场厂敞
chang4 唱倡畅怅
chao1 超抄钞
chao2 朝潮嘲巢
chao3 炒吵
che1 车
che3 扯
che4 彻撤澈
chen1 琛嗔
chen2 陈沉晨臣尘宸辰
chen4 趁衬称
cheng1 称撑
cheng2 成城程承乘诚呈惩澄橙丞
cheng3 逞
cheng4 秤
chi1 吃痴嗤
chi2 持迟池驰弛匙
chi3 尺齿侈耻
chi4 翅赤斥
chong1 充冲憧
chong2 重虫崇
chong3 宠
chou1 抽
chou2 愁仇筹畴酬惆绸踌
chou3 丑瞅
chou4 臭
chu1 出初
chu2 除厨橱躇锄
chu3 处础楚储楮
chu4 处触搐矗畜
chuai1 揣
chuai3 揣
chuai4 踹
chuan1 穿川
chuan2 传船
chuan3 喘
chuan4 串
chuang1 窗疮创
chuang2 床幢
chuang3 闯
chuang4 创
chui1 吹
chui2 垂锤捶
chun1 春
chun2 纯唇醇淳
chun3 蠢
chuo1 戳
chuo4 绰辍
ci2 词辞茨磁慈瓷祠雌
ci3 此
ci4 次刺赐
cong1 聪匆葱囱璁
cong2 从丛
cou4 凑
cu1 粗
cu4 促醋簇
cuan1 蹿
cuan4 窜篡
cui1 催摧衰崔
cui4 脆粹翠悴萃
cun1 村
cun2 存
cun4 寸
cuo1 搓撮磋
cuo4 错措挫
da1 答搭哒耷
da2 答达沓
da3 打
da4 大
dai1 呆
dai3 歹逮
dai4 带代待戴袋贷黛逮殆
dan1 单担丹耽
dan3 胆
dan4 但石旦弹蛋淡诞担
dang1 当
dang3 党挡
dang4 当档荡
dao1 刀
dao3 导岛蹈倒祷捣
dao4 到道倒盗稻悼
de2 得德
dei3 得
deng1 灯登蹬
deng3 等
deng4 瞪凳
di1 低滴的堤提
di2 的敌迪笛嘀涤
di3 底抵
di4 第地的弟帝蒂递谛缔
dian1 颠癫掂
dian3 点典
dian4 电店垫殿奠甸淀
diao1 雕叼刁
diao4 掉调吊钓
die1 爹跌
die2 碟蝶叠谍迭
ding1 丁盯钉叮
ding3 顶鼎
ding4 定订
diu1 丢
dong1 东冬咚
dong3 懂董
dong4 动洞栋冻
dou1 都兜
dou3 抖陡斗
dou4 斗豆逗痘
du1 都督嘟
du2 读独毒渎
du3 堵赌肚睹笃
du4 度杜渡妒肚
duan1 端
duan3 短
duan4 段断锻
dui1 堆
dui4 对队兑
dun1 敦蹲墩
dun4 顿盾炖钝沌遁
duo1 多哆
duo2 夺踱
duo3 朵躲
duo4 堕跺剁舵惰
e2 俄额鹅娥
e4 恶饿厄呃噩萼遏鳄愕扼锷
en1 恩嗯
en4 摁
er2 而儿
er3 尔耳
er4 二
fa1 发
fa2 乏罚伐阀
fa3 法
fa4 发
fan1 翻番帆藩
fan2 凡烦繁
fan3 反返
fan4 饭范犯泛贩
fang1 方芳坊
fang2 房防妨肪
fang3 访仿纺
fang4 放
fei1 非飞菲妃绯
fei2 肥
fei3 匪翡诽菲斐
fei4 费废肺沸
fen1 分氛纷芬
fen2 坟焚
fen3 粉
fen4 份奋分愤粪
feng1 风封丰疯峰枫锋蜂
feng2 逢缝
feng3 讽
feng4 凤奉缝
fo2 佛
fou3 否
fu1 夫肤敷
fu2 服福佛幅符弗扶浮伏芙辐拂俘蝠
fu3 府腐辅抚甫斧俯釜
fu4 复副父附负富妇赴付覆赋腹缚傅阜
ga1 嘎
ga2 嘎轧
ga4 尬
gai1 该
gai3 改
gai4 概盖丐钙溉
gan1 干尴杆甘肝竿
gan3 感敢赶
gan4 干
gang1 刚钢纲冈缸杠
gang3 港岗
gao1 高糕膏
gao3 搞稿镐
gao4 告
ge1 歌哥胳割戈搁咯鸽疙
ge2 格革隔阁葛
ge4 个各
gei3 给
gen1 跟根
geng1 更耕羹
geng3 哽梗
geng4 更
gong1 工公供功宫攻弓恭躬
gong3 巩拱
gong4 共贡供
gou1 沟勾钩篝
gou3 狗
gou4 够构购勾
gu1 姑估孤辜咕菇箍
gu3 股古鼓谷骨贾汩
gu4 故固顾雇
gua1 刮瓜
gua3 寡
gua4 挂卦
guai1 乖
guai3 拐
guai4 怪
guan1 关观官冠棺
guan3 管馆
guan4 惯冠灌罐贯
guang1 光咣
guang3 广
guang4 逛
gui1 规归龟瑰硅皈
gui3 鬼轨诡癸
gui4 贵跪柜桂
gun3 滚
gun4 棍
guo1 锅郭埚
guo2 国
guo3 果裹
guo4 过
ha1 哈
ha2 蛤
hai1 咳嗨
hai2 还孩
hai3 海
hai4 害骇
han1 鼾憨
han2 含寒涵函
han3 喊罕
han4 汉憾汗翰撼捍旱悍
hang2 行杭航吭
hao2 毫豪嚎
hao3 好
hao4 号好耗浩皓灏昊
he1 喝呵
he2 和何合河核盒荷禾阂
he4 鹤贺赫吓褐喝和荷
hei1 黑嘿
hen2 痕
hen3 很狠
hen4 恨
heng1 哼亨
heng2 横衡恒
hong1 哄轰烘
hong2 红洪宏虹鸿弘
hong4 哄
hou2 侯猴喉
hou3 吼
hou4 后厚候逅
hu1 乎忽呼惚
hu2 湖胡蝴壶糊狐葫瑚
hu3 虎唬
hu4 护户互沪
hua1 花华哗
hua2 华滑猾哗划
hua4 话化划画桦
huai2 怀徊淮槐
huai4 坏
huan1 欢
huan2 环还寰
huan3 缓
huan4 换患幻唤浣痪焕
huang1 慌荒
huang2 黄皇煌凰潢惶徨簧
huang3 晃谎恍
huang4 晃
hui1 恢挥灰辉徽晖
hui2 回
hui3 悔毁
hui4 会汇慧惠绘蕙卉贿诲秽讳
hun1 婚昏荤
hun2 魂浑混馄
hun4 混
huo1 豁
huo2 活
huo3 火伙夥
huo4 或获货惑祸霍
ji1 几机基击鸡奇积激居圾肌姬箕畸饥叽讥缉
ji2 及即极级辑集急吉疾籍嫉藉棘汲
ji3 己几挤给济脊
ji4 记济技继际计纪既绩寄寂迹季妓忌剂祭暨系冀伎
jia1 家加佳夹嘉镓伽
jia2 颊戛
jia3 假甲
jia4 价架嫁假驾
jian1 间坚兼监肩艰尖渐奸煎笺
jian3 简检减捡剪拣俭蹇茧碱
jian4 见件建荐健剑键渐践箭鉴间贱监舰溅谏
jiang1 将江疆姜僵浆
jiang3 讲奖桨
jiang4 降酱将匠强绛
jiao1 教交骄焦娇胶郊椒浇蕉跤姣
jiao3 脚角饺搅缴狡侥绞
jiao4 叫较教觉校轿酵
jie1 结接街阶皆揭楷
jie2 结节杰劫截洁捷竭睫婕
jie3 解姐
jie4 界介借届戒诫芥
jin1 今金斤禁巾津筋襟矜
jin3 尽仅紧谨锦
jin4 进近劲禁尽晋浸
jing1 经京精惊晶菁茎睛荆
jing3 警景井阱颈憬
jing4 境静竟竞净镜径敬靓劲靖婧痉
jiong3 窘
jiu1 究纠揪
jiu3 酒九久韭
jiu4 就旧救舅疚
ju1 居拘鞠驹
ju2 局菊橘桔
ju3 举柜沮咀
ju4 句据具巨拒距聚惧剧俱锯飓渠炬
juan1 涓捐娟鹃
juan3 卷
juan4 卷倦隽绢眷圈
jue1 撅
jue2 觉决绝角崛掘诀爵倔嚼抉
jun1 均军君钧菌
jun4 郡俊峻竣骏
ka3 卡
kai1 开
kai3 凯慨
kan1 刊堪看勘
kan3 砍坎槛侃
kan4 看瞰
kang1 康慷
kang2 扛
kang4 抗炕亢
kao3 考烤拷
kao4 靠铐
ke1 科颗棵柯磕苛
ke2 咳壳
ke3 可渴坷
ke4 克课客刻嗑
ken3 肯啃恳
keng1 坑吭
kong1 空
kong3 恐孔
kong4 控空
kou1 抠
kou3 口
kou4 扣寇叩
ku1 哭圣枯骷窟
ku3 苦
ku4 库酷裤
kua1 夸
kua3 垮
kua4 跨挎
kuai4 块快筷
kuan1 宽
kuan3 款
kuang1 筐
kuang2 狂
kuang4 况框矿眶旷
kui1 亏窥盔
kui2 魁奎葵
kui4 溃馈愧匮
kun1 昆坤
kun3 捆
kun4 困
kuo4 括扩阔廓
la1 拉垃啦
la2 剌
la3 喇
la4 辣腊蜡落
lai2 来莱
lai4 赖睐籁
lan2 蓝栏兰篮拦岚婪澜
lan3 览懒揽缆
lan4 烂滥
lang2 狼郎廊螂
lang3 朗
lang4 浪
lao1 捞
lao2 劳牢唠
lao3 老姥佬
lao4 络酪烙
le4 乐勒
lei1 勒
lei2 雷累
lei3 累蕾磊垒
lei4 类累泪肋
leng2 楞
leng3 冷
leng4 愣
li2 离丽黎厘梨漓犁
li3 里理李礼哩鲤
li4 历力利丽立例励厉莉粒隶荔笠栗吏
lia3 俩
lian2 连联怜莲帘廉濂涟
lian3 脸敛
lian4 练链恋炼
liang2 良凉粮梁量
liang3 两俩
liang4 辆量亮谅晾
liao1 撩
liao2 聊疗僚辽寮缭寥
liao3 了
liao4 料撂
lie3 咧
lie4 列烈裂劣猎
lin1 拎
lin2 林邻临琳淋鳞霖
lin4 赁吝躏
ling2 龄灵凌零铃玲陵聆菱伶羚令
ling3 领岭
ling4 另令
liu1 溜
liu2 留流刘浏瘤琉
liu3 柳
liu4 六陆遛
long1 隆
long2 龙胧隆笼珑聋
long3 笼垄拢
long4 弄
lou2 楼喽髅娄
lou3 搂
lou4 漏陋露
lu2 卢炉庐芦颅
lü2 驴闾
lu3 鲁虏卤
lü3 旅侣缕履吕屡铝捋
lu4 路陆录露碌鹿禄璐赂戮
lü4 律虑率滤绿
luan2 挛
luan3 卵
luan4 乱
lüe4 略掠
lun1 抡
lun2 轮伦仑沦
lun4 论
luo2 罗逻螺萝锣
luo3 裸
luo4 络落洛骆摞
ma1 妈抹
ma2 么麻嘛
ma3 马码玛蚂
ma4 骂杩
mai2 埋
mai3 买
mai4 卖麦迈脉
man2 蛮馒瞒埋蔓
man3 满
man4 慢曼漫蔓
mang2 忙氓芒茫盲
mao1 猫
mao2 毛矛髦茅
mao3 卯
mao4 贸冒帽貌茂
mei2 没媒眉枚梅霉煤莓玫
mei3 美每浼
mei4 妹魅昧媚
men1 闷
men2 门
men4 闷
meng2 蒙盟朦萌檬
meng3 猛蒙懵
meng4 梦孟
mi1 咪
mi2 迷弥谜眯
mi3 米靡
mi4 秘密蜜觅泌谧
mian2 眠棉绵
mian3 免勉缅腼娩
mian4 面
miao1 喵
miao2 描苗瞄
miao3 秒渺
miao4 妙庙
mie4 灭蔑
min2 民
min3 敏悯抿闽
ming2 名明鸣铭冥茗
ming4 命
miu4 谬缪
mo1 摸
mo2 麽模魔摩磨膜蘑馍
mo3 抹
mo4 莫末默寞陌漠墨沫没蓦茉
mou2 谋眸
mou3 某
mu2 模
mu3 母姆亩牡拇
mu4 目木慕幕墓牧暮沐穆睦募
na2 拿
na3 哪
na4 那纳娜呐捺
nai3 奶乃
nai4 奈耐
nan2 难男南喃楠
nan4 难
nang2 囊
nao2 挠
nao3 脑恼瑙
nao4 闹
nei4 内
nen4 嫩恁
neng2 能
ni1 妮
ni2 尼泥霓倪
ni3 你拟
ni4 匿逆腻昵
nian1 拈
nian2 年黏
nian3 碾捻
nian4 念
niang2 娘
niang4 酿
niao3 鸟袅
niao4 尿
nie1 捏
nie4 涅孽
ning2 宁凝拧柠狞
ning4 宁泞
niu1 妞
niu2 牛
niu3 纽扭钮
nong2 农浓侬
nong4 弄
nu2 奴
nu3 努
nü3 女
nu4 怒
nuan3 暖
nüe4 虐
nuo2 挪
nuo4 诺糯懦喏
o1 喔
o2 哦
ou1 欧殴鸥
ou3 偶呕藕
pa1 趴啪
pa2 爬
pa4 怕帕
pai1 拍
pai2 排牌徘
pai4 派湃
pan1 潘攀番
pan2 盘蹒磐
pan4 判盼叛畔
pang2 旁庞螃彷
pang4 胖
pao1 抛
pao2 袍刨咆
pao3 跑
pao4 泡炮
pei1 呸
pei2 陪培赔裴
pei4 配佩沛
pen1 喷
pen2 盆
peng1 砰烹抨
peng2 朋鹏棚膨蓬篷澎
peng3 捧
peng4 碰
pi1 批披劈
pi2 皮脾疲琵啤
pi3 匹癖痞
pi4 屁譬辟僻媲
pian1 篇偏片
pian4 片骗
piao1 飘漂
piao2 瓢嫖
piao3 瞟
piao4 漂票
pie1 撇瞥
pie3 撇
pin1 拼
pin2 频贫嫔
pin3 品
pin4 聘
ping2 评平瓶凭苹屏萍冯坪
po1 颇坡泼泊
po2 婆
po4 破迫朴魄
pou1 剖
pu1 扑仆噗
pu2 葡仆脯
pu3 普谱朴浦
pu4 铺瀑曝
qi1 七期妻欺漆凄栖
qi2 其奇骑齐旗棋祈歧琪祺崎琦
qi3 起企启乞岂绮
qi4 汽气弃器泣契砌迄
qia1 掐
qia4 恰洽
qian1 千签牵铅迁谦骞
qian2 前钱乾潜虔
qian3 浅谴遣
qian4 欠歉倩纤茜嵌
qiang1 枪腔呛
qiang2 强墙
qiang3 抢强
qiao1 敲悄雀
qiao2 桥瞧乔侨憔樵
qiao3 巧悄
qiao4 翘俏撬窍峭
qie1 切
qie2 茄
qie3 且
qie4 切窃惬妾怯锲
qin1 亲侵钦
qin2 琴勤禽擒
qin3 寝
qin4 沁
qing1 清轻青倾蜻氢
qing2 情晴擎
qing3 请顷
qing4 庆
qiong2 穷琼穹
qiu1 秋丘邱
qiu2 求球囚酋
qu1 区曲趋驱躯屈
qu2 渠
qu3 取曲娶
qu4 去趣
quan1 圈
quan2 全权泉拳诠痊蜷醛
quan3 犬
quan4 劝券
que1 缺阙
que2 瘸
que4 却确雀
qun2 群裙
ran2 然燃
ran3 染冉
rang1 嚷
rang3 嚷壤
rang4 让
rao2 饶
rao3 扰
rao4 绕
re3 惹
re4 热
ren2 人仁壬
ren3 忍
ren4 认任刃饪韧
reng1 扔
reng2 仍
ri4 日
rong2 容融荣蓉绒榕溶
rou2 柔揉蹂
rou4 肉
ru2 如儒蠕茹
ru3 乳辱汝
ru4 入褥
ruan3 软阮
rui3 蕊
rui4 瑞锐睿
run4 润
