zuo1 嘬
zui3 嘴
zuan4 攥
zou3 走
zhuan3 转
zhuai4 拽
zhai3 窄
zhai2 宅
zen4 谮
zen3 怎
zao2 凿
zang3 驵
zan2 咱
za3 咋
yuan3 远
xu2 徐
xin3 伈
xie3 写
wo3 我
weng3 蓊
wai4 外
wai3 崴
wai1 歪
wa2 娃
tui3 腿
tuan4 彖
tuan3 疃
tou4 透
tou1 偷
tie4 餮
ti3 体
teng1 熥
tao4 套
tao3 讨
tai1 胎
sui3 髓
su2 俗
sou4 嗽
si3 死
shuo1 说
shuang3 爽
shuai3 甩
shua3 耍
shou1 收
sheng2 绳
shei2 谁
she3 舍
shao3 少
shai4 晒
shai1 筛
sha3 傻
sha2 啥
seng1 僧
sen1 森
sang4 丧
sang1 桑
san4 散
sai4 赛
rui3 蕊
rui2 蕤
ruan2 堧
rou4 肉
rong3 冗
reng2 仍
reng1 扔
re4 热
re3 惹
rao4 绕
rao3 扰
rang4 让
que2 瘸
qiu3 糗
qie3 且
qie2 茄
qia2 拤
pou1 剖
pin3 品
peng3 捧
pen1 喷
pao3 跑
pang4 胖
pang3 耪
pai1 拍
o1 噢
nuan3 暖
nou4 耨
nong4 弄
niu2 牛
niu1 妞
nin2 您
nie1 捏
niang4 酿
niang2 娘
ni1 妮
ng2 嗯
neng2 能
nei4 内
nei3 馁
ne4 讷
nao1 孬
nang4 齉
nang1 囔
nan4 婻
nan1 囡
mu2 毪
mou3 某
mou1 哞
mo3 抹
mo1 摸
miu4 谬
ming4 命
ming3 酩
miao1 喵
mao1 猫
mang1 牤
ma1 妈
luo1 啰
lun4 论
lun1 抡
luan4 乱
luan3 卵
lou1 䁖
long4 哢
lin1 拎
lie3 咧
lia3 俩
li1 哩
leng3 冷
lao1 捞
lang1 啷
la3 喇
kun4 困
kuang3 夼
kuan3 款
ku3 苦
kou3 口
ken4 裉
kei1 剋
kao1 尻
huai4 坏
hou3 吼
hou1 齁
hong4 讧
hong3 唝
heng4 堼
hen4 恨
hen2 痕
hang4 沆
hang1 夯
guo4 过
gun4 棍
guang4 逛
guai3 拐
geng4 暅
gen3 艮
gen2 哏
gei3 给
gai3 改
ga4 尬
ga3 尕
fo2 佛
fen3 粉
fang4 放
fa4 珐
fa1 发
en4 摁
dui1 堆
duan3 短
dia3 嗲
den4 扽
de1 嘚
dao2 捯
da4 大
da3 打
cuo3 脞
cun4 寸
cun3 忖
cun2 存
cu1 粗
chun3 蠢
chuang3 闯
chuai4 踹
chuai3 揣
chuai1 搋
chou4 臭
chong4 铳
chong3 宠
chen3 碜
che3 扯
chao4 耖
chai3 茝
ceng4 蹭
ceng1 噌
cang2 藏
bu2 醭
bie3 瘪
beng3 琫
beng2 甭
bei3 北
bao2 雹
bai2 白
bai1 掰
ao1 凹
ang4 盎
ang1 肮
zuo3 左佐
zuo2 昨捽
zuan3 纂缵
zuan1 钻躜
zu1 租菹
zou4 奏揍
zong3 总偬
zhua1 抓髽
zhou3 肘帚
zheng3 整拯
zhe1 遮蜇
zhai1 摘斋
zei2 贼鲗
ze4 仄昃
zao1 糟遭
zang4 葬奘
zan1 簪糌
za2 杂砸
yong4 用㶲
yong2 喁颙
yo1 哟唷
ya3 雅哑
xue4 血谑
xue3 雪鳕
xiu3 朽滫
xiong4 诇夐
xiong2 雄熊
xing3 醒擤
weng4 瓮蕹
wang2 王亡
wa4 袜腽
wa3 瓦佤
tui1 推忒
tuan2 团抟
tong4 痛恸
tong1 通嗵
tie3 铁帖
tie1 贴萜
tiao1 佻祧
tian4 掭瑱
tang4 趟烫
suan4 算蒜
suan1 酸狻
shun3 吮楯
shui3 水氵
shuan4 涮腨
shuai4 帅蟀
shuai1 摔衰
shua1 刷唰
sheng3 省眚
sao4 瘙埽
sao3 扫嫂
run4 润闰
ri4 日驲
qun2 群裙
qun1 逡囷
quan4 劝券
qin3 寝锓
qiang4 跄炝
pu4 曝瀑
pin4 聘牝
pin1 拼姘
piao3 瞟殍
pian4 片骗
peng4 碰椪
pen2 盆湓
pao1 抛脬
pan1 潘攀
pa4 怕帕
ou4 怄沤
nuo2 挪傩
nüe4 虐疟
nü4 恧衄
nu4 怒傉
nü3 女钕
niao4 尿脲
nian1 拈蔫
nen4 嫩恁
nang3 曩攮
nang2 囊馕
na3 哪乸
na2 拿镎
mie1 咩乜
mian4 面眄
mi1 咪眯
meng4 梦孟
man3 满螨
man1 嫚颟
mai3 买荬
