a1 啊阿锕吖
ai1 埃哎哀挨唉锿
ai2 癌皑
ai3 矮蔼欸嗳霭毐
ai4 爱艾碍暧隘砹嗌嫒叆瑷
an1 安氨鞍鹌谙桉庵垵𩽾盦
an3 俺铵唵埯
an4 案按暗岸胺黯犴
ang1 肮
ang2 昂卬
ang4 盎
ao1 凹
ao2 熬嗷敖翱遨螯鏖獒鳌璈聱嶅廒
ao3 袄媪
ao4 奥傲澳懊拗坳骜鏊岙奡隩薁
ba1 吧巴八芭疤叭扒笆粑捌朳岜蚆羓鲃
ba2 拔跋魃妭胈菝
ba3 把靶钯
ba4 爸罢霸坝耙鲅灞
bai1 掰
bai2 白
bai3 百摆柏佰捭
bai4 拜败稗
ban1 班搬般斑扳颁癍瘢攽𨭉
ban3 板版阪坂钣昄
ban4 办半伴扮绊拌瓣柈湴靽
bang1 帮邦梆浜𠳐
bang3 绑膀榜
bang4 棒磅镑谤傍蚌蒡玤塝搒
bao1 包胞褒孢煲苞龅枹
bao2 雹
bao3 保宝堡饱葆鸨褓
bao4 抱报爆暴鲍豹刨趵
bei1 杯悲卑碑椑鹎
bei3 北
bei4 被备贝背辈倍惫蓓悖狈孛焙钡邶碚褙鞴鐾𬇙琲棓鞁糒
ben1 奔贲锛栟犇
ben3 本苯畚
ben4 笨坌倴
beng1 崩绷嘣祊
beng2 甭
beng3 琫
beng4 蹦泵迸镚甏
bi1 逼鲾
bi2 鼻荸
bi3 比笔彼鄙匕吡俾秕妣芘沘舭
bi4 必闭毕避壁臂币陛毙碧弊蔽庇哔痹弼璧婢蓖敝荜裨篦毖愎铋筚畀跸滗箅薜嬖髀濞襞坒佖邲诐苾咇珌狴萆庳皕赑馝觱
bian1 边编蝙鞭煸砭笾鳊萹
bian3 扁贬匾褊碥
bian4 变便遍辩辨辫卞汴弁抃苄忭𨚕昪
biao1 标镖飙镳彪膘杓飑骠骉幖熛瘭儦藨瀌髟猋麃
biao3 表婊裱脿
biao4 俵摽鳔
bie1 憋鳖
bie2 别蹩癿
bie3 瘪
bin1 宾滨濒彬傧斌缤玢镔豳邠
bin4 殡鬓摈髌膑
bing1 冰兵槟
bing3 饼柄丙炳秉禀蛃邴昺
bing4 并病摒
bo1 波播拨玻剥菠钵蕃饽砵哱𬭛嶓
bo2 博伯勃薄脖搏膊驳泊箔铂钹舶帛桲礴渤亳鹁僰浡袯艴鲌踣镈馞欂
bo3 簸跛
bo4 擘檗
bu1 晡逋
bu2 醭
bu3 捕补卜哺卟𬷕
bu4 不部布步怖簿埔钚埠瓿埗蔀
ca1 擦嚓
cai1 猜偲
cai2 才财材裁
cai3 彩采踩睬
cai4 菜蔡
can1 参餐骖
can2 残惭蚕
can3 惨黪䅟朁
can4 灿璨粲
cang1 仓舱苍沧伧鸧
cang2 藏
cao1 操糙
cao2 槽曹嘈漕螬𥕢艚
cao3 草艹䒑
ce4 测策厕侧册恻畟
cen2 岑涔
ceng1 噌
ceng2 曾层嶒
ceng4 蹭
cha1 差插叉喳碴杈馇锸臿
cha2 查察茶茬搽檫嵖猹槎𥻗垞
cha3 衩镲蹅
cha4 岔诧汊姹侘
chai1 拆钗
chai2 柴豺侪
chai3 茝
chai4 虿瘥
chan1 掺搀觇辿梴襜
chan2 缠禅蟾蝉馋潺孱谗婵廛澶镡巉镵瀍儳躔毚
chan3 产铲阐谄骣旵浐啴蒇𬊤冁
chan4 忏颤羼刬韂
chang1 昌娼猖伥鲳菖阊
chang2 常尝偿肠徜嫦苌鲿
chang3 场厂敞昶惝氅𬬮
chang4 唱畅倡怅鬯
chao1 超钞抄焯怊弨
chao2 朝潮嘲巢晁
chao3 吵炒
chao4 耖
che1 车砗
che3 扯
che4 彻撤澈掣坼㬚屮
chen1 琛抻郴嗔瞋𬘭棽
chen2 沉晨陈尘臣辰忱宸谌梣煁
chen3 碜
chen4 衬趁谶龀疢榇
cheng1 称撑铛瞠柽琤蛏偁赪
cheng2 成城程承诚乘惩呈橙澄晟丞裎枨埕塍宬珹珵铖酲澂憕
cheng3 逞骋庱
cheng4 秤牚
chi1 吃痴嗤哧笞蚩鸱眵媸螭魑𫄨瓻摛
chi2 持迟匙池驰弛踟茌墀篪漦
chi3 尺齿耻侈豉褫胣
chi4 赤翅斥炽叱啻敕饬瘛彳痓傺
chong1 冲充憧忡舂艟茺㳘珫翀摏
chong2 虫崇漴
chong3 宠
chong4 铳
chou1 抽瘳犨
chou2 仇筹酬愁绸畴稠踌惆俦雠帱椆
chou3 丑瞅杻侴
chou4 臭
chu1 出初樗䢺䝙摴
chu2 除厨橱雏蜍锄躇刍蹰滁
chu3 楚储础杵楮褚濋𬺓
chu4 处触畜搐矗绌黜怵憷俶亍琡斶豖
chuai1 搋
chuai3 揣
chuai4 踹
chuan1 穿川氚
chuan2 传船椽遄
chuan3 喘舛
chuan4 串钏
chuang1 窗疮
chuang2 床幢噇
chuang3 闯
chuang4 创怆
chui1 吹炊
chui2 垂锤槌捶陲棰倕圌
chun1 春椿蝽堾瑃䲠
chun2 纯唇醇淳鹑莼𬭚
chun3 蠢
chuo1 戳踔逴
chuo4 绰龊辍啜惙辶辵
ci1 疵跐呲
ci2 词兹辞慈磁茨瓷雌祠鹚糍茈
ci3 此泚玼𫚖
ci4 次刺赐伺佽莿朿
cong1 聪匆葱囱枞苁骢璁熜
cong2 从丛淙琮悰
cou4 凑辏腠
cu1 粗
cu2 殂徂
cu4 促醋簇猝蹴蹙蔟
cuan1 蹿撺汆镩
cuan4 窜篡爨
cui1 崔摧催榱缞
cui3 璀漼
cui4 脆粹翠萃悴瘁啐淬毳
cun1 村皴邨
cun2 存
cun3 忖
cun4 寸
cuo1 撮搓磋蹉瑳
cuo2 矬痤鹾嵯
cuo3 脞
cuo4 错措挫锉厝莝棤
da1 搭嗒哒耷褡𨱏
da2 达答瘩妲鞑沓靼怛笪荙炟鿎𫟼溚
da3 打
da4 大
dai1 呆呔
dai3 逮歹傣
dai4 带待代戴袋黛贷殆怠岱绐迨骀玳埭轪垈叇
dan1 单担丹耽眈殚郸聃箪儋瘅
dan3 胆掸疸赕亶𬘘
dan4 但蛋弹诞旦淡氮惮澹萏啖膻𫢸疍憺
dang1 当裆珰筜
dang3 挡党谠𣗋
dang4 档荡宕菪凼砀垱𬍡
dao1 刀叨氘忉舠鱽刂
dao2 捯
dao3 倒导岛蹈祷捣
dao4 到道盗悼稻纛
de1 嘚
de2 得德锝
den4 扽
deng1 登灯蹬噔璒
deng3 等戥
deng4 凳邓瞪镫嶝磴
di1 低滴堤氐镝羝䃅鞮
di2 迪敌狄笛嘀涤荻嫡翟籴𬱖觌髢蹢
di3 底抵邸诋砥骶坻柢茋
di4 地第弟帝蒂递谛缔娣睇棣碲玓杕菂媂𤧛禘䗖踶
dia3 嗲
dian1 颠癫巅掂滇
dian3 点典碘踮丶
dian4 电店殿垫甸玷惦奠淀佃靛癜坫钿簟阽扂琔
diao1 雕貂叼刁凋碉鲷汈
diao4 掉调吊钓铫窎铞
die1 爹跌
die2 谍碟蝶叠喋迭牒鲽垤堞耋蹀昳绖瓞𫶇楪
ding1 丁盯钉叮酊町仃玎疔耵
ding3 顶鼎
ding4 定订锭腚啶碇萣
diu1 丢铥
dong1 东冬咚氡鸫岽𬟽
dong3 懂董
dong4 动洞冻栋胴恫硐峒侗垌胨
dou1 兜蔸篼
dou3 抖陡蚪钭
dou4 斗豆逗痘窦
du1 都督嘟厾阇
du2 毒独读渎犊牍髑黩椟
du3 赌堵睹笃
du4 度杜肚妒渡镀蠹芏𬭊
duan1 端耑
duan3 短
duan4 段断锻缎煅椴簖塅瑖
dui1 堆
dui4 对队兑怼碓祋
dun1 敦蹲吨墩惇礅镦蹾
dun3 盹趸
dun4 顿盾钝炖沌囤遁砘
duo1 多咄哆掇裰剟㙍
duo2 夺铎踱
duo3 躲朵垛哚埵亸
duo4 堕舵剁惰跺驮饳
