亾 匃
氶 丞
互 冱
亇 竹
习 羽
亍 行
仁 佞
囙 卣
卪 卵
艺 呓
队 坠
弚 弟
毋 毐
叹 亟
䏌 佾
吏 使
㡯 侂
凹 兕
兊 兖
㕛 叕
叩 命
厈 岸
归 岿
彐 录
朮 怵
汇 㧟
仒 於
仄 昃
六 昗
兮 枍
囚 泅
阞 泐
弘 泓
写 泻
䖝 虱
毌 贯
击 陆
仌 俎
呆 保
㝴 冠
厽 垒
孖 孨
尖 尜
卅 带
匆 怱
动 恸
冊 扁
曳 拽
穵 挖
过 挝
爭 挣
旡 既
匃 曷
氿 染
匛 柩
卮 栀
节 栉
亖 段
刘 浏
许 浒
守 狩
夃 盈
汒 茫
茾 荆
巟 荒
丐 钙
囬 面
吁 冔
昗 冥
匸 匿
弄 哢
皂 唣
序 垿
壯 奘
好 孬
苋 宽
兌 帨
丗 帯
闵 悯
别 捌
岛 捣
杲 桌
㐆 殷
围 涠
闰 润
张 涨
奋 畚
夲 皋
圤 盐
仝 砼
巧 窍
匈 胸
䏍 能
匹 苉
存 荐
何 荷
犾 获
㕚 蚤
㞢 蚩
宜 谊
龟 阄
肎 骨
甶 鬼
爯 偁
故 做
贳 勚
拍 啪
转 啭
阜 埠
帚 埽
画 婳
审 婶
佰 宿
歨 徙
卸 御
你 您
季 悸
肩 掮
虏 掳
呂 梠
灵 棂
声 殸
昊 淏
肥 淝
㸒 淫
闷 焖
㸚 爽
弥 猕
进 琎
边 笾
却 脚
尿 脲
氾 范
仕 茌
旲 莫
虐 谑
耴 辄
吊 铞
丢 铥
迶 随
泰 傣
⺜ 最
厘 喱
夰 奡
须 媭
孨 孱
昚 尞
虽 强
征 惩
制 掣
阁 搁
觉 搅
学 敩
昍 晶
兓 朁
芬 棻
㲎 毳
沝 淼
洰 渠
勃 渤
巷 港
弇 渰
拜 湃
恬 湉
盆 湓
显 湿
贱 溅
叙 溆
帯 滞
炏 焱
牪 犇
㹜 猋
芒 硭
邛 筇
肋 筋
扣 筘
在 茬
仲 茽
红 荭
纣 荮
阴 荫
律 葎
壮 装
忒 铽
助 锄
活 阔
陟 骘
海 嗨
荷 嗬
爹 嗲
罡 堽
衍 愆
敃 愍
茶 搽
罢 摆
苟 敬
恒 暅
施 椸
闾 榈
举 榉
亟 殛
殷 溵
圂 溷
除 滁
釜 滏
宰 滓
笔 滗
艳 滟
莹 滢
栾 滦
效 滧
昱 煜
昫 煦
昭 照
烝 蒸
単 禅
把 筢
快 筷
㢆 缠
贰 腻
位 莅
犹 莸
纯 莼
穷 䓖
洛 落
冡 蒙
祘 蒜
劫 蜐
库 裤
剪 谫
负 赖
迁 跹
务 雾
秃 颓
羞 馐
棘 僰
粟 僳
㓣 劄
䜭 㕡
戛 嘎
得 嘚
密 嘧
野 墅
乾 墘
梁 墚
斜 㙦
悘 嫕
常 嫦
卵 孵
頁 寡
舂 摏
屏 摒
畧 撂
屑 榍
窄 榨
隼 榫
贾 槚
哥 歌
屚 漏
教 漖
婪 漤
猗 漪
崇 漴
患 漶
羕 漾
萦 潆
维 潍
能 熊
洽 㽏
睪 睾
珀 碧
奓 䃎
㧜 箍
泊 箔
巜 粼
乑 聚
旅 膂
戕 臧
卌 舞
刺 莿
的 菂
姑 菇
河 菏
服 菔
拔 菝
宕 菪
孤 菰
沮 菹
泙 萍
帖 萜
隻 蒦
羌 蜣
卦 褂
皃 貌
忌 跽
啚 鄙
哀 锿
费 镄
逮 叇
都 嘟
㽞 嘼
虛 墟
皕 奭
匿 慝
㥑 憂
掌 撑
辇 撵
旉 敷
㳟 暴
斛 槲
棥 樊
豙 毅
琶 潖
替 潜
舄 潟
稍 潲
尌 澍
埶 熱
幾 畿
恝 瘛
㿟 皛
砳 磊
昝 糌
总 聪
強 膙
突 葖
匍 葡
皅 葩
俊 葰
冠 蒄
派 蒎
疏 蔬
缊 蕴
科 蝌
背 褙
沓 踏
沃 鋈
拿 镎
沛 霈
觜 嘴
奥 噢
哭 器
㗊 噩
筮 噬
葛 噶
塞 噻
車 墼
雋 嶲
董 懂
幹 擀
越 樾
䂞 橐
缘 橼
敞 氅
零 澪
睢 濉
然 燃
焱 燊
隐 瘾
酓 盦
桀 磔
㣎 穆
钱 篯
絭 縢
惟 罹
浪 蒗
竘 蒟
倩 蒨
萠 蒯
捕 蒱
浦 蒲
倍 蓓
惢 蕊
䖭 螣
席 褯
雁 赝
兟 赞
釒 鍂
猋 飙
虱 鲺
卤 鹾
蒿 嚆
疐 嚏
㕡 壑
麽 嬷
楙 懋
满 懑
䖒 戲
㲋 毚
僕 濮
粲 璨
瑟 璱
嵒 癌
斑 癍
舜 瞬
移 簃
断 簖
剡 罽
部 蔀
焊 蔊
寇 蔻
新 薪
臺 薹
槀 藁
臧 藏
赦 螫
荃 醛
㬎 隰
㦰 韱
黍 黏
阚 㘎
適 擿
魁 櫆
穀 瀔
䀠 瞿
盙 簠
牌 簰
甤 蕤
温 蕰
耦 藕
潘 藩
隋 隳
訇 鞫
荐 鞯
殄 餮
眔 鳏
燕 嬿
瞢 懵
樊 攀
翰 瀚
嬴 瀛
韰 瀣
熱 爇
靠 㸆
㨨 籀
戢 蕺
媷 薅
微 薇
滕 藤
澡 藻
筳 䗴
淫 霪
冀 骥
㚇 鬷
雪 鳕
㷉 鳚
戲 巇
罽 瀱
糞 瀵
遠 薳
漂 薸
繁 蘩
霝 酃
宽 髋
嘼 鼍
舋 亹
夒 夔
魏 巍
颢 灏
鬳 甗
羴 羼
憂 耰
皛 藠
摩 藦
奭 襫
蔺 躏
豐 酆
䩗 霸
鲞 䲢
恣 懿
衡 蘅
貍 霾
號 饕
粥 鬻
管 鳤
纂 攥
遽 蘧
遀 髓
晏 鼹
霸 灞
糜 醾
鍂 鑫
赣 戆
縣 纛
醮 蘸
靡 蘼
攀 襻
虘 齇
丌 亓畀
之 乏芝
丈 仗杖
么 麽仫
刁 叼汈
ス 𢀖
リ 归帅
圡 压玉
头 买实
五 吾伍
厃 危詹
史 驶吏
乡 飨芗
另 别拐
孔 吼芤
布 希怖
歺 𣦼
丏 沔眄
卝 薨芈
买 卖荬
尗 叔戚
处 咎昝
丝 咝鸶
对 树怼
內 枘肭
四 泗驷
兴 举誉
刖 前俞
严 俨酽
妟 宴匽
尨 厖牻
戌 威咸
伊 咿洢
艾 哎砹
约 药哟
龵 看拜
州 洲酬
癶 登癸
禸 离禺
问 𬜬
貝 賁頁
到 倒捯
奔 锛倴
顷 倾庼
冃 冕冔
亨 哼烹
尾 娓艉
兵 宾浜
坎 莰崁
叒 桑叠
岑 涔梣
坒 陛狴
狄 荻逖
叵 笸钷
怱 葱偬
尝 偿鲿
刷 涮唰
戾 捩唳
拉 啦鞡
夊 𡕩
宓 密蜜
攴 敲寇
肴 淆崤
医 悘殹
串 患窜
囱 窗悤
贯 惯掼
奈 捺萘
欣 掀锨
郑 掷踯
㡀 敝黹
刅 梁粱
志 痣梽
局 焗锔
邪 琊铘
咎 绺晷
囷 菌䐃
荒 慌谎
彦 颜谚
迷 谜醚
佘 赊畲
江 鸿茳
诸 储槠
乘 剩嵊
欮 阙厥
夏 厦嗄
陏 堕椭
耎 堧媆
弯 湾塆
威 崴葳
品 喿嵒
㚘 替辇
斿 游蝣
眇 渺缈
昬 缗湣
男 舅甥
否 痞嚭
追 槌缒
印 茚䲟
畟 稷谡
庚 赓鹒
杜 𬭊
宏 𬭎
狊 阒䴗
倠 雁䧹
砉 𬴃
㐭 禀亶
巢 剿缫
冝 叠舋
索 嗦溹
通 嗵熥
恶 𫫇
疾 嫉蒺
晃 幌滉
盈 楹戤
畜 蓄搐
虑 滤摅
亲 新榇
预 滪蓣
衮 滚磙
规 窥鬶
均 筠鋆
吳 虞蜈
㒸 遂邃
扇 煽骟
虚 嘘觑
孰 熟塾
犀 墀樨
勘 墈磡
商 墒熵
敕 整嫩
徙 屣蓰
郭 廓漷
率 摔蟀
匪 榧篚
脩 滫䗛
桼 漆膝
莽 蟒漭
萧 潇蟏
敛 潋蔹
毒 碡纛
炭 碳羰
择 萚箨
竹 𮅕
谒 蔼霭
狱 𬸚
属 嘱瞩
朝 潮嘲
復 覆履
毳 撬橇
颉 撷缬
猪 潴橥
孱 潺骣
流 鎏瑬
㼌 窳蓏
遣 谴缱
鼎 鼐鼒
禁 襟噤
厨 橱蹰
翕 歙熻
悉 蟋窸
溥 薄簿
数 擞薮
渠 蕖磲
兜 蔸篼
敏 繁鳘
殹 翳繄
䧹 鹰膺
殿 臀癜
