罹 li2 "罒 wang3, 囗 wei2, 惟 wei2, 忄 xin1, 隹 zhui1, 亠 tou2, 土 tu3, 十 shi2"  厘狸离梨犁漓璃黎篱骊鹂喱蓠蜊缡嫠 0 "罹 li2 happen to; sorrow; suffer from
罹难 li2nan4 to die in an accident or disaster; to be killed
罹患 li2huan4 to suffer (from an illness); to fall ill
罹祸 li2huo4 to suffer a disaster; to fall victim to misfortune" 
牦 mao2 "牛 niu2, 十 shi2, 毛 mao2, 二 er4"  毛矛茅锚茆旄髦蝥蟊 1 "牦 mao2 yak (bos grunniens)
牦牛 mao2niu2 yak (bos grunniens)" 
砝 fa3 "石 shi2, 口 kou3, 去 qu4, 土 tu3, 十 shi2, 厶 si1"  法 2 "砝码 fa3ma3 standard weight (used on a balance scale)" rare
捋 lü3 "扌 shou3, ㇀ ti2, 寸 cun4"  吕侣旅铝屡缕履膂褛梠稆 3 "捋 lü3 to smooth or arrange sth using one's fingers; to stroke" 
犄 ji1 "㇀ ti2, 奇 qi2, 大 da4, 人 ren2, 可 ke3, 丁 ding1, 口 kou3"  讥击叽饥圾机肌鸡唧积基缉畸箕稽激 4 "犄 ji1 ox-horns; wing of an army
犄角 ji1jiao3 horn" 
恹 yan1 "忄 xin1, 厌 yan4, 厂 chang3, 犬 quan3, 大 da4, 人 ren2"  烟焉淹燕胭崦阉阏腌湮鄢嫣墕漹 5 "恹恹 yan1yan1 weak; worried; sickly; wan" 
醚 mi2 "酉 you3, 西 xi1, 迷 mi2, 辶 chuo4, 米 mi3, 木 mu4, 十 shi2"  弥迷谜祢猕縻麋蘼醾 6 "醚 mi2 ether
乙醚 yi3mi2 ether; diethyl ether c2h5oc2h5
甲醚 jia3mi2 methyl ether ch3och3
丙醚 bing3mi2 n-propyl ether" 
怩 ni2 "忄 xin1, 尼 ni2, 尸 shi1, 匕 bi3"  尼呢泥坭铌倪霓鲵伲猊𫐐𫠜麑 7 "怩 ni2 shy; timid; bashful; to look ashamed
