㑳 㑇
㒚 文
㒷 兴
㓟 披
㘚 㘎
㛛 娠
㠣 𫵷
㥮 㤘
㩳 㧐
㴑 溯
䃮 鿎
䄍 蜡
䓣 𬜯
䖏 处
䡵 𫟦
䥑 鿏
䥕 𬭯
䮄 𫠊
䰾 鲃
䲁 鳚
䲘 鳤
䴉 鹮
丼 井
亁 乾
伷 胄
併 并
侖 仑
係 系
俓 劲
俔 伣
倈 俫
倖 囟
値 值
傖 伧
傢 家
傯 偬
僉 佥
僊 仙
僞 伪
僤 𫢸
僨 偾
儎 载
儔 俦
儘 尽
儺 傩
儻 傥
兗 兖
冣 最
凈 净
凈 净
処 处
剄 刭
剉 锉
剗 刬
剙 创
剳 劄
剴 剀
劌 刿
勣 𪟝
勩 勚
勱 劢
匭 匦
厙 厍
厠 厕
厴 厣
叄 叁
叅 叁
吋 寸
呉 吴
呴 诟
咮 胄
咼 呙
唅 含
唚 吣
啓 启
嗊 唝
嗻 处
嘽 啴
噁 恶
噦 哕
噲 哙
噹 当
嚥 咽
嚮 向
嚲 亸
嚳 喾
囁 嗫
囅 冁
囌 苏
坆 坟
垻 坝
埡 垭
埨 𫭢
埰 采
堖 垴
塏 垲
塒 埘
塚 中
塡 填
塤 埙
塲 场
塸 𫭟
塿 𪣻
墠 𫮃
墶 垯
墻 墙
壋 垱
壙 圹
壢 坜
壪 塆
壼 壸
夘 夗
奬 奖
奼 姹
姦 奸
娙 𫰛
娯 娱
媧 娲
媯 妫
媼 媪
嫰 媆
嫿 婳
嬀 妫
嬃 媭
嬋 婵
嬙 嫱
嬡 嫒
嬭 奶
嬲 恼
屓 屃
屨 屦
崋 华
崍 崃
崬 岽
嵽 𫶇
嶁 嵝
嶔 嵚
嶠 峤
嶢 峣
嶧 峄
嶨 峃
嶮 崄
嶴 岙
巋 岿
巘 𪩘
巠 𢀖
帲 帡
幘 帻
幬 帱
廎 庼
廞 𫷷
廡 庑
廩 廪
弍 贰
彄 𫸩
彆 别
彊 强
彙 汇
彠 彟
徃 往
怸 悉
惲 恽
愨 悫
愬 诉
慄 栗
慤 悫
慳 悭
憒 愦
憖 慭
憮 怃
懌 怿
懍 懔
懞 蒙
懮 忧
戔 戋
戠 只
戩 戬
戸 户
抍 基
拚 帆
挿 插
捨 舍
捨 舍
捲 卷
揅 研
揜 掩
揝 攒
揞 掩
揺 摇
摶 抟
摺 折
撍 攒
撏 挦
撝 㧑
撢 掸
撳 揿
擓 㧟
擡 抬
攄 摅
攖 撄
敁 拈
斆 敩
斍 觉
昜 𠃓
晛 𬀪
晩 晚
晳 晰
暐 𬀩
暘 旸
曆 历
曏 向
曨 昽
朶 朵
栢 孛
梘 枧
梜 𬂩
梲 棁
梲 棁
棖 枨
棡 㭎
榪 杩
榿 桤
槤 梿
槧 椠
檁 檩
檉 柽
檟 槚
檟 斝
檮 梼
檯 台
櫂 掉
櫍 𬃊
櫛 栉
櫝 椟
櫞 橼
櫧 槠
櫫 橥
櫬 榇
櫳 栊
欏 椤
欒 栾
欓 𣗋
欬 咳
歟 欤
殻 壳
殻 壳
毿 毵
氌 氇
沖 冲
浿 𬇙
涶 唾
淊 淹
淥 渌
淶 涞
渢 沨
渨 偎
湋 𣲗
湞 浈
溈 沩
溮 浉
溳 涢
滎 荥
滷 卤
滸 浒
滻 浐
漊 溇
漍 𬇹
漵 溆
潁 颍
潕 𣲘
潙 沩
潯 浔
潷 滗
潿 涠
澐 沄
澠 渑
澦 滪
澫 𬇕
澮 浍
濆 𣸣
濚 溁
濛 蒙
濜 浕
濼 泺
瀂 澛
瀅 滢
瀋 沈
瀠 潆
瀦 潴
瀲 潋
灃 沣
灄 滠
灕 漓
灝 灏
灧 滟
炰 炮
煒 炜
煖 娠
煠 炸
煬 炀
熅 煴
熗 炝
熰 𬉼
熲 颎
燀 𬊤
燁 烨
燖 𬊈
燾 焘
爲 为
牠 它
犖 荦
獃 呆
獫 猃
獮 狝
琿 珲
瑒 玚
瑲 玱
璉 琏
璊 𫞩
璕 𬍤
璗 𬍡
璡 琎
璦 瑷
璫 珰
璵 玙
瓅 𬍛
瓔 璎
瓚 瓒
瓛 𤩽
産 产
畊 耕
痾 疴
瘉 愈
瘞 瘗
瘲 疭
瘺 瘘
癉 瘅
癘 疠
癥 症
癧 疬
癰 痈
盪 荡
睍 𪾢
睏 困
瞘 眍
瞜 䁖
矇 蒙
矇 朦
矓 眬
矓 胧
硃 朱
硏 研
硜 硁
硤 硖
硨 砗
碭 砀
磑 硙
磽 硗
磾 䃅
礄 硚
礐 𬒈
礱 砻
禕 祎
禡 祃
禦 御
秈 籼
穇 䅟
穠 秾
穡 穑
穫 获
穭 稆
窵 窎
窶 窭
竈 灶
竜 龙
竪 竖
筧 笕
箇 个
箒 帚
篋 箧
篔 筼
篢 𬕂
簀 箦
簞 箪
簹 筜
籙 箓
籛 篯
籜 箨
籤 签
籩 笾
籪 簖
籲 吁
糰 团
糲 粝
糴 籴
糶 粜
糹 纟
紃 𬘓
紇 纥
紖 纼
紘 纮
紝 纴
紞 𬘘
紱 绂
紲 绁
紵 纻
紼 绋
絅 䌹
絎 绗
絣 背
絪 𬘡
絰 绖
絶 绝
絶 绝
絺 𫄨
綃 绡
綄 𬘫
綆 绠
綉 绣
綌 绤
綎 𬘩
綖 𫄧
綝 𬘭
綡 𫟅
綧 𬘯
綪 𬘬
綫 线
綯 绹
綰 绾
