氵 没活济法注湾汽港治清酒游海漂深消满流派洗源演渐油波浪汉泪河汤江激沙温洛沉泡测汇混涉滴湖沟漫洞汗浏泛渴灌润淡沿浅滑湿浑洋涓澡滚浓泽污涨泥泳添涂沃滋洲沪澳潮溜漏涯漠涌泼沾浜池洪浮溪泣液梁淫淘津洒渡滩汁涵溃洁沮潇沈浴潜漆汰瀑沫淋浠浸泄涅浩涛潭渗汪浣澶浇澈淌淹潘汝浦渣沧涩溢涔澄沐渔涕滨淑沸涮滥灏泊漾瀹淮渊溅潲濂汹洽汀渲淆淀漱沦泻瀛滤沌渺沁衍潢浊淳泞溶沛泌湛涤漩涡浼滞澜滔汩濒漓涟漪渍渎汲溉滢湘澎湃涧溺浒沼淇濡汕洼渚涸沽潦潺瀚粱滇瀵泾渤溯泓沥沏濑汾泯洱渥泗漳澹濯淤涎湍漕湄灞浔汴濮潍湮泷湫潞湟淄涣沅滂沱浚濠泸淞湎滟沩溟洌滓沂涝淬洙潼渝柒漉汛汐沤潸浙汔汜汊沣沔沚汨沨汶沆泐泔沭泱泅泠泺泖泫泮洹洧浃洇洄洎洫浍洮洵浕洳涑浯涞涠浞浥淅涿淖淠渑淦淝涪淙涫渌渫湜渭溲溆湲湔湉滁溱溘漭溥溧溽溻溷滗滫溴滏滃滦溏滪滹漯漶潋潴澉澍澌潟濉澧澥濞瀣氿汈氾𬇕汋汧汫𣲘𣲗沄沘𬇙汭㳇沇泙沺泂泜泃泇洭洘洓洿㳚泚浈浉洸洑洢洈洚洺洨浐㳘洴洣涍浡浭浬涄涢涐浰浟浛浲涘淏𬇹淟淜淴淯湴涴𣸣溚溁湝渰湓㴔渟溠渼溇湣湑溞滠溍溹滆滉溦溵漷滧滘滍漹漖潆漤潩漼漴漈漋漻潖潵㵐澂澛潽潾潏濩濋澪澽澴澭澼瀔瀍瀌瀱瀼灈汒洰
口 和中可后吧呢只问如啊吃或名听叫高喜京告虽句号回各另象员加史喝响言啦哪知否黑品台右唱束哦亮嘛合免咱占古呵哈喊哥唯石享嘴售味呆足害君吸吹吉吓叶嗯喂善唉毫含咬召咨哎吻哲扣叹吐呼哼局哩嘿沿启谷唐吵吾唇吴吊豪哟呈吁哄兄哀亭喘咋喔嗓舌呀喷燕咳咸嘟吼鸣哉喽唤呐嘲啃嗽喇叭咽吕喻咯嗨唔呻吟呗啪咦吞嘎嘻侃嚷咧呃亨喃咪叮嘱衰呕啸噪嗅哆嗦嘀咕唠叨吆哑嘈喧喉呜哽叼咏呛邑嘘哨喵杏哗嗡咚唬啼呸吭哇嗜咆哮咀嚼囔叩噗唾噬吱嗤嗣喏吝叽噜哒噎啧嚎啄嘶唏嗳啤咣嗔咂呷嗑啷嗝咔嚓啜嗲堇噙哧咛哝啥噶嚏咎啐咖嘹啾唷嗟嗒叱吮呱唰唆呲嗫嚅噼嘣吠嗖噌噱咝唑呓嗵吒啖噘啻噫唁唢哺嗷嗄嘬咩咻哔啮唧嘁喳噔呖啭叵噤哂呶吗吨吩咙咐咄啡啰卟叻呋呒呔吡吽吣吲黾呤呣呦哐𠳐咴哓哕咿哌哙哚咤哏哞唛唣亳啉唵啁啕唿唼啵啶唳喋喱喹喈喁喟喑嗞喀喙嗪嗉嗬嗥嗌嗍嗐辔嘞嘌嘡嘤嘚嗾嘧嘭噍噢嚄嚆噻嚯吖呙㕮呇咉咇咍咡咺咥哃哢唝哳哱唪啫啴喤𫫇噇噂噀㘎𠮛冋覀⻊𧾷𫩏㕣吂吅𠮷𡰪𢀛𢗀𦣞吳呂肙咅𫩠咠𠱠𦰩啚
艹 花英若艺获菜节荐蓝苦落茶藏药范草莫莱苏蒙萨菲薄艾莉蒂苹莎芳莲蔬荷萍苍薪藤芬芝芒苑茨芙蓉茫苗蒸葡萄蕾菊薇藉荡萧董荒菁茂蔓葬蕉芯葱蓄芭茜芸芽蓬茵蔽茎苔蘑菇茬葫芦蒜菌蕙萌萼萎葛蘸茅荤莓茄菱蔼茗荔萝蕊藕苛苇蔚茉苯蕴薰薯葵萃芥茹菠荫蔗芜茧藩荟苓蒲苟芷萱荪蓓蕃芹莽藻茁莞蔷蔫蓟菡芋藐苡茸茱蔺荼荃芮蒿苞芫荻苒荞葑苜蓿葆茴薜葺萸葩藓芍莅芡荀苌茏莘蕤蕨菏芊荠菖著菩蒋蔡薛艽艿芄芨芑芎芗芾苈苣苋芼苁芩芪芟苄苎苷苤苫苴苘茌苻茚茆茑茓茀苕荚荑荜莒茼莛茯荏荇茭荨荩荬荮荸莆莳莴莪莠莜莩荽莸莨莼萁菘萘萋菽萜萑菔菟萏菹菪菅菀菰葚葳葸葶蒌葭蓁蓍蓐蒽蓖蓊蓑蒺蓠蒟蒡蒹蒴蒗甍蔸蔟蕖蔻蓼蕈蕞蕺瞢蕲蕻薤薏薮薅薹薷藁藜藠藿蘧蘅蘩芏芃芰芣苊苉芘芴芠𫇭芤𦭜茋苧苾苠荖荁荙荛茈茽荄茺𬜬荓茳𦰡茛荭莰茝𬜯莶莝䓖莙菝萚菥莿䓫䓬萆菂菍菼萣菉䓛葜萳葙葴蒇蒈蒉蓇萩蒐葰葎蒎葖蒄萹蒱蒨蓏蔀蓢蓂蒻蓣蔌蔈蓰蔹蔊薁蕰蔃薳𬞟蕗薢蕹薿薸爇𬟁藟藦藨蘘蘼茾𫇦𦭝荅𦰩萠蒦雚
木 样果本校楼米术相未极根机格束标概林查村板析某杯李检集休困树材采构床呆桥权案松模架枪末朵棒椅杰柔杭杨棵核枚森横柳梅闲档梯栋械植染渠枝栏桑杆枕榜荣桶杜柜棋桃棉柱梨桩柏框株寨棍枫楞桂樱柴椒梳栽槛槽朴杩橡梭栈枯柯棚禾柄棺杖沐枉橘桐桔杉橱楠杏栖橙棕檐榕楷朽柠檬樵栅梗楮杠槐梆棠札栓梧榻梓榴栗檀柿椰梢桨桦棱榭杞桴榆椎杵杈椿枢榨枷榛桓橄榄桢槟榔榷榈枭杳楂柚椭桀樽橇樟桅槌宋枸棣棂柩杲柑棹棰楹楔楦桎梏楣橹栀栾楝枇杷柒桡槠槎桠栩椽杌杓枥杪枧枨枞枋杻杼柰栉柘栊枰栌柙枵枳柞柝柢栎柈柁柽栲栳桤梃栝桕桁桧栟桉臬棻梿桷棁桫椟椤椋椁椪椐椠楫楸椴楯榉榖榧榫槔榱槁槊槿樯槭樗樘槲檠樾橛檎樨橼檄檩檗蘖朳朸杕杙杄杧枅㭎枘枍㭕柷柃柊枹栐柖枲栻𬂩桄梠栴梴栒桊梼梽桲梾桯梣梌桹棤棫椓椑𬃊椆棓棬棪椀楗棐棨椹楪榅楒楩榇椸榰榑槚𣗋槜榍槃㮾槱橥橞橑橦燊檑櫆檞檫㰀欂朿𣏃罙枼䂞桼棥喿槀
钅 钱钟错银销链键铁镇针铺镜锁钥锻锅锛铃钻钢镑铅铜衔锦钉钞钩钮锋锡钓锐镶钦钙铐铸镞钧铭钗锤锯铲镖钝铝镐锲钵镓铡锣锷锈锥锄铛镌锢镯镊钳镰镀锌锭锹镣铿锵锚钠铀铹钾铮铬锃镭钰镁钿镍锂钜铂铳铢铠镂钛铧锉铆锰钨铄镆锨钏镫铣钇钊钋钌钍钎钒钕钚钡钣钤钫钯钲钴钹钺钽钼铈铉铊铋铌铍䥽铎铑铒铗铙铟铤铨铩铪铫铯铰铱铵铷铻铼锆锇锏锑锒锔锕锗锜锝锞锟锩锱锴锶锸镉镏镒镔䦃镗镘镚镛镝镠镡镢镦镧镩镪镬镲镳镴镵钆𬬩钐钔钖钘𫓧𬬮𬬱𬬭钪钬钭𬬸钷𬬻𬬹𬬿𬭁铏𫓯𫟹铕𫟼铖铘铚铞铥铴鿏𬭊铽𨱇𫓶锊锍锎𬭎锓锖𫓹锘锳锧锪𬭚锫锬𬭛𨱏锺锼锽𬭤锾锿镃镄镅镈镋镎𬭩镕𬭬𨱑𬭯𬭳镤𬭶𫔍镥镨𬭸𨱔𬭼𫔎镮镱
扌 把找打拉择技提括指按持搞拍接报据挺换掉授排投抱推护控拥担批抓挂摸拒握招摆托执抽挥措抢搭挤挑擦操拖搜拾摇损播撞扔描摄插折扣扎扩抬搬掏捧拨抹挖拼撒扬挡挨抗扫扯扶抄探挣捏扑摔拆扮撑携摘捡拐押搂拔揉拟捐抖抵揭摊拽拎抑捉扭披抛援拦扰扛撼捕掩拯扒振搁捂抚掀撤揪揣搓捞捷撕攒拣掐挫拧挽擅挪撰捅掘捆拓拌拘搅揍撇摧拂掠揽拱拢攥抒挠抠搏拴捣拙撬撮挎掷抿捍挟捶摞撩抉搀扳拇拄搐拭摁撅擒掂抨拷搔撂扼捻拈捋抡捎捺搽撵揩掖掸拮掳搪揖擂拗揿摒挝抻揶揄掇攮扪撸挞攘搠擞掬攫擀掼搡擢撺掴摈捌掺扦抟抔抃㧐拤拃拊㧟挦挹捃捯捭捽掊捩掮揳揸揠揆掾摅搋搛搦摽撄摭撷撙擤攉扞扽扺㧑挓拶掭掎掞揕摛搒搌摏摴撖擐擿㧜㨨
亻 他你们什但做候作像位使便件住化何任信供似份体倒代价低仍夜传仅亿保健停修值休依仿佛俺优借假伊仔偶估偷倍伟傻伤例伙佳伯付傅仙俄俩促伸偏伦傲仰仪仁伴傍侧偿倾侯俗佩催俱倩侠伏侵侣倡倚仇俊侮侨佬伐伪倦倘仗侃侈儒债侦储仆佑俏僻僚俘俨僵倔佐仕伍侍侬侥佣僧侄伶俯偌俭偎伫伽仲倪伎倭偕佚倏偈俐俟佰佯伺傀儡俚俾伢彳佃佗侏偃僮佻仟攸佝偻傩倌伲傥仞俪侗伉俸傣侩倜仃仉仂仨仡仫伛佤仵伥伧佟佶侑侉佾侪佼侔俦俅俣俑俵俳俶倬倥倨偾偬傈傧僖儆僳僭儋伋仳伣伈伾㑇伭佖佁佴侁侹佸佺隹㑊侂佽侘俫俜俙俍倻倴倮倕倞𫢸倓倧偰偡偭偲偁偓傃傉翛傒傕傺僇僬僦僔僎儇儦儳儴乑倠僕
土 在地去里走生坐社块场城至黑境王基坛幸增坚址坏培型堆均塔圳堂域角圣塞寺墙吐垃圾埃填墅疆埋堵壁庄堡坑墨坡垫杜塑堪丧坊尘赤塘坦肚坪堕坎坠垄墓垮坟墟壤塌坝堤冉坷灶垒墩牡坤埠啬埚垣坞垛垢坍坨塾埔壕圩堰埂壑垦垠坯垭堑埙坳埭圬圭圪圹圮圯圻坂坌坩坫垆坼坻坭茔钍垤垱垌垧垓垩垡埕埘埒垸埴埯埸埵埤埝堋堍堉埽堞堙塄塆塬塍墁墉墒墀廛墼壅圢圲圫芏𫭟坜坉𫭢坋坒坥坰坬坽垈垚垯垙垲埏垍鿍垎垴垟垞垵垏垕𫭼埗垾垺埆垿埌埇堲堎堐埼埫堌𫮃埪㙍堃堾堼㙘堧堨塅堠𪣻𡎚塥堽塝塱墕墈墐墘𡐓墚𪤗㙦瘗墣墦墡龶圡𡈼耂圤𠮷𦍌圼𡉼坴夌垔
纟 给经结终继续红绍组织统络约线纪级绩绝编纸练纳细绪维综纷纽缘绕纯缓绑缠缩缝绘纠绳纹纲绣缕绎绅纵纺纱缚缴纤缀绵绷辫缅绞绽绒绰缁绸绯绢绚绮缤绛绊缆缭缔绿纬缪缉缮纶绉缎绫绾缇绺缄缑缨缰绂纨缜绥绗纫绌缢绠缱绻纾纣绦缃纭绀纰纥纡纴绁绔绡绨绱绲绶缂缈缌缒缗缙缛辔缟缡缣缥缦缧缫缬缯缲缳缵𬘓纩纮纻𬘘纼䌹绋绐绖𬘡𬘩𫄧𫄨绤𬘫𬘬𬘭绹𫟅𬘯缊缐缞𬙂𫄷𦈡𫄸𬙊𬙋
女 她要好如始妈安媒姐妻婚姑娘妹奶姓娱妇姆威姻娜姨嫌娶妙嫁委婴娃媳婆妞姿妮妖娇妨嫩耍奸妓妆娅姥奴嫉妒姜娟嫂婪妥媚婷妃姚汝婿姬姊妩妾婉妍妄婶婊婧姝嬉嫔娩媲媛嫖娼姣娄婕娴娥娑娆婢姗妊娠姘娣娉囡嫣妤婀嫡妪妲妗娓婵孀姹娈佞妫妁妣姒钕妯姮娌娲媭媪婺媵媾嫫嫒媸嫠嫱嫦嫚嫘嬴嬖嬗嬷妧妘妭姈𫰛㛃娀姞姱姤姶姽㛚婞娵婼媖婳婍婌婫婤婘婠婻媆媞㛹媓媂媄嫄媱嫕嫭嫜嫪嫽嬛嬬嬥嬿孅妟媷
