弋 yi4
戈 ge1
我 wo3
勺 shao2
一 yi1
囗 wei2
日 ri4
白 bai2
的 di1
八 ba1
小 xiao3
尔 er3
亻 
你 ni3
是 shi4
了 liao3
不 bu4
门 men2
们 men5
文 wen2
这 zhe4
乜 mie1
也 ye3
他 ta1
厶 si1
么 me5
十 shi2
土 tu3
在 zai4
月 yue4
有 you3
个 ge4
子 zi3
女 nü3
好 hao3
木 mu4
未 wei4
来 lai2
人 ren2
那 na4
口 kou3
要 yao4
二 er4
云 yun2
会 hui4
尤 you2
京 jing1
就 jiu4
什 shen2
又 you4
没 mei2
至 zhi4
到 dao4
儿 er2
兄 xiong1
兑 dui4
说 shuo1
马 ma3
吗 ma3
力 li4
为 wei4
心 xin1
目 mu4
相 xiang1
想 xiang3
能 neng2
上 shang4
去 qu4
首 shou3
道 dao4
她 ta1
艮 gen3
很 hen3
看 kan4
丁 ding1
可 ke3
大 da4
矢 shi3
知 zhi1
寸 cun4
旦 dan4
得 de2
过 guo4
巳 si4
巴 ba1
吧 ba1
还 hai2
对 dui4
田 tian2
里 li3
以 yi3
者 zhe3
都 dou1
事 shi4
生 sheng1
时 shi2
羊 yang2
样 yang4
禾 he2
和 he2
卜 bu3
下 xia4
三 san1
具 ju4
真 zhen1
见 jian4
现 xian4
古 gu3
故 gu4
做 zuo4
阿 a1
啊 a1
乍 zha4
怎 zen3
出 chu1
占 zhan4
点 dian3
走 zou3
起 qi3
天 tian1
把 ba3
廾 gong3
开 kai1
让 rang4
合 he2
给 gei3
但 dan4
身 shen1
射 she4
谢 xie4
着 zhao2
只 zhi3
匕 bi3
止 zhi3
此 ci3
些 xie1
如 ru2
家 jia1
后 hou4
夕 xi1
多 duo1
立 li4
音 yin1
意 yi4
另 ling4
别 bie2
斤 jin1
所 suo3
千 qian1
舌 she2
话 hua4
自 zi4
回 hui2
犬 quan3
然 ran2
果 guo3
发 fa1
定 ding4
听 ting1
觉 jue2
太 tai4
亥 hai4
该 gai1
当 dang1
经 jing1
妈 ma1
用 yong4
打 da3
地 di4
冉 ran3
再 zai4
因 yin1
尸 shi1
尼 ni2
呢 ni2
告 gao4
耳 er3
取 qu3
最 zui4
