癌 ai2
皑 ai2
肮 ang1
卬 ang2
昂 ang2
盎 ang4
凹 ao1
媪 ao3
袄 ao3
掰 bai1
白 bai2
雹 bao2
北 bei3
甭 beng2
琫 beng3
逼 bi1
鲾 bi1
荸 bi2
鼻 bi2
憋 bie1
鳖 bie1
瘪 bie3
簸 bo3
跛 bo3
擘 bo4
檗 bo4
晡 bu1
逋 bu1
醭 bu2
嚓 ca1
擦 ca1
偲 cai1
猜 cai1
菜 cai4
蔡 cai4
藏 cang2
操 cao1
糙 cao1
岑 cen2
涔 cen2
噌 ceng1
蹭 ceng4
拆 chai1
钗 chai1
茝 chai3
瘥 chai4
虿 chai4
吵 chao3
炒 chao3
耖 chao4
砗 che1
车 che1
扯 che3
碜 chen3
牚 cheng4
秤 cheng4
宠 chong3
铳 chong4
臭 chou4
搋 chuai1
揣 chuai3
踹 chuai4
喘 chuan3
舛 chuan3
串 chuan4
钏 chuan4
疮 chuang1
窗 chuang1
闯 chuang3
创 chuang4
怆 chuang4
吹 chui1
炊 chui1
蠢 chun3
粗 cu1
徂 cu2
殂 cu2
漼 cui3
璀 cui3
存 cun2
忖 cun3
寸 cun4
脞 cuo3
打 da3
大 da4
呆 dai1
呔 dai1
捯 dao2
嘚 de1
扽 den4
戥 deng3
等 deng3
嗲 dia3
爹 die1
跌 die1
顶 ding3
鼎 ding3
丢 diu1
铥 diu1
懂 dong3
董 dong3
端 duan1
耑 duan1
短 duan3
堆 dui1
盹 dun3
趸 dun3
婀 e1
屙 e1
恩 en1
蒽 en1
摁 en4
发 fa1
法 fa3
砝 fa3
珐 fa4
反 fan3
返 fan3
放 fang4
粉 fen3
唪 feng3
讽 feng3
佛 fo2
否 fou3
缶 fou3
尕 ga3
尬 ga4
改 gai3
岗 gang3
港 gang3
哿 ge3
舸 ge3
给 gei3
根 gen1
跟 gen1
哏 gen2
艮 gen3
亘 gen4
茛 gen4
暅 geng4
共 gong4
贡 gong4
剐 gua3
寡 gua3
乖 guai1
掴 guai1
拐 guai3
夬 guai4
怪 guai4
广 guang3
犷 guang3
逛 guang4
棍 gun4
过 guo4
哈 ha1
铪 ha1
咍 hai1
嗨 hai1
孩 hai2
骸 hai2
夯 hang1
沆 hang4
好 hao3
郝 hao3
痕 hen2
恨 hen4
亨 heng1
哼 heng1
堼 heng4
唝 hong3
讧 hong4
齁 hou1
吼 hou3
坏 huai4
欢 huan1
獾 huan1
㬊 huan3
缓 huan3
佸 huo2
活 huo2
嚼 jiao2
矫 jiao2
卷 juan3
锩 juan3
噘 jue1
撅 jue1
咔 ka1
喀 ka1
卡 ka3
胩 ka3
忾 kai4
炌 kai4
尻 kao1
咳 ke2
壳 ke2
剋 kei1
裉 ken4
控 kong4
硿 kong4
口 kou3
苦 ku3
夸 kua1
姱 kua1
侉 kua3
垮 kua3
㧟 kuai3
蒯 kuai3
宽 kuan1
髋 kuan1
款 kuan3
夼 kuang3
困 kun4
旯 la2
砬 la2
喇 la3
滥 lan4
烂 lan4
啷 lang1
捞 lao1
冷 leng3
堎 leng4
愣 leng4
哩 li1
俩 lia3
撩 liao1
蹽 liao1
咧 lie3
拎 lin1
岭 ling3
