九 jiu 究鸠氿
乂 yi 议义仪蚁刈舣
七 qi 砌沏柒
厶 si 私肆涘
乙 yi 艺忆亿屹呓钇
丁 ding 顶订盯钉叮酊町仃玎疔耵
人 ren 认
几 ji 机矶肌饥叽玑讥麂虮
刀 dao 叨忉舠鱽
又 you 友
了 liao 疗辽钌
八 ba 爸叭扒朳
口 kou 扣叩筘
止 zhi 址趾祉跖踯芷陟沚骘踬跱
三 san 叁
力 li 历励雳沥荔呖枥苈疬粝朸坜𫵷珕
马 ma 吗妈码玛骂蚂犸杩祃
尸 shi 屎鸤
龴 jue 谲𫔎
乃 nai 奶氖艿鼐
匕 bi 比毕陛毙庇哔吡蓖荜篦毖筚秕妣跸芘坒沘舭狴
兀 wu 杌靰屼
刃 ren 忍韧纫仞轫讱
刂 dao 到倒捯
川 chuan 氚钏
叉 cha 衩杈汊
土 tu 徒吐屠钍堍
士 shi 仕
大 da 达哒鞑耷跶垯荙鿎𫟼
子 zi 字籽孜孖孳耔虸
尢 wang 尪
巳 si 祀汜
巾 jin 锦
幺 yao 窈吆靿
卄 nian 碾廿
弓 gong 躬
忄 xin 忻
弋 yi 杙𬬩
扌 shou 授
万 wan 𬇕
夕 xi 汐穸
艹 cao 草
讠 yan 谚谳
门 men 们闷扪焖钔
不 bu 钚
斤 jin 近靳𬬱
从 cong 丛枞苁
井 jing 阱肼汫
中 zhong 种钟忠肿衷仲盅螽茽舯
王 wang 望往旺汪枉尪
之 zhi 芝
丈 zhang 仗杖
寸 cun 村忖
山 shan 讪疝舢汕嶦
工 gong 功攻贡汞巩
千 qian 迁阡仟钎扦芊圲杄
乞 qi 迄讫汔
义 yi 议仪蚁舣
彡 shan 杉衫钐
干 gan 赶杆肝竿擀秆酐玕旰矸淦虷
与 yu 屿玙欤
勿 wu 物芴
久 jiu 疚灸玖柩
刁 diao 叼汈
夫 fu 肤芙扶麸呋蚨趺幞玞砆𫓧
女 nü 钕
心 xin 芯伈
日 ri 驲
木 mu 穆沐
氏 shi 舐
气 qi 汽
火 huo 伙钬㸌
月 yue 刖玥
广 guang 犷
予 yu 预豫鹬妤滪矞蓣潏遹燏
纟 si 缌
己 ji 记纪忌觊鱾跽
于 yu 宇芋迂盂竽纡邘
车 che 砗
乌 wu 坞呜鹉鹜钨邬鹀
去 qu 祛㭕胠袪
丙 bing 病柄炳蛃邴昺
丘 qiu 邱蚯
夭 yao 妖
占 zhan 战站粘沾毡飐
旦 dan 但担胆疸亶膻疍
业 ye 邺
父 fu 斧釜滏㕮㳇
凶 xiong 胸匈汹讻
卬 ang 昂
比 bi 毕陛毙庇哔吡蓖荜篦毖筚秕妣跸芘坒沘舭狴
午 wu 忤仵迕旿
介 jie 界阶芥疥玠蚧骱
壬 ren 任饪妊荏纴衽
分 fen 份粉芬氛纷吩酚忿汾棻棼鼢坋翂
方 fang 放房防访仿妨肪芳坊纺钫枋昉舫鲂邡牥蚄
亢 kang 抗炕伉闶钪
及 ji 极级圾岌汲笈芨伋
五 wu 伍唔悟吾晤捂梧痦鼯浯牾焐铻寤郚峿珸
支 zhi 肢枝吱忮
犬 quan 畎
尤 you 优犹忧鱿疣莸
云 yun 运酝芸耘纭沄妘
区 qu 驱躯岖
韦 wei 围伟违纬苇韪闱帏玮炜涠𣲗𬀩
专 zhuan 转砖啭䏝
牙 ya 呀雅讶鸦芽蚜伢迓岈玡砑琊
见 jian 舰枧笕
长 zhang 张帐账涨胀
仑 lun 论伦轮沦抡囵𫭢𬬭
仓 cang 舱苍沧伧鸧
