一 1
丨 1
丶 1
丿 1
乀 1
乙 1
乚 1
乛 1
𠃊 1
𠃋 1
𠃌 1
𠃍 1
亅 1
𠄌 1
𡿨 1
㣺 1
丁 2 ⿱一亅
丂 2 ⿱一㇉
七 2 ⿻㇀乚
丄 2 ⿱丨一
丅 2 ⿱一丨
丆 2 ⿱一丿
𬺰 2 ⿻一亅
丩 2 ⿰𠄌丨
丷 2 ⿰丶㇒
乂 2 ⿻丿㇏
乃 2 ⿹㇡丿
㐅 2 ⿻丿丶
𠂆 2 ⿱丿丿
𠂇 2 ⿻一丿
𠂈 2 ⿰𠄌丿
𠂉 2 ⿰丿一
𠂊 2 ⿰丿㇇
𰀪 2 ⿱丿丿
乜 2 ⿻乛乚
九 2 ⿻㇓㇈
龴 2 ⿱㇇丶
了 2 ⿱乛亅
𠄎 2 ⿱乛𠃌
𠄐 2 ⿱乛亅
二 2 ⿱一一
𠄠 2 ⿱一一
亠 2 ⿱丶一
人 2 ⿸丿㇏
亻 2 ⿱丿丨
𠆢 2 ⿰丿㇏
儿 2 ⿰丿乚
入 2 ⿹乀丿
八 2 ⿰丿乀
冂 2 ⿰丨𠃌
冖 2 ⿰丿乛
冫 2 ⿱丶㇀
几 2 ⿰丿㇈
𠘧 2 ⿰丿㇍
𠘨 2 ⿰丿⺄
凵 2 ⿰𠃊丨
刀 2 ⿹𠃌丿
刁 2 ⿹𠃌㇀
刂 2 ⿰丨亅
力 2 ⿻𠃌丿
勹 2 ⿰丿𠃌
匕 2 ⿺乚丿
𠤎 2 ⿻乚丿
匚 2 ⿱一𠃊
匸 2 ⿱一𠃊
十 2 ⿻一丨
卜 2 ⿰丨丶
卩 2 ⿰丨𠃌
𰆊 2 ⿹𠃌丨
㔾 2 ⿺乚𠃌
厂 2 ⿰一丿
厶 2 ⿰𠃋丶
又 2 ⿻㇇㇏
巜 2 ⿰𡿨𡿨
廴 2 ⿻㇋乀
𫠠 2 ⿻一㇂
𢎘 2 ⿱𠃌㇉
𰛄 2 ⿰㇇亅
讠 2 ⿱丶㇊
万 3 ⿸丆𠃌
丈 3 ⿻𠂇㇏
三 3 ⿱一二
上 3 ⿱⺊一
下 3 ⿱一卜
丌 3 ⿱一⿰丿丨
卄 3 ⿻十丨
𠀃 3 ⿱冂一
𫝀 3 ⿻丿ユ
𰀁 3 ⿻二丨
𰀂 3 ⿾⺕
与 3 ⿹⿺㇉一一
个 3 ⿱𠆢丨
丫 3 ⿱丷丨
㐄 3 ⿻十𠃋
丸 3 ⿻九丶
义 3 ⿶乂丶
久 3 ⿸𠂊㇏
乇 3 ⿱丿七
么 3 ⿱丿厶
𠂋 3 ⿸𠂆一
𠂌 3 ⿱丿𬺰
𠂎 3 ⿱丿𠂈
乞 3 ⿱𠂉乙
也 3 ⿻乜丨
习 3 ⿹𠃌冫
𠃓 3 ⿹㇡⿰丿丿
亇 3 ⿱⺈亅
亍 3 ⿱一丁
于 3 ⿱一𬺰
亏 3 ⿱一丂
亡 3 ⿱亠𠃊
亼 3 ⿱人一
亽 3 ⿱𠆢丶
亿 3 ⿰亻乙
兀 3 ⿱一儿
凡 3 ⿵几丶
刃 3 ⿹刀丿
勺 3 ⿹勹丶
卂 3 ⿹⺄十
千 3 ⿱丿十
卪 3 ⿴卩丶
