爾 尔
門 门
們 们
這 这
麼 么
個 个
來 来
雲 云
會 会
沒 没
兒 儿
兌 兑
說 说
馬 马
嗎 吗
為 为
過 过
還 还
對 对
裡 里
時 时
樣 样
見 见
現 现
佔 占
點 点
開 开
讓 让
給 给
謝 谢
著 着
後 后
別 别
話 话
發 发
聽 听
覺 觉
該 该
當 当
經 经
媽 妈
屍 尸
從 从
訴 诉
愛 爱
問 问
錯 错
幹 干
電 电
間 间
歡 欢
頭 头
實 实
關 关
進 进
車 车
認 认
誰 谁
萬 万
廠 厂
廣 广
應 应
豐 丰
幫 帮
無 无
動 动
幾 几
機 机
殺 杀
於 于
帶 带
許 许
東 东
長 长
親 亲
種 种
學 学
國 国
兩 两
請 请
記 记
貝 贝
頁 页
題 题
兇 凶
離 离
談 谈
錢 钱
場 场
計 计
確 确
臺 台
結 结
難 难
岡 冈
剛 刚
邊 边
將 将
準 准
變 变
證 证
員 员
總 总
奧 奥
么 幺
處 处
辦 办
氣 气
備 备
隊 队
試 试
醫 医
體 体
樂 乐
並 并
選 选
興 兴
夠 够
決 决
約 约
傷 伤
報 报
倉 仓
槍 枪
號 号
遠 远
師 师
識 识
賽 赛
鬚 须
蟲 虫
內 内
運 运
單 单
寶 宝
張 张
戰 战
羅 罗
聲 声
條 条
買 买
壯 壮
裝 装
戶 户
護 护
節 节
聖 圣
與 与
願 愿
擊 击
達 达
餘 余
寫 写
絕 绝
擔 担
雖 虽
強 强
崙 仑
論 论
飛 飞
業 业
亞 亚
賣 卖
續 续
視 视
軍 军
盡 尽
線 线
壞 坏
義 义
議 议
鐘 钟
繼 继
禮 礼
婁 娄
數 数
風 风
瘋 疯
調 调
緊 紧
聯 联
腦 脑
專 专
轉 转
卻 却
參 参
務 务
書 书
統 统
況 况
險 险
傑 杰
傳 传
復 复
術 术
維 维
歲 岁
據 据
蘭 兰
惡 恶
煩 烦
遊 游
隨 随
費 费
鬥 斗
簡 简
劃 划
區 区
錄 录
輕 轻
連 连
組 组
滿 满
彈 弹
爭 争
靜 静
極 极
講 讲
塊 块
類 类
戲 戏
終 终
夢 梦
贏 赢
藥 药
麗 丽
顯 显
監 监
圖 图
語 语
執 执
熱 热
萊 莱
權 权
討 讨
責 责
