一 yi1 "一 yi1 one; single; a (article); as soon as; entire; whole; all; throughout
第一 di4yi1 first; number one; primary
一些 yi1xie1 some; a few; a little; (following an adjective) slightly ...er
一样 yi1yang4 same; like; equal to; the same as; just like
一起 yi1qi3 in the same place; together; with; altogether (in total)"
乙 yi3 "乙 yi3 second in order; ethyl; bent; winding; radical in chinese characters (kangxi radical 5)
乙肝 yi3gan1 hepatitis b
乙醇 yi3chun2 ethanol c2h5oh
乙酉 yi3you3 twenty-second year b10 of the 60 year cycle, e.g. 2005 or 2065"
二 er4 "二 er4 two; 2; (beijing dialect) stupid
第二 di4er4 second; number two; next; secondary
二十 er4shi2 twenty; 20
十二 shi2er4 twelve; 12
二手 er4shou3 indirectly acquired; second-hand (information, equipment etc); assistant"
十 shi2 "十 shi2 ten; 10
十分 shi2fen1 very; completely; utterly; extremely; absolutely; hundred percent; to divide into ten equal parts
二十 er4shi2 twenty; 20
十几 shi2ji3 more than ten; a dozen or more
三十 san1shi2 thirty; 30"
丁 ding1 "丁 ding1 male adult; small cube of meat or vegetable; (literary) to encounter; (chemistry) butyl
马丁 ma3ding1 martin (name)
拉丁 la1ding1 latin; (in former times) to press-gang; to kidnap and force people into service
丁丁 ding1ding1 tintin, cartoon character
丁香 ding1xiang1 lilac (syringa spp); clove (syzygium aromaticum)"
厂 chang3 "厂 chang3 factory; yard; depot; workhouse; works; (industrial) plant
工厂 gong1chang3 factory
厂家 chang3jia1 factory; manufacturer; (coll.) a factory owner; the factory management
厂商 chang3shang1 manufacturer; producer
厂长 chang3zhang3 factory director"
七 qi1 "七 qi1 seven; 7
十七 shi2qi1 seventeen; 17
七十 qi1shi2 seventy; 70
七月 qi1yue4 july; seventh month (of the lunar year)
七彩 qi1cai3 seven colors; a variety of colors; multicolored; rainbow-colored"
卜 "bo, bu3" "卜 bu3 (bound form) to divine
占卜 zhan1bu3 to divine
未卜 wei4bu3 not foreseen; unpredictable; not on the cards"
八 ba1 "八 ba1 eight; 8
十八 shi2ba1 eighteen; 18
八十 ba1shi2 eighty; 80
八月 ba1yue4 august; eighth month (of the lunar year)
八卦 ba1gua4 gossip; gossipy"
人 ren2 "人 ren2 person; people
个人 ge4ren2 individual; personal; oneself
有人 you3ren2 someone; people; anyone; there is someone there; occupied (as in restroom)
别人 bie2ren5 other people; others; other person
人们 ren2men5 people"
入 ru4 "进入 jin4ru4 to enter; to join; to go into
入 ru4 to enter; to go into; to join; to become a member of; to confirm or agree with
加入 jia1ru4 to become a member; to join; to mix into; to participate in; to add in
收入 shou1ru4 to take in; income; revenue
投入 tou2ru4 to throw into; to put into; to throw oneself into; to participate in; to invest in; absorbed; engrossed"
儿 er2 "儿 er2 child; son
儿子 er2zi5 son
儿童 er2tong2 child
幼儿园 you4er2yuan2 kindergarten; nursery school
孩儿 hai2r5 child"
匕 bi3 "匕首 bi3shou3 dagger
匕 bi3 dagger; ladle"
几 "ji1, ji3" "几 ji3 how much; how many; several; a few
几乎 ji1hu1 almost; nearly; practically
十几 shi2ji3 more than ten; a dozen or more
好几 hao3ji3 several; quite a few
几千 ji3qian1 several thousand"
九 jiu3 "九 jiu3 nine; 9
十九 shi2jiu3 nineteen; 19
九十 jiu3shi2 ninety
九月 jiu3yue4 september; ninth month (of the lunar year)
九江 jiu3jiang1 jiujiang prefecture-level city in jiangxi; also jiujiang county"
刁 diao1 "刁 diao1 artful; wicked
刁难 diao1nan4 to be hard on sb; to deliberately make things difficult
刁钻 diao1zuan1 crafty; tricky"
了 "le, liao3" "了 le5 (completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)
为了 wei4le5 for; for the purpose of; in order to
到了 dao4liao3 at last; finally; in the end
了解 liao3jie3 to understand; to realize; to find out; to understand; to realize; to find out
除了 chu2le5 besides; apart from (... also...); in addition to; except (for)"
刀 dao1 "刀 dao1 knife; blade; single-edged sword; cutlass; classifier for sets of one hundred sheets (of paper); classifier for knife cuts or stabs
刀子 dao1zi5 knife
剪刀 jian3dao1 scissors
菜刀 cai4dao1 vegetable knife; kitchen knife; cleaver
小刀 xiao3dao1 knife"
力 li4 "能力 neng2li4 capability; ability
努力 nu3li4 to make an effort; to try hard; to strive; hard-working; conscientious
力 li4 power; force; strength; ability; strenuously
力量 li4liang5 power; force; strength
压力 ya1li4 pressure"
乃 nai3 "乃 nai3 to be; thus; so; therefore; then; only; thereupon
乃至 nai3zhi4 and even; to go so far as to"
又 you4 "又 you4 (once) again; also; both... and...; and yet; (used for emphasis) anyway
又称 you4cheng1 also known as
又名 you4ming2 also known as; alternative name; to also be called"
三 san1 "三 san1 three; 3
三十 san1shi2 thirty; 30
十三 shi2san1 thirteen; 13
三月 san1yue4 march; third month (of the lunar year)
再三 zai4san1 over and over again; again and again"
干 "gan1, gan4" "干 gan4 tree trunk; main part of sth; to manage; to work; to do; capable; cadre; to kill (slang); to fuck (vulgar); (coll.) pissed off; annoyed
干部 gan4bu4 cadre; official; officer; manager
干什么 gan4shen2me5 what are you doing?; what's he up to?
干净 gan1jing4 clean; neat
干脆 gan1cui4 candid; direct and to the point; simply; just; might as well"
于 yu2 "于 yu2 to go; to take; sentence-final interrogative particle; (of time or place) in; at; on; (indicating any indirect relation) to; toward; with regard to; for; (indicating a source) from; out of
于是 yu2shi4 thereupon; as a result; consequently; thus; hence
由于 you2yu2 due to; as a result of; thanks to; owing to; since; because
对于 dui4yu2 regarding; as far as (sth) is concerned; with regard to
终于 zhong1yu2 at last; in the end; finally; eventually"
亏 kui1 "亏 kui1 deficiency; deficit; luckily; it's lucky that...; (often ironically) fancy that...
幸亏 xing4kui1 fortunately; luckily
亏损 kui1sun3 deficit; (financial) loss
吃亏 chi1kui1 to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately
多亏 duo1kui1 thanks to; luckily"
工 gong1 "工作 gong1zuo4 to work; (of a machine) to operate; job; work; task
工程 gong1cheng2 engineering; an engineering project; project; undertaking
工资 gong1zi1 wages; pay
工具 gong1ju4 tool; instrument; utensil; means (to achieve a goal etc)
工 gong1 work; worker; skill; profession; trade; craft; labor"
土 tu3 "土地 tu3di5 local god; genius loci
土 tu3 tu (ethnic group); earth; dust; clay; local; indigenous; crude opium; unsophisticated
本土 ben3tu3 one's native country; native; local; metropolitan territory
泥土 ni2tu3 earth; soil; mud; clay
领土 ling3tu3 territory"
士 shi4 "人士 ren2shi4 person; figure; public figure
博士 bo2shi4 doctor; court academician (in feudal china); ph.d.
士 shi4 bachelor; honorific; soldier; noncommissioned officer; specialist worker
护士 hu4shi5 nurse
硕士 shuo4shi4 master's degree; person who has a master's degree; learned person"
才 cai2 "才 cai2 ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only; (before an expression of quantity) only
才能 cai2neng2 talent; ability; capacity
刚才 gang1cai2 just now; a moment ago
人才 ren2cai2 talent; talented person; looks; attractive looks
天才 tian1cai2 talent; gift; genius; talented; gifted"
下 xia4 "下 xia4 down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action
下来 xia4lai5 to come down; (completed action marker); (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders)
下午 xia4wu3 afternoon; p.m.
留下 liu2xia4 to leave behind; to stay behind; to remain; to keep; not to let (sb) go
以下 yi3xia4 that level or lower; that amount or less; the following"
寸 cun4 "寸 cun4 a unit of length; inch; thumb
尺寸 chi3cun5 size; dimensions; measurements (esp. of clothes); (coll.) propriety
英寸 ying1cun4 inch (unit of length equal to 2.54 cm.)
分寸 fen1cun5 propriety; appropriate behavior; proper speech or action; within the norms
方寸 fang1cun4 heart; mind"
大 "da4, dai4" "大 da4 big; large; great; older (than another person); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother)
大家 da4jia1 everyone; influential family; great expert
大学 da4xue2 university; college
大概 da4gai4 roughly; probably; rough; approximate; about; general idea
大陆 da4lu4 mainland china (reference to the prc); continent; mainland"
丈 zhang4 "丈夫 zhang4fu5 husband
丈 zhang4 to measure; husband; polite appellation for an older male
万丈 wan4zhang4 lit. ten thousand fathoms; fig. extremely high or deep; lofty; bottomless
方丈 fang1zhang5 one of three fabled islands in eastern sea, abode of immortals; square zhang (i.e. unit of area 10 feet square); monastic room 10 feet square; abbot's chamber
丈量 zhang4liang2 to measure; measurement"
与 "yu3, yu4" "与 yu3 and; to give; together with
参与 can1yu4 to participate (in sth)
与其 yu3qi2 rather than...
与会 yu4hui4 to participate in a meeting
与共 yu3gong4 to experience together with sb"
万 "mo4, wan4" "万 wan4 ten thousand; a great number
千万 qian1wan4 ten million; countless; many; one must by all means
万一 wan4yi1 just in case; if by any chance; contingency
百万 bai3wan4 million
万分 wan4fen1 very much; extremely; one ten thousandth part"
上 "shang3, shang4" "上 shang4 (bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above
晚上 wan3shang5 evening; night; in the evening
身上 shen1shang5 on the body; at hand; among
以上 yi3shang4 that level or higher; that amount or more; the above-mentioned; (used to indicate that one has completed one's remarks) that is all.
马上 ma3shang4 at once; right away; immediately; on horseback (i.e. by military force)"
小 xiao3 "小 xiao3 small; tiny; few; young
小时 xiao3shi2 hour
小说 xiao3shuo1 novel; fiction
小学 xiao3xue2 elementary school; primary school
小孩 xiao3hai2 child"
口 kou3 "口 kou3 mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls
门口 men2kou3 doorway; gate
出口 chu1kou3 an exit; to speak; to export; (of a ship) to leave port
人口 ren2kou3 population; people
窗口 chuang1kou3 window; opening providing restricted access (e.g. customer service window); computer operating system window; fig. medium; intermediary; showpiece; testing ground"
山 shan1 "山 shan1 mountain; (coll.) small bundle of straw for silkworms to spin cocoons on
雪山 xue3shan1 snow-capped mountain
下山 xia4shan1 to go down a hill; (of the sun or moon) to set
山顶 shan1ding3 hilltop
上山 shang4shan1 to climb a hill; to go to the mountains; (of silkworms) to go up bundles of straw (to spin cocoons); to pass away; (of the sun or moon) to rise"
巾 jin1 "毛巾 mao2jin1 towel
巾 jin1 towel; general purpose cloth; kangxi radical 50
围巾 wei2jin1 scarf; shawl
头巾 tou2jin1 headscarf (typically worn by women); kerchief; turban
餐巾 can1jin1 napkin"
千 qian1 "千 qian1 thousand
千万 qian1wan4 ten million; countless; many; one must by all means
几千 ji3qian1 several thousand
千金 qian1jin1 money and riches; (honorific) invaluable (support); (honorific) daughter
千古 qian1gu3 for all eternity; throughout all ages; eternity (used in an elegiac couplet, wreath etc dedicated to the dead)"
乞 qi3 "乞丐 qi3gai4 beggar
乞讨 qi3tao3 to beg; to go begging
乞 qi3 to beg
乞求 qi3qiu2 to beg
乞儿 qi3er2 beggar"
川 chuan1 "川 chuan1 (bound form) river; creek; plain; an area of level country
冰川 bing1chuan1 glacier
川菜 chuan1cai4 sichuan or szechuan cuisine
山川 shan1chuan1 mountains and rivers; landscape
川西 chuan1xi1 western sichuan"
亿 yi4 "亿 yi4 100 million
亿万 yi4wan4 millions and millions
万亿 wan4yi4 trillion
十亿 shi2yi4 one billion; giga-
千亿 qian1yi4 myriads; hundred billion"
个 "ge3, ge4" "个 ge4 (classifier used before a noun that has no specific classifier); (bound form) individual
这个 zhe4ge5 (pronoun) this; (adjective) this
那个 na4ge5 that one; that thing; that (as opposed to this); (used before a verb or adjective for emphasis); (used to humorously or indirectly refer to sth embarrassing, funny etc, or when one can't think of the right word); (euph.) menstruation; sex
个人 ge4ren2 individual; personal; oneself
整个 zheng3ge4 whole; entire; total"
夕 xi1 "夕 xi1 dusk; evening
夕阳 xi1yang2 sunset; the setting sun
前夕 qian2xi1 eve; the day before
除夕 chu2xi1 lunar new year's eve
朝夕 zhao1xi1 morning and night; all the time"
久 jiu3 "久 jiu3 (long) time; (long) duration of time
不久 bu4jiu3 not long (after); before too long; soon; soon after
好久 hao3jiu3 quite a while
多久 duo1jiu3 (of time) how long?; (not) a long time
长久 chang2jiu3 (for a) long time"
么 me "什么 shen2me5 what?; something; anything
怎么 zen3me5 how?; what?; why?
那么 na4me5 like that; in that way; or so; so; so very much; about; in that case
这么 zhe4me5 so much; this much; how much?; this way; like this
为什么 wei4shen2me5 why?; for what reason?"
勺 shao2 "勺 shao2 spoon; ladle
勺子 shao2zi5 scoop; ladle"
凡 fan2 "凡 fan2 ordinary; commonplace; mundane; temporal; of the material world (as opposed to supernatural or immortal levels); every; all; whatever; altogether; gist; outline; note of chinese musical scale
凡是 fan2shi4 each and every; every; all; any
平凡 ping2fan2 commonplace; ordinary; mediocre
非凡 fei1fan2 out of the ordinary; unusually (good, talented etc)
凡事 fan2shi4 everything"
丸 wan2 "丸 wan2 ball; pellet; pill
丸子 wan2zi5 pills; balls; meatballs
睾丸 gao1wan2 testicle
药丸 yao4wan2 pill
鱼丸 yu2wan2 fish ball"
及 ji2 "及 ji2 and; to reach; up to; in time for
以及 yi3ji2 as well as; too; and
及时 ji2shi2 timely; at the right time; promptly; without delay
及其 ji2qi2 (conjunction linking two nouns) and its ...; and their ...; and his ...; and her ...
涉及 she4ji2 to involve; to touch upon (a topic)"
广 guang3 "广告 guang3gao4 to advertise; a commercial; advertisement
广场 guang3chang3 public square; plaza
广州 guang3zhou1 guangzhou subprovincial city and capital of guangdong; canton
广 guang3 wide; numerous; to spread
广播 guang3bo1 broadcast; broadcasting; to broadcast; (formal) to propagate; to publicize"
亡 wang2 "死亡 si3wang2 to die; death
亡 wang2 to die; to lose; to be gone; to flee; deceased
伤亡 shang1wang2 casualties; injuries and deaths
身亡 shen1wang2 to die
灭亡 mie4wang2 to be destroyed; to become extinct; to perish; to die out; to destroy; to exterminate"
门 men2 "门 men2 gate; door; gateway; doorway; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology; (suffix) -gate (i.e. scandal; derived from watergate)
部门 bu4men2 department; branch; section; division
门口 men2kou3 doorway; gate
专门 zhuan1men2 specialist; specialized; customized
出门 chu1men2 to go out; to leave home; to go on a journey; away from home; (of a woman) to get married"
