的 de5 "of; (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)"
了 le5 "(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)"
我 wo3 "i; me; my"
一 yi1 "one; single; a (article); as soon as; entire; whole; all; throughout"
在 zai4 "to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress)"
是 shi4 "to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion)"
他 ta1 "he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); (literary) other"
个 ge4 "(classifier used before a noun that has no specific classifier); (bound form) individual"
你 ni3 you
和 he2 "(joining two nouns) and; together with; (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; harmonious"
不 bu4 "no; not so; (bound form) not; un-"
有 you3 "to have; there is; (bound form) having; with; -ful; -ed"
就 jiu4 "(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (of food) to go with; with regard to; concerning"
这 zhe4 "(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this"
也 ye3 "(adverb) also; both ... and ... (before predicates only)"
说 shuo1 "to speak; to talk; to say; to explain; to comment; to scold; to tell off; (bound form) theory; doctrine"
人 ren2 "person; people"
她 ta1 she
着 zhe5 "aspect particle indicating action in progress"
都 dou1 "all; both; entirely; (used for emphasis) even; already; (not) at all"
我们 wo3men5 "we; us; ourselves; our"
上 shang4 "(bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above"
年 nian2 "year; grain"
要 yao4 "to want; to need; to ask for; will; shall; about to; need to; should; (bound form) important"
地 de5 "-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct"
对 dui4 "right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair"
很 hen3 "(adverb of degree); quite; very; awfully"
到 dao4 "to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough"
看 kan4 "to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try"
去 qu4 "to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation)"
来 lai2 "to come; (used as a substitute for a more specific verb); for the past (amount of time); (prefix) the coming ...; (between two verbs) in order to; (after a round number) approximately"
中 zhong1 "china; chinese; within; among; in; middle; center; while (doing sth); during; (dialect) ok; all right"
把 ba3 "to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles"
