de5 的
le5 了
wo3 我
yi1 一
zai4 在
shi4 是
ta1 他
ge4 个
ni3 你
he2 和
bu4 不
you3 有
jiu4 就
zhe4 这
ye3 也
shuo1 说
ren2 人
zhe5 着
dou1 都
men5 们
shang4 上
nian2 年
yao4 要
dui4 对
hen3 很
dao4 到
kan4 看
qu4 去
lai2 来
zhong1 中
ba3 把
zi4 自
ji3 己
hai2 还
na4 那
hui4 会
da4 大
you4 又
hao3 好
duo1 多
wei4 为
yu3 与
er2 而
li3 里
liang3 两
xiang3 想
shen2 什
ma2 么
bei4 被
yue4 月
cong2 从
zhong3 种
gei3 给
rang4 让
dan4 但
ke3 可
yi3 以
xia4 下
shi2 时
xiao3 小
dian3 点
hou4 后
zhi1 之
ri4 日
neng2 能
guo2 国
guo4 过
yong4 用
zuo4 做
deng3 等
jiang1 将
san1 三
zui4 最
yang4 样
ci4 次
mei2 没
xian4 现
jing1 经
ba5 吧
tian1 天
jian1 间
zou3 走
geng4 更
ne5 呢
zhi3 只
wen4 问
ti2 题
ru2 如
guo3 果
jia1 家
a5 啊
gong1 工
cai2 才
que4 却
xiang4 向
suo3 所
xin1 新
chi1 吃
kai1 开
shi3 始
yuan2 元
chu1 出
hua4 话
zhen1 真
xue2 学
sheng1 生
yu2 于
huo4 或
gen1 跟
bing4 并
di4 第
dang1 当
xie1 些
qian2 前
jue2 觉
zen3 怎
huo2 活
zi5 子
qi3 起
ming2 名
ting1 听
jiao4 叫
ben3 本
bi3 比
gao1 高
tai4 太
qi2 其
ai4 爱
zhao3 找
zhang3 长
xi3 喜
huan1 欢
mei3 美
xiao4 笑
da3 打
dong1 东
xi1 西
shei2 谁
bei3 北
mai3 买
cheng2 成
er4 二
xie3 写
tiao2 条
si4 四
you2 由
fang1 方
ying1 应
gai1 该
qing3 请
fei1 非
chang2 常
fa1 发
jin1 今
dai4 带
sui4 岁
jie4 界
ran2 然
ding4 定
jin4 进
xing2 行
zhi2 直
si1 司
jian4 见
zhang1 张
qie3 且
bian4 便
xu1 需
peng2 朋
ji2 及
wan4 万
fen1 分
che1 车
zhan3 展
shou3 手
gao4 告
su4 诉
ren4 认
shu1 书
dian4 电
lao3 老
shi1 师
xi2 习
sui1 虽
na2 拿
qing2 情
kuang4 况
zhan4 站
she4 社
wang3 网
xian1 先
ju4 句
wang4 望
nei4 内
gan3 感
ji4 记
zhe3 者
nü3 女
wu2 无
wu3 五
hao4 号
lian2 连
ze2 则
tou2 头
zheng4 正
zhu4 住
ci3 此
shui3 水
lu4 路
tong2 同
hui2 回
jiang3 讲
yu4 育
si3 死
