肮 ang1
昂 ang2
盎 ang4
凹 ao1
掰 bai1
白 bai2
北 bei3
笨 ben4
甭 beng2
逼 bi1
鼻 bi2
瘪 bie3
啵 bo5
猜 cai1
惨 can3
藏 cang2
蹭 ceng4
衩 cha3
拆 chai1
车 che1
扯 che3
琛 chen1
秤 cheng4
宠 chong3
抽 chou1
臭 chou4
揣 chuai3
踹 chuai4
串 chuan4
闯 chuang3
创 chuang4
蠢 chun3
戳 chuo1
疵 ci1
此 ci3
凑 cou4
粗 cu1
蹿 cuan1
璀 cui3
村 cun1
存 cun2
寸 cun4
矬 cuo2
打 da3
大 da4
呆 dai1
等 deng3
嗲 dia3
丢 diu1
端 duan1
短 duan3
堆 dui1
恩 en1
摁 en4
发 fa1
法 fa3
放 fang4
粉 fen3
讽 feng3
嘎 ga1
尬 ga4
该 gai1
改 gai3
干 gan4
杠 gang4
给 gei3
艮 gen3
亘 gen4
更 geng4
拐 guai3
怪 guai4
逛 guang4
滚 gun3
棍 gun4
国 guo2
过 guo4
哈 ha1
嗨 hai1
海 hai3
沆 hang4
痕 hen2
恨 hen4
讧 hong4
吼 hou3
花 hua1
坏 huai4
缓 huan3
晃 huang4
混 hun4
活 huo2
嚼 jiao2
卷 juan3
卡 ka3
扛 kang2
尻 kao1
咳 ke2
空 kong1
控 kong4
抠 kou1
口 kou3
苦 ku3
夸 kua1
垮 kua3
款 kuan3
狂 kuang2
捆 kun3
困 kun4
剌 la2
喇 la3
朗 lang3
浪 lang4
捞 lao1
勒 le4
嘞 lei5
冷 leng3
愣 leng4
俩 lia3
两 liang3
撩 liao1
咧 lie1
拎 lin1
凛 lin3
溜 liu1
柳 liu3
噜 lu1
卵 luan3
乱 luan4
论 lun4
啰 luo1
裸 luo3
呣 m2
妈 ma1
骂 ma4
买 mai3
猫 mao1
卯 mao3
么 me5
们 men5
面 mian4
喵 miao1
酩 ming3
命 ming4
摸 mo1
抹 mo3
哞 mou1
某 mou3
拿 na2
哪 na3
囔 nang1
囊 nang2
孬 nao1
挠 nao2
闹 nao4
讷 ne4
馁 nei3
内 nei4
嫩 nen4
能 neng2
嗯 ng2
妮 ni1
娘 niang2
酿 niang4
鸟 niao3
尿 niao4
捏 nie1
您 nin2
拧 ning3
妞 niu1
牛 niu2
拗 niu4
弄 nong4
奴 nu2
女 nü3
怒 nu4
暖 nuan3
哦 o2
拍 pai1
乓 pang1
胖 pang4
抛 pao1
跑 pao3
喷 pen1
盆 pen2
捧 peng3
碰 peng4
品 pin3
聘 pin4
乒 ping1
婆 po2
剖 pou1
掐 qia1
巧 qiao3
茄 qie2
且 qie3
寝 qin3
庆 qing4
糗 qiu3
圈 quan1
犬 quan3
缺 que1
瘸 que2
让 rang4
饶 rao2
扰 rao3
绕 rao4
惹 re3
热 re4
扔 reng1
仍 reng2
日 ri4
冗 rong3
肉 rou4
蕊 rui3
洒 sa3
赛 sai4
伞 san3
散 san4
桑 sang1
丧 sang4
森 sen1
僧 seng1
啥 sha2
傻 sha3
筛 shai1
晒 shai4
闪 shan3
赏 shang3
勺 shao2
少 shao3
舍 she3
谁 shei2
绳 sheng2
省 sheng3
收 shou1
刷 shua1
耍 shua3
甩 shuai3
涮 shuan4
爽 shuang3
水 shui3
吮 shun3
说 shuo1
死 si3
松 song1
叟 sou3
嗽 sou4
俗 su2
酸 suan1
虽 sui1
随 sui2
髓 sui3
孙 sun1
胎 tai1
汤 tang1
讨 tao3
套 tao4
体 ti3
窕 tiao3
贴 tie1
通 tong1
痛 tong4
偷 tou1
透 tou4
兔 tu4
湍 tuan1
团 tuan2
推 tui1
颓 tui2
腿 tui3
吞 tun1
娃 wa2
瓦 wa3
袜 wa4
歪 wai1
崴 wai3
外 wai4
汪 wang1
瓮 weng4
我 wo3
淆 xiao2
写 xie3
朽 xiu3
徐 xu2
爷 ye2
哟 yo1
用 yong4
远 yuan3
晕 yun1
簪 zan1
咱 zan2
攒 zan3
赃 zang1
凿 zao2
贼 zei2
怎 zen3
眨 zha3
宅 zhai2
窄 zhai3
着 zhao2
轴 zhou2
抓 zhua1
转 zhuan3
准 zhun3
总 zong3
纵 zong4
邹 zou1
走 zou3
租 zu1
纂 zuan3
嘴 zui3
昨 zuo2
抡 抡
