侯 hou2
候 hou4
农 nong2
衣 yi1
布 bu4
市 shi4
角 jiao3
甬 yong3
干 gan1
千 qian1
于 yu2
冉 ran3
再 zai4
车 che1
东 dong1
专 zhuan1
部 bu4
都 du1
常 chang2
堂 tang2
索 suo3
素 su4
休 xiu1
体 ti3
复 fu4
夏 xia4
筒 tong3
简 jian3
肯 ken3
背 bei4
实 shi2
买 mai3
船 chuan2
般 ban1
伦 lun2
论 lun4
严 yan2
产 chan3
广 guang3
厂 chang3
幸 xing4
辛 xin1
亲 qin1
善 shan4
喜 xi3
穴 xue2
六 liu4
衣 yi1
长 zhang3
以 yi3
似 si4
依 yi1
或 huo4
咸 xian2
录 lu4
隶 li4
凶 xiong1
区 qu1
冈 gang1
杯 bei1
坏 huai4
环 huan2
宜 yi2
宣 xuan1
习 xi2
匀 yun2
官 guan1
宫 gong1
束 shu4
吏 li4
卯 mao3
卬 ang2
叩 kou4
良 liang2
艮 gen3
亮 liang4
壳 ke2
夭 yao1
天 tian1
禾 he2
夫 fu1
大 da4
牛 niu2
午 wu3
失 shi1
矢 shi3
未 wei4
来 lai2
本 ben3
米 mi3
夹 jia1
朱 zhu1
果 guo3
杲 gao3
应 ying4
佥 qian1
流 liu2
济 ji4
群 qun2
辟 pi4
菜 cai4
莱 lai2
爱 ai4
爰 yuan2
头 tou2
斗 dou4
死 si3
宛 wan3
免 mian3
奂 huan4
莸 you2
获 huo4
喜 xi3
善 shan4
弃 qi4
弁 bian4
廷 ting2
延 yan2
乘 cheng2
乖 guai1
季 ji4
李 li3
戍 shu4
戌 xu1
李 li3
季 ji4
阵 zhen4
陈 chen2
眉 mei2
盾 dun4
禹 yu3
禺 yu2
寓 yu4
寅 yin2
发 fa1
友 you3
拨 bo1
拔 ba2
免 mian3
兔 tu4
奂 huan4
沉 chen2
沆 hang4
香 xiang1
春 chun1
闭 bi4
团 tuan2
许 xu3
计 ji4
芬 fen1
苏 su1
幼 you4
幻 huan4
显 xian3
晋 jin4
普 pu3
乳 ru3
孔 kong3
亚 ya4
业 ye4
异 yi4
导 dao3
寻 xun2
举 ju3
养 yang3
奉 feng4
屯 tun2
屰 ni4
击 ji1
缶 fou3
厌 yan4
庄 zhuang1
庆 qing4
压 ya1
袖 xiu4
神 shen2
积 ji1
职 zhi2
问 wen4
向 xiang4
狠 hen3
狼 lang2
换 huan4
挽 wan3
问 wen4
向 xiang4
戒 jie4
武 wu3
临 lin2
监 jian1
币 bi4
市 shi4
耍 shua3
要 yao4
折 zhe2
执 zhi2
敌 di2
故 gu4
阵 zhen4
陈 chen2
剂 ji4
挤 ji3
欣 xin1
软 ruan3
劝 quan4
欢 huan1
斩 zhan3
折 zhe2
执 zhi2
辣 la4
辞 ci2
辟 pi4
敬 jing4
敫 jiao3
持 chi2
技 ji4
