"boss; superior" 上司
"to see; to meet; to appear (to be sth); to interview; opinion; view" 见
"to see" 见到
"to meet; to see each other" 见面
"to see (the same thing) over and over again; to see, to one's surprise, (sth happen suddenly)" 只见
"goodbye; see you again later" 再见
"to open up; to spread; sheet of paper; classifier for flat objects, sheet; classifier for votes" 张
"nervous; keyed up; intense; tense; strained; in short supply; scarce" 紧张
"to advocate; to stand for; view; position; stand; proposition; viewpoint; assertion" 主张
"to exaggerate; overstated; exaggerated; hyperbole; (coll.) excessive; ridiculous; outrageous" 夸张
"to open up; to spread; to extend" 张开
"and; moreover; yet; for the time being; to be about to; both (... and...)" 且
"moreover; besides; in addition; furthermore" 况且
"for now; for the time being; temporarily" 暂且
"plain; informal; suitable; convenient; opportune; to urinate or defecate; in that case; even if; soon afterwards" 便
convenient 便宜
"convenient; suitable; to facilitate; to make things easy; having money to spare; (euphemism) to relieve oneself" 方便
"as one wishes; as one pleases; at random; negligent; casual; wanton" 随便
"(emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as" 便是
"to require; to need; to want; necessity; need" 需
"requirement; to require; (economics) demand" 需求
needless 无需
"to need; to require; essential; indispensable" 必需
friend 朋
friend 朋友
"relatives and friends" 亲朋
"online friend; internet user" 网友
girlfriend 女友
"close friend; pal; (social networking website) friend" 好友
"and; to reach; up to; in time for" 及
"timely; at the right time; promptly; without delay" 及时
"(conjunction linking two nouns) and its ...; and their ...; and his ...; and her ..." 及其
"to involve; to touch upon (a topic)" 涉及
"ten thousand; a great number" 万
"ten million; countless; many; one must by all means" 千万
"just in case; if by any chance; contingency" 万一
million 百万
"very much; extremely; one ten thousandth part" 万分
"to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money)" 分
minute 分钟
"very; completely; utterly; extremely; absolutely; hundred percent; to divide into ten equal parts" 十分
"part; share; section; piece" 部分
"to analyze; analysis" 分析
"car; vehicle; machine; to shape with a lathe; kangxi radical 159" 车
"car; automobile; bus" 汽车
train 火车
taxi 出租车
"bicycle; bike" 自行车
"to spread out; to open up; to exhibit; to put into effect; to postpone; to prolong; exhibition" 展
"to launch; to develop; to unfold; (of an exhibition etc) to open" 开展
"to unfold; to carry out; to be in full swing; to launch" 展开
"to reveal; to display; to show; to exhibit" 展示
"hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill" 手
"cell phone; mobile phone" 手机
"both hands" 双手
"method; means (of doing sth); strategy; trick" 手段
finger 手指
"to say; to tell; to announce; to report; to denounce; to file a lawsuit; to sue" 告
"to tell; to inform; to let know" 告诉
"to advertise; a commercial; advertisement" 广告
"to inform; to report; to make known; report; speech; talk; lecture" 报告
"to leave; to part from; to bid farewell to; to say goodbye to" 告别
"to complain; to sue; to tell" 诉
"complaint; to complain; to register a complaint (esp. as a customer)" 投诉
"to sue; to bring a lawsuit against; to prosecute" 起诉
lawsuit 诉讼
"to recognize; to know; to admit" 认
"to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition" 认识
"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge" 承认
"book; letter; document; to write" 书
"to read a book; to study; to attend school" 读书
"secretary (chief official of a branch of a socialist or communist party); clerk; scribe" 书记
library 图书馆
bookstore 书店
"lightning; electricity; electric (bound form); to get (or give) an electric shock; phone call or telegram etc; to send via telephone or telegram etc" 电
"movie; film" 电影
"television; tv" 电视
computer 电脑
campus 校园
"universities and colleges" 高校
"prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough" 老
teacher 老师
"robam (brand); boss; business proprietor" 老板
"(coll.) eunuch" 老公
"ordinary people" 老百姓
"teacher; master; expert; model; army division; to dispatch troops" 师
teacher 教师
"master; qualified worker; respectful form of address for older men" 师傅
"great master; master" 大师
"(bound form) to practice; to study; habit; custom" 习
"habit; custom; usual practice; to be used to" 习惯
"to practice; exercise; drill; practice" 练习
"to review; revision" 复习
"although; even though" 虽
"though; although" 虽说
"nevertheless; although" 虽则
"to hold; to seize; to catch; to apprehend; to take" 拿
"to take out; to put out; to provide; to put forward (a proposal); to come up with (evidence)" 拿出
"to pick up" 拿起
"to bring; to fetch; to get" 拿来
"to take away" 拿走
"feeling; emotion; passion; situation" 情
"circumstances; state of affairs; situation" 情况
"mood; frame of mind" 心情
"moreover; situation" 况
"condition; state; situation" 状况
"let alone; to say nothing of; besides; what's more" 何况
"station; to stand; to halt; to stop; branch of a company or organization; website" 站
"website; network station; node" 网站
"rail station; bus stop" 车站
website 站点
"platform (at a railway station)" 站台
"(bound form) society; organization; agency" 社
"community; neighborhood" 社区
socialism 社会主义
"newspaper (i.e. a company)" 报社
"comparatively; relatively; fairly" 较为
"to bother about; to haggle; to bicker; to argue; plan; stratagem" 计较
"to pit oneself against sb; to compete with sb; contest; battle; to haggle; to quibble" 较量
"net; network" 网
"internet; network (computing, telecommunications, transport etc)" 网络
online 网上
"early; prior; former; in advance; first" 先
"first (of all); in the first place" 首先
"advanced (technology); to advance" 先进
"early or late; priority; in succession; one after another" 先后
"sentence; clause; phrase; classifier for phrases or lines of verse" 句
sentence 句子
sentence 语句
verse 诗句
"to wish for; to desire; hope" 希望
greece 希腊
"hill (name); christopher hill, us undersecretary of state of east asian affairs" 希尔
"rare; strange" 希奇
"full moon; to hope; to expect; to visit; to gaze (into the distance); to look towards; towards; 15th day of month (lunar calendar)" 望
"disappointed; to lose hope; to despair" 失望
"to thirst for; to long for" 渴望
"desire; wish" 愿望
"inside; inner; internal; within; interior" 内
"content; substance; details" 内容
"domestic; internal (to a country); civil" 国内
"heart; innermost being; (math.) incenter" 内心
"interior; inside (part, section); internal" 内部
"(computer) software" 软件
"document; file" 文件
"to feel; to move; to touch; to affect; feeling; emotion" 感
"emotion; sentiment; affection; feelings between two persons" 感情
"to sense; perception; to feel (through the senses); to experience; a feeling; an impression; an experience" 感受
"to record; to note; to memorize; to remember; mark; sign; classifier for blows, kicks, shots" 记
"reporter; journalist" 记者
"to remember; to recall; memory" 记忆
"to record; record (written account); note-taker; record (in sports etc)" 记录
"(after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist; (used after a term, to mark a pause before defining the term)" 者
reader 读者
"female; woman; daughter" 女
"schoolgirl; female student; girl" 女生
"not to have; no; none; not; to lack; un-; -less" 无
"unable; incapable" 无法
"no matter what or how; regardless of whether..." 无论
"countless; numberless; innumerable" 无数
"to have no alternative; frustrated; exasperated; helpless; (conjunction) but unfortunately" 无奈
"five; 5" 五
fifty 五十
"fifteen; 15" 十五
"may; fifth month (of the lunar year)" 五月
"ordinal number; day of a month; mark; sign; business establishment; size; ship suffix; horn (wind instrument); bugle call; assumed name; to take a pulse; classifier used to indicate number of people" 号
number 号码
signal 信号
"slogan; catchphrase" 口号
"symbol; mark; sign" 符号
"indeed; really; reliable; real; true" 确实
"to achieve; to implement; to realize; to bring about" 实现
"reality; actuality; real; actual; realistic; pragmatic; materialistic; self-interested" 现实
"psychology; mentality" 心理
"to link; to join; to connect; continuously; in succession; including; company (military)" 连
"continuous; in a row; serial; consecutive" 连续
"to link; to join; to connect" 连接
"promptly; at once" 连忙
"serialized; published as a serial (in a newspaper)" 连载
"(literary) (conjunction used to express contrast with a previous clause) but; then; (bound form) standard; norm; (bound form) principle; (literary) to imitate; to follow; classifier for written items" 则
"otherwise; if not; or (else)" 否则
"principle; doctrine" 原则
"rule; regulation; rules and regulations" 规则
"norm; standard; criterion" 准则
"voice; sound" 声音
"loud voice; in a loud voice; loudly" 大声
"to state; to declare; statement; declaration" 声明
"ring; ringtone; bell stroke; tintinnabulation" 铃声
"head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock" 头
"hair (on the head)" 头发
"to turn round; to turn one's head; later; by and by" 回头
stone 石头
"to nod" 点头
"straight; upright; proper; main; principal; to correct; to rectify; exactly; just (at that time); right (in that place); (math.) positive" 正
"(emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as" 正是
"to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt)" 住
"(verb complement) unable to firmly or securely (grasp, recall etc); repeatedly; continuously; constantly" 不住
"to grab hold of; to capture" 抓住
"cannot help; unable to bear" 忍不住
