夸张 "to exaggerate; overstated; exaggerated; hyperbole; (coll.) excessive; ridiculous; outrageous"
张开 "to open up; to spread; to extend"
且 "and; moreover; yet; for the time being; to be about to; both (... and...)"
况且 "moreover; besides; in addition; furthermore"
暂且 "for now; for the time being; temporarily"
便 "plain; informal; suitable; convenient; opportune; to urinate or defecate; in that case; even if; soon afterwards"
便宜 convenient
方便 "convenient; suitable; to facilitate; to make things easy; having money to spare; (euphemism) to relieve oneself"
随便 "as one wishes; as one pleases; at random; negligent; casual; wanton"
便是 "(emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as"
需 "to require; to need; to want; necessity; need"
需求 "requirement; to require; (economics) demand"
无需 needless
必需 "to need; to require; essential; indispensable"
朋 friend
朋友 friend
网友 "online friend; internet user"
女友 girlfriend
好友 "close friend; pal; (social networking website) friend"
及 "and; to reach; up to; in time for"
及时 "timely; at the right time; promptly; without delay"
及其 "(conjunction linking two nouns) and its ...; and their ...; and his ...; and her ..."
涉及 "to involve; to touch upon (a topic)"
万 "ten thousand; a great number"
千万 "ten million; countless; many; one must by all means"
万一 "just in case; if by any chance; contingency"
百万 million
万分 "very much; extremely; one ten thousandth part"
分 "to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money)"
分钟 minute
十分 "very; completely; utterly; extremely; absolutely; hundred percent; to divide into ten equal parts"
部分 "part; share; section; piece"
分析 "to analyze; analysis"
车 "car; vehicle; machine; to shape with a lathe; kangxi radical 159"
汽车 "car; automobile; bus"
火车 train
出租车 taxi
自行车 "bicycle; bike"
展 "to spread out; to open up; to exhibit; to put into effect; to postpone; to prolong; exhibition"
开展 "to launch; to develop; to unfold; (of an exhibition etc) to open"
展开 "to unfold; to carry out; to be in full swing; to launch"
展示 "to reveal; to display; to show; to exhibit"
手 "hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill"
手机 "cell phone; mobile phone"
双手 "both hands"
手段 "method; means (of doing sth); strategy; trick"
手指 finger
告 "to say; to tell; to announce; to report; to denounce; to file a lawsuit; to sue"
告诉 "to tell; to inform; to let know"
广告 "to advertise; a commercial; advertisement"
报告 "to inform; to report; to make known; report; speech; talk; lecture"
告别 "to leave; to part from; to bid farewell to; to say goodbye to"
诉 "to complain; to sue; to tell"
投诉 "complaint; to complain; to register a complaint (esp. as a customer)"
起诉 "to sue; to bring a lawsuit against; to prosecute"
诉讼 lawsuit
认 "to recognize; to know; to admit"
认识 "to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition"
承认 "to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge"
书 "book; letter; document; to write"
读书 "to read a book; to study; to attend school"
书记 "secretary (chief official of a branch of a socialist or communist party); clerk; scribe"
图书馆 library
书店 bookstore
电 "lightning; electricity; electric (bound form); to get (or give) an electric shock; phone call or telegram etc; to send via telephone or telegram etc"
电影 "movie; film"
电视 "television; tv"
电脑 computer
校园 campus
高校 "universities and colleges"
老 "prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough"
老师 teacher
老板 "robam (brand); boss; business proprietor"
老公 "(coll.) eunuch"
老百姓 "ordinary people"
师 "teacher; master; expert; model; army division; to dispatch troops"
教师 teacher
师傅 "master; qualified worker; respectful form of address for older men"
大师 "great master; master"
习 "(bound form) to practice; to study; habit; custom"
习惯 "habit; custom; usual practice; to be used to"
练习 "to practice; exercise; drill; practice"
复习 "to review; revision"
虽 "although; even though"
虽说 "though; although"
拿 "to hold; to seize; to catch; to apprehend; to take"
拿出 "to take out; to put out; to provide; to put forward (a proposal); to come up with (evidence)"
拿起 "to pick up"
