"party committee" 党委
"within the party (esp. chinese communist party)" 党内
"to withdraw from a political party" 退党
"to seem; as if; alike; similar" 仿佛
"to imitate; to copy; to emulate; to mimic; model" 模仿
similar 相仿
"to emulate; to simulate; emulation; simulation" 仿真
buddhism 佛教
"dharma (the teachings of the buddha)" 佛法
"mixed; miscellaneous; various; to mix" 杂
"to mix together (disparate substances); to mingle; a mix; to be tangled up with" 夹杂
"noisy; clamorous" 嘈杂
"ethnic chinese person or people" 华人
"china (alternate formal name)" 中华
luxurious 豪华
"hangzhou subprovincial city and capital of zhejiang province in southeast china" 杭州
"suzhou, prefecture-level city in jiangsu" 苏州
"wenzhou, prefecture-level city in zhejiang" 温州
"entire; total; global; the (whole) world; worldwide" 全球
"soccer ball; a football; soccer; football" 足球
"the earth" 地球
"sports club member; footballer, golfer etc" 球员
"star; celebrity" 明星
"(coll.) a star; the stars in the sky" 星星
"satellite; moon" 卫星
"the slightest amount or degree; a bit" 丝毫
"bean vermicelli; mung bean starch noodles; chinese vermicelli; cellophane noodles; enthusiast for sb or sth" 粉丝
"silk cloth; silk" 丝绸
"iron wire" 铁丝
"to recall; memories" 回忆
"to recollect; to recall (past times); to look back" 追忆
"knife; blade; single-edged sword; cutlass; classifier for sets of one hundred sheets (of paper); classifier for knife cuts or stabs" 刀
knife 刀子
scissors 剪刀
"vegetable knife; kitchen knife; cleaver" 菜刀
knife 小刀
"(often used in phonetic spellings)" 尼
sony 索尼
"sydney, capital of new south wales, australia" 悉尼
"(transcription from tibetan) the sun" 尼玛
"to share (let others have some of sth good)" 分享
"to share; to enjoy together" 共享
"to enjoy (rights, privileges etc)" 享有
"yellow; pornographic; to fall through" 黄
"yellow (color); pornographic" 黄色
"dusk; evening; nightfall" 黄昏
"yellow river or huang he" 黄河
"mouth; beak; nozzle; spout (of teapot etc)" 嘴
"mouth; in the mouth; on one's lips; speech; words" 嘴里
lip 嘴唇
"corner of the mouth" 嘴角
"to open one's mouth (to speak, esp. to make a request); to gape" 张嘴
"to print; to mark; to engrave; a seal; a print; a stamp; a mark; a trace; image" 印
india 印度
"to affix a seal; to stamp; to print out (with a printer)" 打印
"to print; printing" 印刷
shabby 破旧
"to feel nostalgic; nostalgia" 怀旧
"to have an urge; to be impetuous; impulse; urge" 冲动
"to rush in; to charge in" 冲进
"letter paper; writing paper" 信纸
paper 纸张
"to accompany; to keep sb company; to assist" 陪
"to accompany" 陪伴
"to accompany" 陪同
"to accompany one's child or spouse who is studying overseas; to help a child with their study, reading or practicing together" 陪读
"to serve as a foil; to set off; a foil; a contrast" 陪衬
"to cultivate; to breed; to foster; to nurture; to educate; to groom (for a position); education; fostering; culture (biology)" 培养
"to cultivate; to train; to groom; training" 培训
"to grow; to cultivate; to train; to educate; to patronize" 栽培
"to raise (animals); to bring up (children); to keep (pets); to support; to give birth" 养
"to cultivate; to raise; to form (a habit); to acquire" 养成
"accomplishment; training; self-cultivation" 修养
"to teach; to train; to admonish; instruction (from superiors); teachings; rule" 训
"to train; to drill; training" 训练
"to provide guidance; to lecture sb; to upbraid; a talking-to; a bitter lesson" 教训
"to do military training" 军训
"to practice; to train; to drill; to perfect (one's skill); exercise; (literary) white silk; to boil and scour raw silk" 练
"instructor; sports coach; trainer" 教练
"practiced; proficient; skilled; skillful" 熟练
"card; invitation; message; (forum) post" 帖子
"invitation card; written invitation" 请帖
"to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement" 落
"nook; corner" 角落
"to fall behind; to lag (in technology etc); backward; to retrogress" 落后
"practical; workable; to implement; to carry out; to decide" 落实
"to fall; to drop; to land (of projectile)" 落下
"time; juncture; moment; period of time; constantly; always" 时刻
"this moment; now; at present" 此刻
"sign; trademark; brand" 牌子
"famous brand; nameplate; name tag" 名牌
"signboard; shop sign; reputation of a business" 招牌
"leather; skin; fur; pico- (one trillionth); naughty" 皮
skin 皮肤
"leather shoes" 皮鞋
"naughty; mischievous; unruly" 调皮
belly 肚皮
"i (northern dialects)" 俺
"range; scope; limit; extent" 范围
"ambience; atmosphere" 氛围
"to revolve around; to center on (an issue)" 围绕
"rapid; speedy; fast" 迅速
"high speed" 高速
"spectators; audience; visitors (to an exhibition etc)" 观众
everyone 众人
numerous 众多
"excellent; superior" 优
"outstanding; excellent" 优秀
"superiority; dominance; advantage" 优势
"privilege; favorable (terms); preferential (treatment); discount (price)" 优惠
"graceful; fine; elegant" 优美
"handsome; refined; elegant; graceful; superior; (literary) to grow; to bloom; (of crops) to produce ears" 秀
"a person who has passed the county level imperial exam (historical); scholar; skillful writer; fine talent" 秀才
"delicate and pretty" 清秀
"pretty; beautiful" 秀丽
"kernel; granule; granulated (sugar, chemical product)" 颗粒
"to look forward to; to await; expectation" 期待
