"to save; to rescue" 拯救
"to help sb in trouble; aid; assistance" 救助
"to save sb's life" 救命
"field; farm" 田
"field; open land" 田野
"field; farmland; cropland; plight; extent" 田地
"fields; countryside; rural; bucolic" 田园
"to hate; to regret" 恨
"to hate; hatred; enmity; hostility" 仇恨
"to detest; to loathe; to abhor" 痛恨
"to resent; to harbor a grudge against; to loathe; resentment; rancor" 怨恨
"to detest; hatred" 憎恨
"to cover" 覆盖
"to conceal; to hide behind; to cover up" 掩盖
"knee; (internet slang) to kneel down (in admiration)" 膝盖
"to cover" 盖上
"to be in harmony" 叶
"(slang) marijuana" 叶子
"dead leaves; to lose leaves (of plants); deciduous" 落叶
"settled; steady; stable" 稳
"steady; stable; stability; to stabilize; to pacify" 稳定
"smooth; steady" 平稳
"steady; stable; sedate; calm; (of sleep) sound; (of a transition) smooth" 安稳
"steady; earnest; staid" 稳重
"pitiful; pathetic; to have pity on" 可怜
"to take pity on; pity; mercy" 怜悯
"to take pity on; to feel tenderness toward" 怜惜
"to have tender affection for; to love tenderly; to pamper sb" 怜爱
"chen (c. 1045 - 479 bc), a zhou dynasty state; to lay out; to exhibit; to display; to narrate; to state; to explain; to tell; old; stale" 陈
"an assertion; to declare; to state" 陈述
"to display; to exhibit" 陈列
old-fashioned 陈旧
"to display; to set out; furnishings" 陈设
"second (unit of time); arc second (angular measurement unit); (coll.) instantly" 秒
"millisecond, ms" 毫秒
"the classics; scriptures; classical; classic (example, case etc); typical" 经典
"army; armed forces; troops; force; unit" 部队
"team member" 队员
"to implement; to carry out; to execute; to run" 执行
"to be strongly attached to; to be dedicated; to cling to" 执着
"to enforce a law; law enforcement" 执法
"to hold power; in office" 执政
"to grieve; to be broken-hearted; to feel deeply hurt" 伤心
"to sustain injuries; wounded (in an accident etc); harmed" 受伤
"sad; sorrowful" 悲伤
"soup; hot or boiling water; decoction of medicinal herbs; water in which sth has been boiled" 汤
"tom (name)" 汤姆
"chicken stock; chicken soup" 鸡汤
"boiled or deep-fried balls of glutinous rice flour, usually eaten during lantern festival" 汤圆
"to dawdle; to go slow deliberately; to fizzle out; to have all one's hopes dashed" 泡汤
"male; staminate; grand; imposing; powerful; mighty; person or state having great power and influence" 雄
"robust; strong and solid" 雄厚
"vigor; virility; dynamism; (literary) powerful wind" 雄风
"wheel; disk; ring; steamship; to take turns; to rotate; classifier for big round objects: disk, or recurring events: round, turn" 轮
"to be (sb's or sth's) turn" 轮到
"to alternate; to take turns" 轮流
"tire; pneumatic tire" 轮胎
"an outline; silhouette" 轮廓
"(bound form) to pursue; to chase away; individually; one by one" 逐
"to chase; to pursue vigorously" 追逐
"to expel; to deport; banishment" 驱逐
"just; fair; to permit; to allow" 允
"to give one's assent; to consent" 应允
"to promise; to consent (to do sth)" 允诺
"equitable; fair" 公允
"do not; there is none who" 莫
"inexpressible; indescribable; unexplainable; inexplicable" 莫名
"can it be possible that; could it be" 莫非
"greatest; most important" 莫大
"none doesn't; there is none who isn't; everyone" 莫不
"angle; point of view" 角度
"role; character in a novel; persona" 角色
"leading role; lead; protagonist" 主角
shoe 鞋子
"slippers; sandals; flip-flops" 拖鞋
sandal 凉鞋
"gun; firearm; rifle; spear; thing with shape or function similar to a gun; to substitute for another person in a test; to knock; classifier for rifle shots; rifle; spear" 枪
pistol 手枪
"to open fire; to shoot a gun" 开枪
"crack; shooting sound; gunshot" 枪声
"to execute by firing squad; to shoot dead; fig. to discard; to get rid of" 枪毙
"cozy; snug" 舒适
"happy; entirely free from worry" 舒畅
"to roll out; to extend; to smooth out; to unfold" 舒展
"foodstuff; food; provisions" 食品
food 食物
"foodstuff; cereals" 粮食
"for example; for instance; such as" 例如
"proportion; scale" 比例
"case; (for) instance; example" 例子
"in spite of; regardless of" 不顾
"adviser; consultant" 顾问
"end; extremity; item; port; to hold sth level with both hands; to carry; regular; start; origin" 端
"summit; peak" 顶端
"end; terminal" 终端
"upright; regular; proper; correct" 端正
"guesthouse; lodge; hotel" 宾馆
restaurant 餐馆
"to burn; to cook; to stew; to bake; to roast; to heat; to boil (tea, water etc); fever; to run a temperature; (coll.) to let things go to one's head" 烧
"to ignite; to combust; to burn; combustion; flaming" 燃烧
"to have a high temperature (from illness); to have a fever" 发烧
"barbecue; to roast" 烧烤
"to set fire to; to burn down; burning hot; baked cake" 火烧
"rivers and lakes; all corners of the country; remote areas to which hermits retreat; section of society operating independently of mainstream society, out of reach of the law; (in late imperial times) world of traveling merchants, itinerant doctors, fortune tellers etc; demimonde; (in modern times) triads; secret gangster societies; underworld" 江湖
"yangtze river, or chang jiang" 长江
soldier 士兵
"(military) officers and soldiers; officers and men" 官兵
"to serve in the army; to be a soldier" 当兵
"military strength; armed forces; troops" 兵力
"to wake up; to be awake; to become aware; to sober up; to come to" 醒
"to waken" 醒来
"eye-grabbing (headline); striking (illustration)" 醒目
machine 机器
"weapon; arms" 武器
"(electrical) appliance; device" 电器
"musical instrument" 乐器
