风险 "risk; hazard"
风情 "mien; bearing; grace; amorous feelings; flirtatious expressions; local conditions and customs; wind force, direction etc"
区 "area; region; district; small; distinguish"
区别 "difference; to distinguish; to discriminate; to make a distinction"
区域 "area; region; district"
根据 "according to; based on; basis; foundation"
根源 "origin; root (cause)"
压根 "(mainly used in the negative) in the first place; absolutely; simply"
父母 "father and mother; parents"
父子 "father and son"
祖父 "father's father; paternal grandfather"
母 "mother; elderly female relative; origin; source; (of animals) female"
字母 "letter (of the alphabet)"
祖母 "father's mother; paternal grandmother"
母校 "alma mater"
约 "to make an appointment; to invite; approximately; pact; treaty; to economize; to restrict; to reduce (a fraction); concise"
大约 "approximately; probably"
纽约 "new york"
约定 "to agree on sth (after discussion); to conclude a bargain; to arrange; to promise; to stipulate; to make an appointment; stipulated (time, amount, quality etc); an arrangement; a deal; appointment; undertaking; commitment; understanding; engagement; stipulation"
节约 "to economize; to conserve (resources); economy; frugal"
进步 "progress; improvement; to improve; to progress"
脚步 "footstep; step"
逐步 "progressively; step by step"
肯 "to agree; to consent; to be willing to"
林肯 "lincoln (name); lincoln, us car make"
香港 "hong kong"
香烟 "cigarette; smoke from burning incense"
香味 "fragrance; bouquet; sweet smell"
香水 "perfume; cologne"
港 "harbor; port"
港口 "port; harbor"
港币 "hong kong currency; hong kong dollar"
港元 "hong kong dollar"
报 "to announce; to inform; report; newspaper; recompense; revenge"
报纸 "newspaper; newsprint"
远 "far; distant; remote; (intensifier in a comparison) by far; much (lower etc)"
永远 "forever; eternal"
远远 "distant; by far"
远处 "distant place"
遥远 "distant; remote"
男生 "schoolboy; male student; boy; guy (young adult male)"
男子 "a man; a male"
男女 "male-female; male and female"
订阅 "subscription; to subscribe to"
阅览 "to read"
查阅 "to consult; to refer to; to look sth up in a reference source"
设计 "to design; to plan; design; plan"
建设 "to build; to construct; to establish; to develop; to institute"
设置 "to set up; to install"
计划 "plan; project; program; to plan; to map out"
估计 "to estimate; to reckon; (coll.) to suppose"
马 "horse; horse or cavalry piece in chinese chess; knight in western chess"
罗马 "rome, capital of italy"
马车 "cart; chariot; carriage; buggy"
靠 "to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar)"
依靠 "to rely on sth (for support etc); to depend on"
可靠 reliable
停靠 "to call at; to stop at; berth"
治疗 "to treat (an illness); medical treatment; therapy"
统治 "to rule (a country); to govern; rule; regime"
治安 "law and order; public security"
存 "to exist; to deposit; to store; to keep; to survive"
生存 "to exist; to survive"
保存 "to conserve; to preserve; to keep; to save (a file etc) (computing)"
存款 "to deposit money (in a bank etc); bank savings; bank deposit"
双 "two; double; pair; both; even (number)"
