地板 floor
黑板 blackboard
木板 "slab; board; plank"
释放 "to release; to set free; to liberate (a prisoner); to discharge"
诠释 "to interpret; to comment and explain; to annotate; to perform (i.e. interpret a theatrical role); to decode; interpretation; annotation"
交 "to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines)"
交流 "to exchange; exchange; communication; interaction; to have social contact (with sb)"
朝 "imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards"
朝着 towards
朝廷 "court; imperial household; dynasty"
朝阳 "chaoyang district in east and northeast beijing, a county level district of beijing municipality; to be exposed to the sun; in a position facing the sun"
构筑 "to build; to construct"
修筑 "to build"
解析 "to analyze; to resolve; (math.) analysis; analytic"
剖析 "to analyze; to dissect"
辨析 "to differentiate and analyze; to discriminate"
收 "to receive; to accept; to collect; to put away; to restrain; to stop; in care of (used on address line after name)"
收到 "to receive"
收费 "to charge a fee"
收藏 "to collect (works of art, dolls, antiques etc); to put away for safekeeping; (internet) to bookmark; a collection"
下雨 "to rain"
风雨 "wind and rain; the elements; (fig.) trials and hardships"
小雨 "light rain; drizzle"
大雨 "heavy rain"
普遍 "universal; general; widespread; common"
遍地 "everywhere; all over"
遍布 "to cover the whole (area); to be found throughout"
传遍 "to spread widely"
华丽 gorgeous
玛丽 "mary or marie (name); mali"
丽江 "lijiang prefecture-level city in northwest yunnan"
千 thousand
千金 "money and riches; (honorific) invaluable (support); (honorific) daughter"
千古 "for all eternity; throughout all ages; eternity (used in an elegiac couplet, wreath etc dedicated to the dead)"
不仅 "not just; not limited to; (as a correlative conjunction) not only (..., but also ...)"
仅仅 "barely; only; merely; only (this and nothing more)"
赛 "to compete; competition; match; to surpass; better than; superior to; to excel"
大赛 "grand contest"
联赛 "(sports) league; league tournament"
竞赛 "to compete; to race; contest; competition; match; race"
投票 "to vote; vote"
忘记 "to forget"
难忘 unforgettable
遗忘 "to forget; to cease to think about (sb or sth) anymore"
主义 "-ism; ideology"
义务 "duty; obligation; volunteer (work etc)"
其余 "the rest; the others; remaining; remainder; apart from them"
业余 "in one's spare time; outside working hours; amateur (historian etc)"
多余 "superfluous; unnecessary; surplus"
剩余 "remainder; surplus"
脚 "foot; leg (of an animal or an object); base (of an object); classifier for kicks"
脚下 "under the foot"
手脚 "hand and foot; movement of limbs; action; trick"
双脚 "two legs; both feet"
立刻 "forthwith; immediate; prompt; promptly; straightway; thereupon; at once"
成立 "to establish; to set up; to be tenable; to hold water"
成绩 "achievement; performance records; grades"
业绩 "achievement; accomplishment; (in more recent usage) performance (of a business, employee etc); results"
绩效 "performance; results; achievement"
政绩 "(political) achievements; track record"
旁 "one side; other; different"
一旁 "aside; to the side of"
旁人 "other people; bystanders; onlookers; outsiders"
钓鱼 "to fish (with line and hook); to dupe"
鱼鳞 "fish scales"
金鱼 goldfish
鳄鱼 "alligator; crocodile"
阵 "disposition of troops; wave; spate; burst; spell; short period of time; classifier for events or states of short duration"
阵地 "(military) position; front"
阵容 "troop arrangement; battle formation; lineup (of a sports team etc)"
阵营 "group of people; camp; faction; sides in a dispute"
上阵 "to go into battle"
南方 "south; the southern part of the country; the south"
江南 "south of changjiang or yangtze river; south of the lower reaches of changjiang; often refers to south jiangsu, south anhui and north zhejiang provinces; a province during qing times; in literature, refers to the sunny south"
某 "some; a certain; sb or sth indefinite; such-and-such"
某些 "some; certain (things)"
某人 "someone; a certain person; some people; i (self-address after one's surname)"
某某 "so-and-so; such-and-such"
满 "manchu ethnic group; to fill; full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented"
充满 "full of; brimming with; very full; permeated"
满足 "to satisfy; to meet (the needs of); satisfied; content"
满意 "satisfied; pleased; to one's satisfaction"
不满 "resentful; discontented; dissatisfied"
尤为 especially
讨 "to invite; to provoke; to demand or ask for; to send armed forces to suppress; to denounce or condemn; to marry (a woman); to discuss or study"
讨厌 "to dislike; to loathe; disagreeable; troublesome; annoying"
探讨 "to investigate; to probe"
检讨 "to examine or inspect; self-criticism; review"
亿万 "millions and millions"
万亿 trillion
差 "different; wrong; mistaken; to fall short; to lack; not up to standard; inferior"
差不多 "almost; nearly; more or less; about the same; good enough; not bad"
差点 "almost; nearly"
差异 "difference; discrepancy"
差别 "difference; distinction; disparity"
冷静 "calm; cool-headed; dispassionate; (of a place) deserted; quiet"
宁静 "tranquil; tranquility; serenity"
慢 slow
慢慢 slowly
缓慢 slow
傲慢 "arrogant; haughty"
放慢 "to reduce the pace (of movements, steps etc)"
可谓 "it could even be said"
称谓 "title; appellation; form of address"
谓语 "(grammatical) predicate"
变革 "to transform; to change"
革新 "to innovate; innovation"
周 "to make a circuit; to circle; circle; circumference; lap; cycle; complete; all; all over; thorough; to help financially; week; weekly"
周围 "environs; surroundings; periphery"
周末 weekend
周年 "anniversary; annual"
装 "adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack"
安装 "to install; to erect; to fix; to mount; installation"
装修 "to decorate; interior decoration; to fit up; to renovate"
装饰 "to decorate; decoration; decorative; ornamental"
信封 envelope
封面 "cover (of a publication)"
封闭 "to close; to seal off; to close down (an illegal venue); closed (i.e. isolated from outside input)"
封建 "system of enfeoffment; feudalism; feudal; feudalistic"
热 "to warm up; to heat up; hot (of weather); heat; fervent"
热情 "cordial; enthusiastic; passion; passionate; passionately"
热闹 "bustling with noise and excitement; lively"
热爱 "to love ardently; to adore"
热烈 "enthusiastic; ardent; warm"
拥抱 "to embrace; to hug"
抱歉 "to be sorry; to feel apologetic"
怀抱 "to hug; to cherish; within the bosom (of the family); to embrace (also fig. an ideal, aspiration etc)"
抱有 "to have (aspirations, suspicions etc)"
节目 "program; item (on a program)"
细节 "details; particulars"
春节 "spring festival (chinese new year)"
情节 "circumstances; plot; storyline"
属 "category; genus (taxonomy); family members; dependents; to belong to; subordinate to; affiliated with; be born in the year of (one of the 12 animals); to be; to prove to be; to constitute"
属于 "to be classified as; to belong to; to be part of"
家属 "family member; (family) dependent"
金属 metal
