"confused and disorderly; mixed" 淆
"slow in one's reactions; sluggish (in movement or thought)" 迟钝
"prisoner; convict" 囚犯
"to imprison; captivity" 囚禁
prisoner 囚徒
"prisoner that awaits execution; convict sentenced to death; someone on death row" 死囚
nickname 绰号
"ostentatious; extravagant; liberal with money" 阔绰
"to alternate; to change" 更迭
charcoal 木炭
"(medicine) anthrax; (horticulture) anthracnose; canker" 炭疽
"sin; crime; wrongdoing" 罪孽
"to sin" 作孽
"to do evil; to commit sins" 造孽
"to think sth through; to consider carefully" 思虑
"to sway gently (as in the wind); (of a flame) to flicker" 摇曳
"to settle; to precipitate (solid sediment out of a solution)" 沉淀
"starch; amylum (c6h10o5)n" 淀粉
"deposits accumulated over long periods; fig. valuable experience, accumulated wisdom" 积淀
"eaves; roof (i.e. home)" 屋檐
eaves 房檐
"to wash the face and rinse the mouth" 洗漱
"to rinse one's mouth; to gargle" 漱口
"to stop (before completion); to cease; to suspend" 辍
"to drop out of school; to leave off studying; to interrupt one's studies" 辍学
"the front piece(s) of a chinese jacket; lapel" 衣襟
"lapel of jacket; heart; aspiration; vision" 胸襟
"to sink down to; to be reduced to (sth inferior)" 沦为
"to degenerate; impoverished; to fall (into poverty); to be reduced (to begging)" 沦落
"to sink into (vice, depravity etc); to pass into oblivion; downfall; passing" 沉沦
"to fall into enemy hands; to be occupied; to degenerate; to submerge" 沦陷
"to crumble; to collapse; to decline; to decay; decadent; dejected; dispirited; balding" 颓
"decrepit; ruined; disappointed" 颓然
"dejected; disheartened; listless" 颓丧
"decline (in fortune)" 颓势
"to pour down in torrents" 倾泻
"to flow; to flood" 流泻
banyan 榕树
"to elaborate (on a theme); to expound (the classics); perfunctory; to skimp; to botch; to do sth half-heartedly or just for show; barely enough to get by" 敷衍
"to cultivate; cultivation; to further; to encourage" 养殖
"colony; colonial" 殖民
"to breed; to reproduce; to propagate" 繁殖
"to attempt vainly; a vain attempt; delusion" 妄想
"egotistical; arrogant; brassy" 狂妄
"to try in vain; futile attempt" 妄图
fabricated 虚妄
dagger 匕首
"heated brick common bed" 土炕
"shy; timid" 羞怯
"timid; gutless; weakling" 怯懦
"to have stage fright" 怯场
"deep (valley or night); abstruse; hidden in depth" 深邃
"to lift up (sth hanging down); to raise (hem of skirt); to pull up (sleeve); to sprinkle (water with cupped hands)" 撩
"to raise; to lift up (curtains, clothing etc)" 撩起
"to provoke; to tease" 撩拨
"to push aside (clothing, curtain etc) to reveal something; to toss aside" 撩开
"to provoke; provocation" 挑衅
"ax; hatchet" 斧头
"axe; hatchet" 斧子
"broad axe" 板斧
"(of beasts of prey, torrents of water, a person in a rage etc) to roar" 咆哮
"scornful; disdainful; contemptuous; pejorative; disdain; contempt" 轻蔑
"to loathe; to despise; contempt" 蔑视
"to slander; to smear; to vilify" 诬蔑
monk 僧人
"a senior monk" 高僧
"so far; to date; until now" 迄今
"to chew; to think over" 咀嚼
"to chew" 嚼
"to taste tea; to sip tea" 品茗
"steelyard; roman balance" 秤
"brother's son; nephew" 侄子
"niece; brother's daughter" 侄女
"to satisfy one's craving" 解馋
"gluttonous; ravenous" 嘴馋
"model; example" 楷模
"regular script (chinese calligraphic style)" 楷书
"east china sea; japan" 东瀛
"to filter; to sift; to sieve" 筛
"to filter" 筛选
sieve 筛子
"inert (chemistry); apathy; inertia; laziness" 惰性
"deformity; abnormality" 畸形
"elegant; magnificent; exceptionally beautiful" 瑰丽
"gem; (fig.) rare and valuable item; gem; treasure" 瑰宝
"to forgive; forgiveness" 宽恕
"to take by the arm and assist; to mix; to blend; to dilute; to adulterate" 搀
"stone roller; roller and millstone; to grind; to crush; to husk" 碾
"head; skull" 头颅
"muttering, indistinct speech" 囔
rotten 朽
"to last forever; eternal; enduring" 不朽
"rotten wood" 朽木
"snore; to snore" 鼾
"sound of snoring" 鼾声
"to snore" 打鼾
"primal chaos; formless mass before creation in chinese mythology; muddled; innocent as a baby" 混沌
self-immolation 自焚
"to burn; to set on fire" 焚烧
"to burn down; to destroy with fire; to burn down; to destroy with fire" 焚毁
"to burn incense" 焚香
"nickname; diminutive; term of endearment; to nickname" 昵称
intimate 亲昵
"reserved; aloof" 矜持
"satin; silk fabric" 绸缎
"silk fabric; silk" 绸子
"minute; tiny; negligible; insignificant" 渺小
"faintly discernible; as in a mist" 飘渺
"joseph (name)" 约瑟
"trembling; rustling" 瑟瑟
"to curl up shivering (from cold); timid and trembling (in fear); to shrink; to cower" 瑟缩
"too busy; to have no time for; fully occupied" 无暇
"leisure; free time; unoccupied; not in use; leisure" 闲暇
"to seep; to percolate" 沁
"to give rise to; to derive; derivative; derivation" 衍生
"to multiply; to reproduce; to increase gradually in number or quantity" 繁衍
"(gun) trigger" 扳机
"spanner; wrench; lever (on a machine)" 扳手
cheese 奶酪
cheese 乳酪
lemon 柠檬
"to focus attention upon" 瞩目
"sex scandal" 绯闻
"crimson; scarlet" 绯红
"human skeleton; human skull" 骷髅
"wife of father's younger brother; aunt" 婶婶
"(coll.) father's younger brother's wife; aunt" 婶子
"(of complexion or skin) fair and clear" 白皙
"thumb; big toe" 拇指
"military clique; junta; warlord" 军阀
"valve (mechanical)" 阀门
"coat; jacket; short and lined coat or robe" 袄
"(literary) underage male servant" 小厮
"to fight at close quarters; to fight tooth and nail" 厮杀
"to stay together; to rely on one another" 厮守
"(derog.) to hang out (with sb); to mix (things) together" 厮混
"to kowtow (traditional greeting, esp. to a superior, involving kneeling and pressing one's forehead to the ground)" 叩头
"conical bamboo hat" 斗笠
"to revere" 敬畏
"unafraid; to defy" 不畏
"to cower; to flinch; to quail; to recoil" 畏缩
"woodman; woodcutter" 樵夫
"tall building; mansion; rear annex; lean-to" 厦
"perplexed; at a loss" 迷惘
"crop failure; famine; debt; difficulty" 饥荒
"eccentricity; peculiarity; strange hobby" 怪癖
"one's passion; one's obsession" 癖好
"stamen; pistil" 蕊
"stamen; pistil" 花蕊
"to mount (a picture); to dress; to adorn; decoration; packaging" 装潢
"saliva; to spit" 唾
"to spurn; to disdain" 唾弃
saliva 唾液
"in a daze" 怔怔
"clever; witty; intelligent" 伶俐
"egg; ovum; spawn; (coll.) testicles; (expletive) fucking" 卵
ovum 卵子
"cobble; cobblestone; pebble" 卵石
"to ovulate" 排卵
chimney 烟囱
"to leap up; (coll.) to gush out; to spurt out" 蹿
"peaceful relations; harmonious" 和睦
"to bribe; a bribe" 贿赂
"to accept a bribe" 受贿
"to bribe; to give bribes" 行贿
"lotus root" 莲藕
"prostitute; whore" 婊子
cockroach 蟑螂
"mantis; praying mantis" 螳螂
nightingale 夜莺
"black-naped oriole (oriolus chinensis)" 黄莺
"to overlook; to look down from a height" 俯瞰
"to overlook; to look down at" 俯视
"to lean over; to bend over; to stoop; to bow" 俯身
"to dive down fast; to swoop down" 俯冲
"harsh; severe; demanding" 苛刻
demanding 苛求
"suddenly; sudden" 蓦然
"suddenly; unexpectedly" 蓦地
"fiji, country in the southwest pacific ocean" 斐济
"to rise rapidly; to soar" 飙升
"hurricane; violent reform or revolution; violent movement or force" 狂飙
"annoyed; vexed; upset" 懊恼
"dejected; despondent; depressed" 懊丧
"mellow and rich; simple and kind" 醇厚
"rich and mellow (flavor or aroma)" 香醇
"glutinous rice (oryza sativa var. glutinosa)" 糯米
"to twitch" 抽搐
submarine 潜艇
"barge; yacht" 游艇
"speedboat; motor launch" 快艇
"warship; naval vessel" 舰艇
"bengbu prefecture-level city in anhui" 蚌埠
chinatown 华埠
"legacy; mantle" 衣钵
shark 鲨鱼
handkerchief 手绢
"back (of a human or other vertebrate)" 脊背
"mountain ridge" 山脊
"the back of the human body" 背脊
"(literary) stunned; stupefied" 惊愕
"stunned; amazed" 愕然
"astonished; startled" 错愕
"marrow; essence; quintessence; pith (soft interior of plant stem)" 髓
"marrow; pith; quintessence; essence" 精髓
"bone marrow (medulla ossea)" 骨髓
"spinal cord; medulla spinalis" 脊髓
"to pace; to stroll" 踱步
"medal; decoration" 勋章
"achievement; meritorious deed; contributions (for the good of society)" 功勋
"lord (uk hereditary nobility); uk life peer" 勋爵
"leading light; founding father; principal proponent; leading light; founding father; principal proponent" 元勋
"turbid; muddy; dirty" 混浊
"dirty; muddy; foul (sewer)" 污浊
"so big; such a big" 偌大
spoon 调羹
"ruffian; hooligan" 痞子
"bully; local ruffian" 地痞
muddy 泞
"to solicit contributions; to collect donations" 募捐
"to recruit; to enlist" 招募
"to raise; to collect" 募集
"dipper; ladle" 瓢
"cooking; culinary arts" 烹饪
"to cook" 烹调
