metallurgy 冶金
"to smelt metal" 冶炼
"pretty and flirtatious" 妖冶
"bordering; adjacent to" 毗邻
"(bound form) hungry; starving; (bound form) dispirited; (literary) (of fish) putrid" 馁
"to be discouraged" 气馁
"to burst forth" 迸发
"cellar; basement" 地窖
icehouse 冰窖
ankle 脚踝
"tubo or tufan, old name for tibet; the tibetan tubo dynasty 7th-11th century ad" 吐蕃
"lofty; towering; majestic" 巍峨
"majestic; towering; imposing" 巍然
"next day" 翌日
"the following year; the next year" 翌年
"hair worn in a bun or coil" 发髻
"private school (in former times)" 私塾
elm 榆树
"celery (apium graveolens)" 芹菜
"vertebra; backbone" 脊椎
"lumbar vertebra (lower backbone)" 腰椎
"withered; wilted; to wither; to fade; to decay" 凋零
"to wither; to wilt; wizened" 凋谢
"bad luck; unlucky; calamitous; wretched" 晦气
"dark and gloomy" 晦暗
"vague; ambiguous; veiled; obscure" 隐晦
"murmur; babble (sound of water)" 潺潺
"sickle; curved blade to cut grain" 镰刀
"fluorescence; fluorescent" 荧光
"fluorescent screen; tv screen" 荧屏
"binding and layout (of a book etc)" 装帧
reef 礁石
"slave servant" 奴婢
"slave girl; servant girl" 婢女
"sheep; lamb" 羔羊
lamb 羊羔
"pre-qin, chinese history up to the foundation of the qin imperial dynasty in 221 bc" 先秦
"qinqiang, an opera style popular in northwest china, possibly originating in ming dynasty folk music; shaanxi opera" 秦腔
"thick weeds; luxuriant growth; illicium anisatum, a shrub with poisonous leaves; impertinent" 莽
"rude and impetuous" 莽撞
"sorghum; common sorghum (sorghum vulgare)" 高粱
"dry rations (for a journey); (dialect) (of noodles etc) to become mush (from overcooking); (coll.) embarrassing; embarrassment" 糗
"to wipe out; to crush; to annihilate" 歼灭
"earthen jar; urn; pottery container for water, wine etc" 瓮
"lake dianchi in yunnan" 滇池
"to weld; welding" 焊接
"cold; to shiver with cold; to tremble with fear; afraid; apprehensive; strict; stern; severe; austere; awe-inspiring; imposing; majestic" 凛
"biting cold" 凛冽
"to gold-plate; to gild; (fig.) to make sth quite ordinary seem special" 镀金
"seaweed; marine alga; kelp" 海藻
hedgehog 刺猬
"to be eager and anxious (to do sth); faithful and upright" 怦怦
satin 缎子
ribbon 缎带
"self-esteem; self-reliance; overconfident; conceited" 自恃
"to wander about unhurriedly; to linger; to loiter" 徜徉
"extraneous; redundant; superfluous; busy schedule" 冗
"long and tedious; redundant; superfluous; supernumerary; verbose (of writing)" 冗长
"(literary) (of smoke, mist) dense; thick" 氤氲
"mink fur" 貂皮
"healthy and strong; sturdy; thriving; vigorous; robust; flourishing" 茁壮
"coffee; class; grade" 咖
"smoke from kitchen chimneys" 炊烟
"cooking utensils; cookware; cooker" 炊具
"to encircle and annihilate; refers to repeated campaigns of the guomindang against the communists from 1930 onwards" 围剿
"loud and clear; resonant" 嘹亮
"to be bashful; to feel ashamed" 害臊
"crotch of trousers" 裤裆
"unhurried; leisurely" 姗姗
"bohai sea, or bo hai, between liaoning and shandong" 渤海
"lit. to go upstream; to trace sth back to; to date from" 追溯
"to recall; to look back upon" 回溯
"to investigate the origin of sth; to trace a river upstream back to its source" 溯源
"to carve a seal; a seal" 篆刻
"inner organs" 脏腑
bait 诱饵
"open seam of a garment; shorts; panties" 衩
underpants 裤衩
acne 痤
"capricorn (star sign)" 摩羯
"center; hub; the central administration" 中枢
"superfluous; cumbersome; a burden on sb; a nuisance to sb; to inconvenience; to tie sb down; long-winded (of writing)" 累赘
"to say more than is necessary; to give unnecessary details" 赘述
"excess flesh; unwanted fat; flab; bulge" 赘肉
"doze; nap" 盹
"to doze off" 打盹
