瘦弱 "thin and weak"
卫生 "health; hygiene; sanitation"
保卫 "to defend; to safeguard"
大卫 "david (name)"
曲子 "poem for singing; tune; music"
曲线 "curve; curved line; indirect; in a roundabout way"
扭曲 "to twist; to warp; to distort"
秋 "autumn; fall; harvest time"
秋天 autumn
中秋 "the mid-autumn festival, the traditional moon-viewing festival on the 15th of the 8th lunar month"
秋季 "autumn; fall"
挑 "to carry on a shoulder pole; to choose; to pick; to nitpick"
挑剔 "picky; fussy"
挑起 "to provoke; to stir up; to incite"
晴朗 "sunny and cloudless"
晴天 "clear sky; sunny day"
沉默 "taciturn; uncommunicative; silent"
沉重 "heavy; hard; serious; critical"
沉思 "to contemplate; to ponder; contemplation; meditation"
沉浸 "to soak; to permeate; to immerse"
默默 "in silence; not speaking"
幽默 humorous
默契 "tacit understanding; mutual understanding; rapport; connected at a deep level with each other; (of team members) well coordinated; tight"
彼此 "each other; one another"
彼得 "peter (name)"
彼岸 "the other shore"
擦 "to rub; to scratch; to towel; to wipe with a towel; to apply (lipstick, lotion etc); to touch; to brush (past); to shred (vegetables etc)"
摩擦 "friction; rubbing; chafing; fig. disharmony; conflict"
擦拭 "to wipe clean"
擦干 "to wipe dry"
苏 "to revive; perilla frutescens (chinese basil or wild red basil); place name; to revive; used as phonetic in transliteration"
复苏 "to recover (health, economic); to resuscitate; anabiosis; to recover (health, economic); to resuscitate; anabiosis"
苏醒 "to come to; to awaken; to regain consciousness"
苏珊 "susan (name)"
毫 "hair; drawing brush; (in the) least; one thousandth; currency unit, 0.1 yuan"
毫无 "not in the least; to completely lack"
毫米 millimeter
毫升 milliliter
最佳 "optimum; optimal; peak; best (athlete, movie etc)"
佳人 "beautiful woman"
佳肴 "fine food; delicacies; delicious food"
佳作 "masterpiece; fine piece of writing"
宽 "wide; broad; loose; relaxed; lenient"
宽容 "lenient; tolerant; indulgent; charitable; to forgive"
宽敞 "spacious; wide"
宽带 broadband
宽阔 "expansive; wide; width; thickness"
数码 "number; numerals; figures; digital; amount; numerical code"
起码 "at the minimum; at the very least"
丢 "to lose; to put aside; to throw"
丢失 "to lose; to misplace"
丢下 "to abandon"
丢掉 "to lose; to throw away; to discard; to cast away"
丢人 "to lose face"
忍 "to bear; to endure; to tolerate; to restrain oneself"
忍受 "to bear; to endure"
残忍 "cruel; mean; merciless; ruthless"
不忍 "cannot bear to"
朵 "flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc"
耳朵 "ear; handle (on a cup)"
花朵 flower
泡 "bubble; foam; blister; to soak; to steep; to infuse; to dawdle; to loiter; to pick up (a girl); to get off with (a sexual partner); classifier for occurrences of an action; classifier for number of infusions"
泡沫 "foam; (soap) bubble; (economic) bubble"
泡泡 bubbles
灯泡 "light bulb; third-wheel or unwanted third party spoiling a couple's date (slang)"
浸泡 "to steep; to soak; to immerse"
弗雷 "freyr (god in norse mythology)"
得罪 "to offend sb; to make a faux pas; a faux pas"
闹 "noisy; cacophonous; to make noise; to disturb; to vent (feelings); to fall ill; to have an attack (of sickness); to go in (for some activity); to joke"
喧闹 "to make a noise; noisy"
吵闹 "noisy; raucous; to shout and scream"
墙壁 wall
城墙 "city wall"
