椅子 chair
轮椅 wheelchair
长椅 bench
判 "to judge; to sentence; to discriminate; to discern; clearly distinguishable"
判决 "judgment (by a court of law); to pass judgment on; to sentence"
恋人 "lover; sweetheart"
初恋 "first love"
失恋 "to lose one's love; to break up (in a romantic relationship); to feel jilted"
迷恋 "to be infatuated with; to be enchanted by; to be passionate about"
姻缘 "a marriage predestined by fate"
躲避 "to hide; to evade; to dodge; to take shelter; to avoid (difficulties)"
躲开 "to stay out of (hot water, trouble, awkward situation etc); to avoid (sb)"
躲藏 "to conceal oneself; to go into hiding; to take cover"
咬 "to bite; to nip"
召开 "to convene (a conference or meeting); to convoke; to call together"
号召 "to call; to appeal"
召集 "to convene; to gather"
召唤 "to summon; to beckon; to call"
频 "frequency; frequently; repetitious"
频道 "frequency; (television) channel"
频繁 "frequently; often"
频频 "repeatedly; again and again; continuously; constantly"
一辈子 "(for) a lifetime"
前辈 "senior; older generation; precursor"
长辈 "one's elders; older generation"
混 "to mix; to mingle; muddled; to drift along; to muddle along; to pass for; to get along with sb; thoughtless; reckless"
混合 "to mix; to blend; hybrid; composite"
混蛋 "scoundrel; bastard; hoodlum; wretch"
混淆 "to obscure; to confuse; to mix up; to blur; to mislead"
收拾 "to put in order; to tidy up; to pack; to repair; (coll.) to sort sb out; to fix sb"
晓得 "to know"
知晓 "to know; to understand"
揭晓 "to announce publicly; to publish; to make known; to disclose"
摇 "to shake; to rock; to row; to crank"
摇头 "to shake one's head"
摇滚 "rock 'n' roll (music); to rock; to fall off"
动摇 "to sway; to waver; to rock; to rattle; to destabilize; to pose a challenge to"
摇摆 "to sway; to wobble; to waver"
咨询 "to consult; to seek advice; consultation; (sales) inquiry (formal)"
询问 "to inquire"
穷 "poor; destitute; to use up; to exhaust; thoroughly; extremely; (coll.) persistently and pointlessly"
穷人 "poor people; the poor"
贫穷 "poor; impoverished"
无穷 "endless; boundless; inexhaustible"
穷困 "destitute; wretched poverty"
冰川 glacier
川菜 "sichuan or szechuan cuisine"
山川 "mountains and rivers; landscape"
慰问 "to express sympathy, greetings, consolation etc"
抚慰 "to console; to comfort; to soothe"
损 "to decrease; to lose; to damage; to harm; (coll.) to ridicule; to deride; (coll.) caustic; sarcastic; nasty; mean"
损失 "loss; damage; to lose; to suffer damage"
损害 "harm; to damage; to impair"
亏损 "deficit; (financial) loss"
损坏 "to damage; to injure"
巧 "opportunely; coincidentally; as it happens; skillful; timely"
巧妙 "ingenious; clever; ingenuity; artifice"
巧合 "coincidence; coincidental; to coincide"
小巧 "small and exquisite; delicate; fine (features); compact; nifty"
干涉 "to interfere; to meddle; interference"
涉嫌 "to be a suspect (in a crime); to be suspected of"
交涉 "to negotiate (with); to have dealings (with)"
播放 "to broadcast; to transmit (by radio or tv)"
直播 "(tv, radio) to broadcast live; live broadcast; (internet) to livestream; (agriculture) direct seeding"
撞击 "to strike; to hit; to ram"
相撞 "collision; crash; to crash together; to collide with; to bump into"
撞倒 "to knock down; to knock over; to run over (sb)"
欺骗 "to deceive; to cheat"
骗子 "swindler; a cheat"
骗人 "to cheat sb; a scam"
诈骗 "to defraud; to swindle; to blackmail"
扔 "to throw; to throw away"
扔掉 "to throw away; to throw out"
扔下 "to throw down; to drop (bomb)"
付出 "to pay; to invest (energy or time in a friendship etc)"
对付 "to handle; to deal with; to tackle; to get by with; to make do; (dialect) (usu. used in the negative) to get along with (sb)"
付款 "to pay a sum of money; payment"
魂 "soul; spirit; immortal soul (that can be detached from the body)"
鬼魂 ghost
饿死 "to starve to death; to be very hungry"
面临 "to face sth; to be confronted with"
临时 "as the time draws near; at the last moment; temporary; interim; ad hoc"
来临 "to approach; to come closer"
降临 "to descend; to arrive; to come"
散 "to scatter; to break up (a meeting etc); to disperse; to disseminate; to dispel; (coll.) to sack"
散发 "to distribute; to emit; to issue"
散步 "to take a walk; to go for a walk"
散文 "prose; essay"
分散 "to scatter; to disperse; to distribute"
趟 "classifier for times, round trips or rows; a time; a trip"
贡献 "to contribute; to dedicate; to devote; contribution"
文献 document
奉献 "to offer respectfully; to consecrate; to dedicate; to devote"
献身 "to commit one's energy to; to devote oneself to; to sacrifice one's life for; (coll.) (of a woman) to give one's virginity to"
资讯 information
通讯 "communications; news story; dispatch"
审讯 "inquest; trial; interrogation; to try; to interrogate"
讯息 "information; news; message; text message or sms"
竹子 bamboo
竹林 "bamboo forest"
竹竿 "bamboo; bamboo pole"
爆竹 firecracker
杰出 "outstanding; distinguished; remarkable; prominent; illustrious"
杰作 masterpiece
哎呀 "interjection of wonder, shock or admiration"
哎哟 "hey; ow; ouch; interjection of pain or surprise"
描 "to depict; to trace (a drawing); to copy; to touch up"
描述 "to describe; description"
描绘 "to describe; to portray"
扫描 "to scan"
上述 "aforementioned; above-mentioned"
叙述 "to relate (a story or information); to tell or talk about; to recount; narration; telling; narrative; account"
紫色 "purple; violet (color)"
紫荆 "chinese redbud (cercis chinensis)"
稍稍 "somewhat; a little; slightly"
稍后 "in a little while; in a moment; later on"
粉 "powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; to turn to powder; (dialect) to whitewash; white; pink; to be a fan of"
粉碎 "to crush; to smash; to shatter"
面粉 flour
艰辛 "hardships; arduous; difficult"
辛勤 "hardworking; industrious"
辛酸 "pungent (taste); bitter; fig. sad; miserable"
炒 "to stir-fry; to speculate; to hype; to fire (sb)"
炒作 "to hype; to promote (in the media)"
炒菜 "to stir-fry; to do the cooking; stir-fried dish"
祖国 motherland
祖先 "ancestor; forebears"
亲吻 "to kiss; kiss"
口吻 "tone of voice; connotation in intonation; accent (regional etc); snout; muzzle; lips; protruding portion of an animal's face"
接吻 "to kiss"
吻合 "to be a good fit; to be identical with; to adjust oneself to; to fit in"
厌倦 "to be weary of; to be fed up with; to be bored with"
摄像 "to videotape"
乃至 "and even; to go so far as to"
点滴 "a drip; a little bit; intravenous drip (used to administer drugs)"
滴水 "water drop; dripping water"
柔 "soft; flexible; supple; yielding"
柔和 "gentle; soft"
柔情 "gentle feelings; tender sentiments"
串 "to string together; to skewer; to connect wrongly; to gang up; to rove; string; bunch; skewer; classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of; to make a swift or abrupt linear movement (like a bead on an abacus); to move across"
串门 "to call on sb; to drop in; to visit sb's home"
串联 "to establish ties or contact; in series connection (electricity)"
兼职 "to hold concurrent posts; concurrent job; moonlighting"
兼任 "to hold several jobs at once; concurrent post; working part-time"
兼顾 "to attend simultaneously to two or more things; to balance (career and family, family and education etc)"
兼容 compatible
安娜 "anna (name)"
娜娜 "nana (name)"
湖 lake
西湖 "xihu or west lake (place name)"
湖边 lakeside
湖泊 lake
肌肤 "skin; flesh; fig. close physical relationship"
肤色 "skin color"
护肤 skincare
玛雅 "maya (civilization)"
家乡 "hometown; native place"
故乡 "home; homeland; native place"
老乡 "fellow townsman; fellow villager; sb from the same hometown"
