仙境 "fairyland; wonderland; paradise"
天仙 "immortal (esp. female); deity; fairy; goddess; fig. beautiful woman"
扣 "to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct (money); discount; to knock; to smash, spike or dunk (a ball); to cover (with a bowl etc); (fig.) to tag a label on sb; button"
折扣 discount
扣除 "to deduct"
扣子 button
回扣 "brokerage; a commission paid to a middleman; euphemism for a bribe; a kickback"
俄 "russia; russian; suddenly; very soon"
俄国 russia
俄语 "russian (language)"
俄文 "russian language"
俩 "both; some"
伎俩 "trick; scheme; ploy; skill"
闪 "to dodge; to duck out of the way; to beat it; shaken (by a fall); to sprain; to pull a muscle; lightning; spark; a flash; to flash (across one's mind); to leave behind"
闪烁 "flickering; twinkling; evasive; vague (of speech)"
闪电 lightning
闪过 "to flash through (one's mind); to dodge (away from pursuers)"
闪闪 "flickering; sparkling; glistening; glittering"
叹 "to sigh; to exclaim"
感叹 "to sigh (with feeling); to lament"
叹息 "to sigh; to gasp (in admiration)"
赞叹 "to exclaim in admiration"
惊叹 "to exclaim in admiration; a gasp of surprise"
勒 "to strap tightly; to bind"
勒索 "to blackmail; to extort"
勾勒 "to draw the outline of; to outline; to sketch; to delineate contours of; to give a brief account of"
勒令 "to order; to force"
杨柳 "willow tree; poplar and willow; name of traditional tune"
杨树 "poplar tree; various trees of genus populus"
工厂 factory
厂家 "factory; manufacturer; (coll.) a factory owner; the factory management"
厂商 "manufacturer; producer"
厂长 "factory director"
进攻 "to attack; to assault; to go on the offensive; attack; assault; offense (sports)"
攻读 "to major (in a field); to study a specialty to obtain a higher degree"
攻势 "(military) offensive"
扎 "to prick; to run or stick (a needle etc) into; (of troops) to be stationed (at)"
挣扎 "to struggle"
扎实 "strong; solid; sturdy; firm; practical"
包扎 "to wrap up; to pack; to bind up (a wound)"
扎根 "to take root"
协会 "an association; a society"
餐厅 "dining hall; dining room; restaurant"
晚餐 "evening meal; dinner"
客厅 "drawing room (room for arriving guests); living room"
大厅 "hall; lounge"
舞厅 "dance hall; ballroom"
凄凉 "mournful; miserable; desolate (place)"
清凉 "cool; refreshing; (of clothing) skimpy; revealing"
荒凉 desolate
使劲 "to exert all one's strength"
强劲 "strong; powerful; robust"
费劲 "to require effort; strenuous"
没劲 "to have no strength; to feel weak; exhausted; feeling listless; boring; of no interest"
脖子 neck
踢 "to kick; to play (e.g. soccer); (slang) butch (in a lesbian relationship)"
呕吐 "to vomit"
保障 "to ensure; to guarantee; to safeguard"
故障 "malfunction; breakdown; defect; shortcoming; fault; failure; impediment; error; bug (in software)"
皇上 "the emperor; your majesty the emperor; his imperial majesty"
皇后 "empress; imperial consort"
皇家 "royal; imperial household"
猛 "ferocious; fierce; violent; brave; suddenly; abrupt; (slang) awesome"
猛地 suddenly
猛然 "suddenly; abruptly"
猛烈 "fierce; violent (criticism etc)"
凶猛 "fierce; violent; ferocious"
萨 bodhisattva
不菲 "considerable (cost etc); bountiful (crop etc); high (social status etc)"
苏菲 "sophie (name); sufi"
菲菲 "very fragrant; luxurious; beautiful"
垃圾 "trash; refuse; garbage; (coll.) of poor quality"
叔叔 "father's younger brother; uncle"
大叔 "eldest of father's younger brothers; uncle (term used to address a man about the age of one's father)"
降 "to drop; to fall; to come down; to descend"
下降 "to decline; to drop; to fall; to go down; to decrease"
降价 "to cut the price; to drive down the price; to get cheaper"
子弹 bullet
炸弹 bomb
导弹 "(guided) missile"
弹性 "flexibility; elasticity"
扩大 "to expand; to enlarge; to broaden one's scope"
扩展 "to extend; to expand; extension; expansion"
扩张 "expansion; dilation; to expand (e.g. one's power or influence); to broaden"
扩散 "to spread; to proliferate; to diffuse"
臭 "stench; smelly; to smell (bad); repulsive; loathsome; terrible; bad; severely; ruthlessly; dud (ammunition)"
臭味 "bad smell; foul odor"
薄 "thin; cold in manner; indifferent; weak; light; infertile"
薄弱 "weak; frail"
单薄 "weak; frail; thin; flimsy"
微薄 "scanty; meager"
浅薄 superficial
透 "(bound form) to penetrate; to seep through; to tell secretly; to leak; thoroughly; through and through; to appear; to show"
透过 "to pass through; to penetrate; by means of; via"
透明 "transparent; (fig.) transparent; open to scrutiny"
