温泉 "hot spring; spa; onsen"
小泉 "koizumi (name)"
泉水 "spring water"
泉州 "quanzhou, prefecture-level city in fujian"
浓重 "dense; thick; strong; rich (colors); heavy (aroma); deep (friendship); profound (effect)"
浓烈 "strong (taste, flavor, smell)"
埋 "to bury"
埋怨 "to complain; to grumble (about); to reproach; to blame"
埋头 "to immerse oneself in; engrossed in sth; to lower the head (e.g. to avoid rain); countersunk (of screws, rivets etc)"
埋葬 "to bury"
埋藏 "to bury; to hide by burying; hidden"
扶持 "to help; to assist"
扶贫 "assistance to the poor; poverty alleviation"
扶手 "handrail; armrest"
搀扶 "to lend an arm to support sb"
光泽 "luster; gloss"
色泽 "color and luster"
沼泽 "marsh; swamp; wetlands; glade"
入狱 "to go to jail; to be sent to prison"
出狱 "to be released from prison"
电梯 "elevator; escalator"
阶梯 "flight of steps; (fig.) stepping stone; way to reach the goal of"
梯子 "ladder; stepladder"
抄袭 "to plagiarize; to copy; to attack the flank or rear of an enemy"
抄家 "to search a house and confiscate possessions"
抄写 "to copy; to transcribe"
糊涂 "muddled; silly; confused"
含糊 "ambiguous; vague; careless; perfunctory"
迷糊 "muddle-headed; dazed; only half conscious"
出嫁 "to get married (of woman)"
嫁人 "(of a woman) to get married; to take a husband"
帅 "(bound form) commander-in-chief; (bound form) to lead; to command; handsome; graceful; dashing; elegant; (chinese chess) general (on the red side, equivalent to a king in western chess)"
元帅 "marshal (in the army)"
帅气 "handsome; smart; dashing; elegant"
钻 "to drill; to bore; to get into; to make one's way into; to enter (a hole); to thread one's way through; to study intensively; to dig into; to curry favor for personal gain"
钻进 "to get into; to dig into (studies, job etc); to squeeze into"
钻研 "to study meticulously; to delve into"
遵循 "to follow; to abide by; to comply with"
遵照 "in accordance with; to follow (the rules)"
愁 "to worry about"
发愁 "to worry; to fret; to be anxious; to become sad"
忧愁 "to be worried"
宙 "eternity; (geology) eon"
真诚 "sincere; genuine; true"
诚信 "genuine; honest; in good faith; honesty; integrity"
忠诚 "devoted; loyal; fidelity; loyalty"
虔诚 "pious; devout; sincere"
趴 "to lie on one's stomach; to lean forward, resting one's upper body (on a desktop etc)"
机械 "machine; machinery; mechanical; scheming"
器械 "apparatus; instrument; equipment; weapon"
侦探 "detective; to do detective work"
探究 "to investigate; to delve; to probe; to enquire into; to look into"
寸 "a unit of length; inch; thumb"
英寸 "inch (unit of length equal to 2.54 cm.)"
传递 "to transmit; to pass on to sb else; (math.) transitive"
递交 "to present; to give; to hand over; to hand in; to lay before"
快递 "express delivery"
上吊 "to hang oneself"
惹 "to provoke; to irritate; to vex; to stir up; to anger; to attract (troubles); to cause (problems)"
惹人 "to provoke (esp. annoyance, disgust etc); to offend; to attract (attention)"
种植 "to plant; to grow (a crop); to cultivate"
丑 "clown; shameful; ugly; disgraceful"
丑陋 ugly
丑闻 scandal
丑恶 "ugly; repulsive"
小丑 clown
挣钱 "to make money"
挣脱 "to throw off; to struggle free of"
鲁 "(bound form) crass; stupid; rude"
秘鲁 peru
仁慈 "benevolent; charitable; kind; kindly; kindness; merciful"
仁义 "benevolence and righteousness"
脾气 "character; temperament; disposition; bad temper"
染 "to dye; to catch (a disease); to acquire (bad habits etc); to contaminate; to add color washes to a painting"
感染 "to infect; infection; (fig.) to influence"
污染 "to pollute; to contaminate (lit. and fig.)"
传染 "to infect; contagious"
染上 "to catch (a disease); to get (a bad habit)"
逍遥 "free and unfettered"
遥望 "to look into the distance"
遥控 "to direct operations from a remote location; to remotely control"
委员 "committee member"
委屈 "to feel wronged; to cause sb to feel wronged; grievance"
晃 "to dazzle; to flash past"
晃动 "to sway; to rock"
一晃 "(of passing time) in an instant; (of a sight) in a flash"
奔驰 "benz (name); mercedes-benz, german car maker; to run quickly; to speed; to gallop"
直奔 "to go straight to; to make a beeline for"
倾斜 "to incline; to lean; to slant; to slope; to tilt"
斜坡 "slope; incline"
