旗帜 "ensign; flag"
旗下 "under the banner of"
榜样 "example; model"
榜首 "top of the list"
标榜 "to flaunt; to advertise; to parade; boost; excessive praise"
野兽 "beast; wild animal"
怪兽 "rare animal; mythical animal; monster"
禽兽 "birds and animals; creature; beast (brutal person)"
兽医 "veterinarian; veterinary surgeon; vet"
忧伤 "distressed; laden with grief"
担忧 "to worry; to be concerned"
缠 "to wind around; to wrap round; to coil; tangle; to involve; to bother; to annoy"
纠缠 "to be in a tangle; to nag"
缠绵 "touching (emotions); lingering (illness)"
翡翠 "jadeite; tree kingfisher"
喘 "to gasp; to pant; asthma"
喘息 "to gasp for breath; to take a breather"
喘气 "to breathe deeply; to pant; to gasp; to take a breather; to catch one's breath"
哮喘 asthma
总裁 "chairman; director-general (of a company etc)"
裁判 "judgment; to referee; umpire; judge; referee"
独裁 dictatorship
制裁 "to punish; punishment; sanctions (incl. economic)"
娇小 "petite; delicate; dainty"
赌场 casino
打赌 "to bet; to make a bet; a wager"
赌气 "to act in a fit of pique; to get in a huff; to be peeved"
英镑 "pound sterling"
胆 "gall bladder; courage; guts; gall; inner container (e.g. bladder of a football, inner container of a thermos)"
大胆 "brazen; audacious; outrageous; bold; daring; fearless"
胆子 "courage; nerve; guts"
胆小 "cowardice; timid"
胆怯 "timidity; timid; cowardly"
淡漠 "apathetic; indifferent; unsympathetic"
大漠 desert
钦佩 "to admire; to look up to; to respect sb greatly"
佩戴 "to wear (as accessories)"
伞 "umbrella; parasol; damask silk"
雨伞 umbrella
叙事 narrative
模拟 "imitation; to simulate; to imitate; analog (device, as opposed to digital)"
拟定 "to draw up; to draft; to formulate"
比拟 "to compare; to draw a parallel; to match; analogy; metaphor; comparison"
隐隐 "faint; indistinct"
隐约 "vague; faint; indistinct"
糟糕 "too bad; how terrible; what bad luck; terrible; bad"
雪糕 "ice cream bar; ice cream popsicle"
糕点 "cakes; pastries"
喔 "i see; oh"
烟雾 "smoke; mist; vapor; smog; fumes"
云雾 "clouds and mist"
雾气 "fog; mist; vapor"
摧毁 "to destroy; to wreck"
毁掉 "to destroy"
