彩虹 rainbow
长虹 "changhong (brand)"
狐狸 "fox; fig. sly and treacherous person"
令狐 "two-character surname linghu"
狐疑 "to doubt; to suspect"
舔 "to lick; to lap"
英俊 handsome
葡 "portugal; portuguese"
葡萄 grape
嫉妒 "to be jealous of; to envy"
揣 "to put into (one's pockets, clothes)"
揣摩 "to analyze; to try to figure out; to try to fathom"
比喻 "to compare; to liken to; metaphor; analogy; figure of speech; figuratively"
轨道 "track (for trains etc); orbit (of a satellite); (fig.) a person's established path in life; desired trajectory (of a business or other endeavor); (audio engineering) track; (quantum mechanics) orbital"
轨迹 "locus; orbit; trajectory; track"
接轨 "railtrack connection; to integrate into sth; to dock; to connect; to be in step with; to bring into line with; to align"
铁轨 "rail; railroad track"
漆黑 pitch-black
油漆 "oil paints; lacquer; to paint"
新颖 "lit. new bud; fig. new and original"
搓 "to rub or roll between the hands or fingers; to twist"
捞 "to fish up; to dredge up"
好歹 "good and bad; most unfortunate occurrence; in any case; whatever"
面膜 "facial mask; cleanser; face pack; facial (treatment)"
肖像 "portrait (painting, photo etc); (in a general sense) representation of a person; likeness"
生肖 "animal from the chinese zodiac"
天赋 "gift; innate skill"
愚蠢 "silly; stupid"
愚昧 "ignorant; uneducated; ignorance"
蠢 "stupid; stupid; sluggish; clumsy; to wiggle (of worms); to move in a disorderly fashion"
蕾 bud
钞票 "paper money; a bill (e.g. 100 yuan)"
快捷 "quick; fast; nimble; agile; (computer) shortcut"
便捷 "convenient and fast"
死刑 "death penalty; capital punishment"
判刑 "to sentence (to prison etc)"
辩论 "debate; argument; to argue over"
辩护 "to speak in defense of; to argue in favor of; to defend; to plead"
辩解 "to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself"
答辩 "to reply (to an accusation); to defend one's dissertation"
楞 "square beam; edge; arris (curve formed by two surfaces meeting at an edge)"
侮辱 "to insult; to humiliate; dishonor"
耻辱 "disgrace; shame; humiliation"
羞辱 "to humiliate; to shame; humiliation; indignity"
华侨 "overseas chinese; (in a restricted sense) chinese emigrant who still retains chinese nationality"
晋升 "to promote to a higher position"
隐瞒 "to conceal; to hide (a taboo subject); to cover up the truth"
蚊子 mosquito
蚊帐 "mosquito net"
贪婪 "avaricious; greedy; rapacious; insatiable; avid"
贪官 "corrupt official; grasping functionary; greedy mandarin"
贪心 greedy
撕裂 "to rip apart; to tear; laceration; rent"
金陵 "pre-han name for nanjing; common place name"
山脉 "mountain range"
脉搏 "pulse (both medical and figurative)"
血脉 "blood vessels"
桂花 "osmanthus flowers; osmanthus fragrans"
演绎 "(of a story etc) to unfold; to play out; to develop (a technique etc); to enact; (logic) to deduce; to infer"
郊区 "suburban district; outskirts; suburbs"
郊外 outskirts
樱花 "oriental cherry (prunus serrulata or prunus yedoensis), prized for its blossom"
瀑布 waterfall
昂 "to lift; to raise; to raise one's head; high; high spirits; soaring; expensive"
昂贵 "expensive; costly"
高昂 "to hold (one's head) high; expensive; high (spirits etc)"
激昂 "impassioned; worked up"
讽 "to satirize; to mock; to recite"
讥讽 "to satirize; to ridicule; to mock"
攒 "to collect; to hoard; to accumulate; to save"
积攒 "to save bit by bit; to accumulate"
话筒 "microphone; (telephone) receiver; handset"
听筒 "telephone receiver; headphone; earphone; earpiece; stethoscope"
反馈 "to send back information; feedback"
笼子 "cage; basket; container"
伪装 "to pretend to be (asleep etc); to disguise oneself as; pretense; disguise; (military) to camouflage; camouflage"
伪造 "to forge; to fake; to counterfeit"
真伪 "true or bogus; authenticity"
窜 "to flee; to scuttle; to exile or banish; to amend or edit"
柴 "firewood; lean (of meat); thin (of a person)"
火柴 "match (for lighting fire)"
柴油 "diesel fuel"
昌 "prosperous; flourishing"
南昌 "also nanchang county"
昌平 "changping district of beijing, formerly changping county"
徘徊 "to dither; to hesitate; to pace back and forth; by ext. to hover around; to linger"
菊花 "chrysanthemum; (slang) anus"
巩 "secure; solid"
骚 "trouble; disturbance; rumpus; flirty; coquettish; literary writings; smell of urine; foul smell; male (animal) (dialect)"
骚动 "disturbance; uproar; to become restless"
骚乱 "disturbance; riot; to create a disturbance"
牢骚 "discontent; complaint; to complain"
兑换 "to convert; to exchange"
兑现 "(of a check etc) to cash; to honor a commitment"
孝敬 "to show filial respect; to give presents (to one's elders or superiors); to support one's aged parents"
背诵 "to recite; to repeat from memory"
广阔 "wide; vast"
开阔 "wide; open (spaces); to open up"
辽阔 "vast; extensive"
蹭 "to rub against; to walk slowly; (coll.) to freeload"
颁发 "to issue; to promulgate; to award"
颁奖 "to confer an award"
颁布 "to issue; to proclaim; to enact (laws, decrees etc)"
唾沫 "spittle; saliva"
譬如 "for example; for instance; such as"
谴责 "to denounce; to condemn; to criticize; condemnation; criticism"
