shang4si5 上司
jian4 见
jian4dao4 见到
jian4mian4 见面
zhi3jian4 只见
zai4jian4 再见
zhang1 张
jin3zhang1 紧张
zhu3zhang1 主张
kua1zhang1 夸张
zhang1kai1 张开
qie3 且
kuang4qie3 况且
zan4qie3 暂且
bian4 便
bian4yi2 便宜
fang1bian4 方便
sui2bian4 随便
bian4shi4 便是
xu1 需
xu1qiu2 需求
wu2xu1 无需
bi4xu1 必需
peng2 朋
peng2you5 朋友
qin1peng2 亲朋
wang3you3 网友
nü3you3 女友
hao3you3 好友
ji2 及
ji2shi2 及时
ji2qi2 及其
she4ji2 涉及
wan4 万
qian1wan4 千万
wan4yi1 万一
bai3wan4 百万
wan4fen1 万分
fen1 分
fen1zhong1 分钟
shi2fen1 十分
bu4fen5 部分
fen1xi1 分析
che1 车
qi4che1 汽车
huo3che1 火车
chu1zu1che1 出租车
zi4xing2che1 自行车
zhan3 展
kai1zhan3 开展
zhan3kai1 展开
zhan3shi4 展示
shou3 手
shou3ji1 手机
shuang1shou3 双手
shou3duan4 手段
shou3zhi3 手指
gao4 告
gao4su5 告诉
guang3gao4 广告
bao4gao4 报告
gao4bie2 告别
su4 诉
tou2su4 投诉
qi3su4 起诉
su4song4 诉讼
ren4 认
ren4shi5 认识
cheng2ren4 承认
shu1 书
du2shu1 读书
shu1ji5 书记
tu2shu1guan3 图书馆
shu1dian4 书店
dian4 电
dian4ying3 电影
dian4shi4 电视
dian4nao3 电脑
xiao4yuan2 校园
gao1xiao4 高校
lao3 老
lao3shi1 老师
lao3ban3 老板
lao3gong5 老公
lao3bai3xing4 老百姓
shi1 师
jiao4shi1 教师
shi1fu5 师傅
da4shi1 大师
xi2 习
xi2guan4 习惯
lian4xi2 练习
fu4xi2 复习
sui1 虽
sui1shuo1 虽说
sui1ze2 虽则
na2 拿
na2chu1 拿出
na2qi3 拿起
na2lai2 拿来
na2zou3 拿走
qing2 情
qing2kuang4 情况
xin1qing2 心情
kuang4 况
zhuang4kuang4 状况
he2kuang4 何况
zhan4 站
wang3zhan4 网站
che1zhan4 车站
zhan4dian3 站点
zhan4tai2 站台
she4 社
she4qu1 社区
she4hui4zhu3yi4 社会主义
bao4she4 报社
jiao4wei2 较为
ji4jiao4 计较
jiao4liang4 较量
wang3 网
wang3luo4 网络
wang3shang4 网上
xian1 先
shou3xian1 首先
xian1jin4 先进
xian1hou4 先后
ju4 句
ju4zi5 句子
yu3ju4 语句
shi1ju4 诗句
xi1wang4 希望
xi1la4 希腊
xi1er3 希尔
xi1qi2 希奇
wang4 望
shi1wang4 失望
ke3wang4 渴望
yuan4wang4 愿望
nei4 内
nei4rong2 内容
guo2nei4 国内
nei4xin1 内心
nei4bu4 内部
ruan3jian4 软件
wen2jian4 文件
gan3 感
gan3qing2 感情
gan3shou4 感受
ji4 记
ji4zhe3 记者
ji4yi4 记忆
ji4lu4 记录
zhe3 者
du2zhe3 读者
nü3 女
nü3sheng1 女生
wu2 无
wu2fa3 无法
wu2lun4 无论
wu2shu4 无数
wu2nai4 无奈
wu3 五
wu3shi2 五十
shi2wu3 十五
wu3yue4 五月
hao4 号
hao4ma3 号码
xin4hao4 信号
kou3hao4 口号
fu2hao4 符号
que4shi2 确实
shi2xian4 实现
xian4shi2 现实
xin1li3 心理
lian2 连
lian2xu4 连续
lian2jie1 连接
lian2mang2 连忙
lian2zai3 连载
ze2 则
fou3ze2 否则
yuan2ze2 原则
gui1ze2 规则
zhun3ze2 准则
sheng1yin1 声音
da4sheng1 大声
sheng1ming2 声明
ling2sheng1 铃声
tou2 头
tou2fa5 头发
hui2tou2 回头
shi2tou5 石头
dian3tou2 点头
zheng4 正
zheng4shi4 正是
zhu4 住
bu4zhu4 不住
zhua1zhu4 抓住
ren3bu5zhu4 忍不住
ji4zhu5 记住
mei3nian2 每年
ci3 此
yin1ci3 因此
ci3shi2 此时
shui3 水
shui3ping2 水平
lei4shui3 泪水
shui3guo3 水果
shui3ni2 水泥
lu4 路
lu4shang5 路上
dao4lu4 道路
yi1lu4 一路
ma3lu4 马路
tong2 同
bu4tong2 不同
tong2yang4 同样
hui2 回
hui2fu4 回复
hui2da2 回答
jiang3 讲
jiang3hua4 讲话
lai2jiang3 来讲
yan3jiang3 演讲
jiang3shu4 讲述
jiao4yu4 教育
jiao1xue2 教学
jiao4shou4 教授
yu4 育
ti3yu4 体育
fa1yu4 发育
pei2yu4 培育
si3 死
si3wang2 死亡
da3si3 打死
si3qu4 死去
si3zhe3 死者
a1 阿
a1yi2 阿姨
a1li3 阿里
a1la1 阿拉
a1lun2 阿伦
wen2zi4 文字
shu4zi4 数字
han4zi4 汉字
wen2 文
wen2hua4 文化
wen2zhang1 文章
wen2xue2 文学
bian4hua4 变化
hua4xue2 化学
zhuan3hua4 转化
te4 特
te4bie2 特别
te4shu1 特殊
te4se4 特色
bie2 别
fen1bie2 分别
fang4 放
fang4qi4 放弃
kai1fang4 开放
fang4xin1 放心
fang4xia4 放下
kuai4 块
ban3kuai4 板块
shi2kuai4 石块
mo2kuai4 模块
bing1kuai4 冰块
kuai4le4 快乐
kuai4su4 快速
yu2kuai4 愉快
jin3kuai4 尽快
qiu2 求
zhui1qiu2 追求
hua1 花
hua1yuan2 花园
hua1qian2 花钱
xian1hua1 鲜花
mian2hua5 棉花
la1 拉
la1la1 拉拉
la1ding1 拉丁
la1mian4 拉面
men2 门
bu4men2 部门
men2kou3 门口
zhuan1men2 专门
chu1men2 出门
ma1 妈
ma1ma5 妈妈
lao3ma1 老妈
ba4ma1 爸妈
da4ma1 大妈
quan2 全
wan2quan2 完全
quan2guo2 全国
an1quan2 安全
quan2bu4 全部
xu3 许
yun3xu3 允许
lou2 楼
lou2xia4 楼下
lou2shang4 楼上
da4lou2 大楼
lou2ti1 楼梯
zhong4 重
yan2zhong4 严重
tong1 通
jiao1tong1 交通
pu3tong1 普通
tong1zhi1 通知
shi4chang3 市场
cheng2shi4 城市
shi4min2 市民
shang4shi4 上市
chang3 场
guang3chang3 广场
xian4chang3 现场
ji1chang3 机场
wan3 晚
wan3fan4 晚饭
ye4wan3 夜晚
jin1wan3 今晚
ying1yu3 英语
ying1guo2 英国
ying1wen2 英文
ying1xiong2 英雄
yu3yan2 语言
han4yu3 汉语
yu3wen2 语文
qie4 切
yi1qie4 一切
qin1qie4 亲切
que4qie4 确切
qie4shi2 切实
zhu3 主
zhu3yao4 主要
zhu3chi2ren2 主持人
zhu3ren4 主任
ji3nan2 济南
jiu4ji4 救济
bu4ji4 不济
yan2 研
yan2jiu1 研究
yan2jiu1sheng1 研究生
ke1yan2 科研
yan2fa1 研发
jiu1 究
jiu1jing4 究竟
jiang3jiu5 讲究
guan1 关
guan1xi5 关系
you3guan1 有关
guan1yu2 关于
xiang1guan1 相关
xi4 系
lian2xi4 联系
xi4tong3 系统
xi4lie4 系列
luo2si1 罗斯
ni2si1 尼斯
bo1si1 波斯
si1wen2 斯文
wai4 外
ling4wai4 另外
guo2wai4 国外
wai4guo2 外国
zhi1wai4 之外
ren4he2 任何
wei4he2 为何
duan4 段
jie1duan4 阶段
duan4luo4 段落
di4duan4 地段
ban1 般
yi1ban1 一般
zhe4ban1 这般
bai3ban1 百般
bo1re3 般若
ping2 评
ping2lun4 评论
ping2jia4 评价
pi1ping2 批评
ping2gu1 评估
lun4 论
lun4tan2 论坛
tao3lun4 讨论
ze2ren4 责任
ren4wu5 任务
qi3ye4 企业
qi3tu2 企图
guo2qi3 国企
wai4qi3 外企
ye4 业
zhuan1ye4 专业
bi4ye4 毕业
hang2ye4 行业
mian4 面
hou4mian5 后面
ying3 影
