gai3 改
gai3ge2 改革
xiu1gai3 修改
gai3shan4 改善
guan4 惯
guan4li4 惯例
guan4xing4 惯性
guan4yong4 惯用
ma5 嘛
gan4ma2 干嘛
chuan2 传
xuan1chuan2 宣传
chuan2lai2 传来
chuan2bo1 传播
di3 底
dao4di3 到底
che4di3 彻底
di3xia5 底下
nian2di3 年底
li4yi4 利益
quan2li4 权利
shun4li4 顺利
ke1 科
ke1xue2 科学
ben3ke1 本科
xue2ke1 学科
he2zuo4 合作
shi4he2 适合
jie2he2 结合
zong1he2 综合
zeng1 增
zeng1qiang2 增强
xin1zeng1 新增
cun1 村
nong2cun1 农村
cun1min2 村民
cun1li3 村里
xiang1cun1 乡村
nian2ji2 年级
gao1ji2 高级
chao1ji2 超级
deng3ji2 等级
di4ban3 地板
hei1ban3 黑板
mu4ban3 木板
shi4fang4 释放
quan2shi4 诠释
jiao1 交
jiao1liu2 交流
chao2 朝
chao2zhe5 朝着
chao2ting2 朝廷
chao2yang2 朝阳
gou4zhu4 构筑
xiu1zhu4 修筑
jie3xi1 解析
pou1xi1 剖析
bian4xi1 辨析
shou1 收
shou1dao4 收到
shou1fei4 收费
shou1cang2 收藏
xia4yu3 下雨
feng1yu3 风雨
xiao3yu3 小雨
da4yu3 大雨
pu3bian4 普遍
bian4di4 遍地
bian4bu4 遍布
chuan2bian4 传遍
hua2li4 华丽
ma3li4 玛丽
li4jiang1 丽江
qian1 千
qian1jin1 千金
qian1gu3 千古
bu4jin3 不仅
jin3jin3 仅仅
sai4 赛
da4sai4 大赛
lian2sai4 联赛
jing4sai4 竞赛
tou2piao4 投票
wang4ji4 忘记
nan2wang4 难忘
yi2wang4 遗忘
zhu3yi4 主义
yi4wu4 义务
qi2yu2 其余
ye4yu2 业余
duo1yu2 多余
sheng4yu2 剩余
jiao3 脚
jiao3xia4 脚下
shou3jiao3 手脚
shuang1jiao3 双脚
li4ke4 立刻
cheng2li4 成立
cheng2ji4 成绩
ye4ji4 业绩
ji4xiao4 绩效
zheng4ji4 政绩
pang2 旁
yi1pang2 一旁
pang2ren2 旁人
diao4yu2 钓鱼
yu2lin2 鱼鳞
jin1yu2 金鱼
e4yu2 鳄鱼
zhen4 阵
zhen4di4 阵地
zhen4rong2 阵容
zhen4ying2 阵营
shang4zhen4 上阵
nan2fang1 南方
jiang1nan2 江南
mou3 某
mou3xie1 某些
mou3ren2 某人
mou3mou3 某某
man3 满
chong1man3 充满
man3zu2 满足
man3yi4 满意
bu4man3 不满
you2wei2 尤为
you2wu4 尤物
tao3 讨
tao3yan4 讨厌
tan4tao3 探讨
jian3tao3 检讨
yi4wan4 亿万
wan4yi4 万亿
shi2yi4 十亿
qian1yi4 千亿
cha4 差
cha4bu5duo1 差不多
cha4dian3 差点
cha1yi4 差异
cha1bie2 差别
leng3jing4 冷静
ning2jing4 宁静
man4 慢
man4man4 慢慢
huan3man4 缓慢
ao4man4 傲慢
fang4man4 放慢
ke3wei4 可谓
cheng1wei4 称谓
wei4yu3 谓语
bian4ge2 变革
ge2xin1 革新
zhou1 周
zhou1wei2 周围
zhou1mo4 周末
zhou1nian2 周年
zhuang1 装
an1zhuang1 安装
