jiu4qin3 就寝
gan3mao4 感冒
mao4chong1 冒充
jia3mao4 假冒
qian3 浅
fu1qian3 肤浅
shen1qian3 深浅
qian3se4 浅色
qi3dong4 启动
qi3fa1 启发
qi3shi4 启示
kai1qi3 开启
xian2 闲
you1xian2 悠闲
xian2hua4 闲话
fen4nu4 愤怒
qi4fen4 气愤
bei1fen4 悲愤
fen4kai3 愤慨
nu4 怒
nu4huo3 怒火
da4nu4 大怒
nao3nu4 恼怒
man2 蛮
man2heng4 蛮横
xian4mu4 羡慕
yan4xian4 艳羡
mu4rong2 慕容
ai4mu4 爱慕
yang3mu4 仰慕
pin4 聘
pin4qing3 聘请
ying4pin4 应聘
cheng2pin4 诚聘
zhu1duo1 诸多
zhu1ru2 诸如
zhu1wei4 诸位
zhu1hou2 诸侯
xian1yan4 鲜艳
yan4li4 艳丽
mei3yan4 美艳
yao1yan4 妖艳
ba4le5 罢了
ba4gong1 罢工
zuo4ba4 作罢
ge1bo5 胳膊
ge1bei5 胳臂
chi4bo2 赤膊
guo4sheng4 过剩
sheng4fan4 剩饭
sheng4cai4 剩菜
xian2yi2 嫌疑
xian2qi4 嫌弃
xian2fan4 嫌犯
hu2tong4 胡同
hu2zi5 胡子
hu2shuo1 胡说
shi1ti3 尸体
jiang1shi1 僵尸
si3shi1 死尸
shi1gu3 尸骨
lei2 雷
ge2lei2 格雷
lei2ming2 雷鸣
lei2yu3 雷雨
hua2 滑
hua2xue3 滑雪
xia4hua2 下滑
hua2luo4 滑落
hua2xing2 滑行
pin1 拼
pin1ming4 拼命
pin1yin1 拼音
pin1bo2 拼搏
pin1xie3 拼写
sa1 撒
sa1huang3 撒谎
sa1jiao1 撒娇
sa1niao4 撒尿
sa1shou3 撒手
yu3zhou4 宇宙
miao4yu3 庙宇
lou2yu3 楼宇
mei2yu3 眉宇
chong2bai4 崇拜
bai4fang3 拜访
sun1 孙
sun1zi5 孙子
zi3sun1 子孙
er2sun1 儿孙
wai4sun1 外孙
xia2gu3 峡谷
shan1gu3 山谷
gui1gu3 硅谷
ji2chi2 疾驰
wan2ji2 顽疾
ji2ku3 疾苦
deng4 瞪
deng4yan3 瞪眼
shu1ji2 书籍
wai4ji2 外籍
guo2ji2 国籍
hu4ji2 户籍
hui1se4 灰色
hui1chen2 灰尘
hui1an4 灰暗
gu3hui1 骨灰
chao2shi1 潮湿
shi1tou4 湿透
feng1shi1 风湿
hun2shen1 浑身
hun2zhuo2 浑浊
hun2hou4 浑厚
hun2yuan2 浑圆
ping2heng2 平衡
jun1heng2 均衡
kang4heng2 抗衡
quan2heng2 权衡
can2ku4 残酷
ku4xing2 酷刑
leng3ku4 冷酷
ku4ai4 酷爱
cu1 粗
cu1cao1 粗糙
cu1bao4 粗暴
cu1su2 粗俗
cu1zhuang4 粗壮
qian4 欠
qian4que1 欠缺
qian4kuan3 欠款
ben4 笨
ben4dan4 笨蛋
ben4zhuo1 笨拙
ben4zhong4 笨重
yu2ben4 愚笨
men2ling2 门铃
ling2dang5 铃铛
ya3ling2 哑铃
ri4qu1 日趋
qu1xiang4 趋向
qu1yu2 趋于
wu1ya1 乌鸦
wu1gui1 乌龟
wu1hei1 乌黑
nai4xin1 耐心
ren3nai4 忍耐
nai4li4 耐力
nai4xing4 耐性
jiao1ao4 骄傲
jiao1yang2 骄阳
jiao1ren2 骄人
jiao1heng4 骄横
gao1ao4 高傲
ao4qi4 傲气
chun2 纯
chun2cui4 纯粹
chun2jie2 纯洁
chun2zhen1 纯真
fei2 肥
fei2zao4 肥皂
hua4fei2 化肥
biao3yang2 表扬
fei1yang2 飞扬
zhang1yang2 张扬
yang2zhou1 扬州
da4yang2 大洋
yang2ren2 洋人
xiong1 胸
xiong1qian2 胸前
xiong1kou3 胸口
xiong1bu4 胸部
xiong1tang2 胸膛
qu3qi1 娶妻
ying2qu3 迎娶
qu3qin1 娶亲
xin4yang3 信仰
yang3wang4 仰望
yang3tou2 仰头
piao1 飘
piao1piao1 飘飘
piao1yang2 飘扬
piao1yi4 飘逸
piao1dang4 飘荡
kao3rou4 烤肉
kao3ya1 烤鸭
kao3ji1 烤鸡
jian1nan2 艰难
jian1ju4 艰巨
ding4dan1 订单
yu4ding4 预订
fen1fang1 芬芳
fang1xiang1 芳香
ya3fang1 雅芳
dang3zhu4 挡住
zu3dang3 阻挡
di3dang3 抵挡
zhe1dang3 遮挡
xian4ru4 陷入
xian4jing3 陷阱
xian4hai4 陷害
juan1 涓
juan1juan1 涓涓
zao3tang2 澡堂
zao3pen2 澡盆
yi2shi4 仪式
li3yi2 礼仪
yi2biao3 仪表
zhuan3wan1 转弯
