she4jian4 射箭
fang2yu4 防御
di3yu4 抵御
yu4shi3 御史
yu4han2 御寒
ru3 乳
ru3fang2 乳房
ru3tou2 乳头
mu3ru3 母乳
ru3pin3 乳品
ge1er3 戈尔
ge1bi4 戈壁
gan1ge1 干戈
ye4ti3 液体
ye4jing1 液晶
chi4 翅
yu2chi4 鱼翅
zhan3chi4 展翅
chen2tu3 尘土
hong2chen2 红尘
ji3liang5 脊梁
jiu4jiu5 舅舅
jiu4ma1 舅妈
jiu4fu4 舅父
jiu4mu3 舅母
pi2bei4 疲惫
pi2juan4 疲倦
pi2fa2 疲乏
chi1bao3 吃饱
bao3man3 饱满
bao3shou4 饱受
wen1bao3 温饱
xuan2ya2 悬崖
xuan2nian4 悬念
xuan2shang3 悬赏
shui3jing1 水晶
jie2jing1 结晶
fan2hua2 繁华
fan2mang2 繁忙
shui3hu2 水壶
cha2hu2 茶壶
jiu3hu2 酒壶
nuan3hu2 暖壶
huang1 慌
kong3huang1 恐慌
huang1mang2 慌忙
jing1huang1 惊慌
jiang4you2 酱油
guo3jiang4 果酱
jiang4zi3 酱紫
zhuo2 琢
diao1zhuo2 雕琢
xin4feng4 信奉
gong4feng4 供奉
feng4ming4 奉命
gua1zi3 瓜子
mu4gua1 木瓜
ku3gua1 苦瓜
jie2zhi3 截止
jie2zhi4 截至
ban4jie2 半截
lan2jie2 拦截
zhuang4guan1 壮观
qiang2zhuang4 强壮
zhuang4da4 壮大
bei1zhuang4 悲壮
zhi1ma5 芝麻
ling2zhi1 灵芝
lin2zhi1 林芝
pen1 喷
pen1quan2 喷泉
pen1chu1 喷出
pen1she4 喷射
pen1ti4 喷嚏
chi4luo3 赤裸
chi4zi4 赤字
chi4jiao3 赤脚
chi4dao4 赤道
yan4zi5 燕子
yan1jing1 燕京
yan1shan1 燕山
zao1ta4 糟蹋
zao1po4 糟粕
chou3jian4 瞅见
duo2 夺
bo1duo2 剥夺
zheng1duo2 争夺
duo2de2 夺得
duo2qu3 夺取
hai1 咳
ke2sou5 咳嗽
zhi3ke2 止咳
ci4yu3 赐予
en1ci4 恩赐
shang3ci4 赏赐
tian1ci4 天赐
zheng4quan4 证券
zhai4quan4 债券
quan4shang1 券商
yu2lun4 舆论
shua3 耍
wan2shua3 玩耍
shua3lai4 耍赖
za2shua3 杂耍
xi4shua3 戏耍
shui3tang2 水塘
yu2tang2 鱼塘
guai1 乖
guai1guai1 乖乖
guai1qiao3 乖巧
mai4guai1 卖乖
wu2gu1 无辜
gu1fu4 辜负
qi3fu2 起伏
