cuo1 搓
lao1 捞
da3lao1 打捞
bu3lao1 捕捞
lao1qian2 捞钱
hao3dai3 好歹
mian4mo2 面膜
er3mo2 耳膜
ge2mo2 隔膜
mo2bai4 膜拜
xiao4xiang4 肖像
sheng1xiao4 生肖
bu4xiao4 不肖
xiao1en1 肖恩
tian1fu4 天赋
fu4shui4 赋税
fu4shi1 赋诗
yu2chun3 愚蠢
yu2mei4 愚昧
yu2nong4 愚弄
yu2min2 愚民
chun3 蠢
chun3shi4 蠢事
chun3huo4 蠢货
lei3 蕾
hua1lei3 花蕾
bei4lei3 蓓蕾
chao1piao4 钞票
jia3chao1 假钞
kuai4jie2 快捷
bian4jie2 便捷
ti3xu4 体恤
si3xing2 死刑
pan4xing2 判刑
bian4lun4 辩论
bian4hu4 辩护
bian4jie3 辩解
da2bian4 答辩
leng2 楞
wu3ru3 侮辱
chi3ru3 耻辱
xiu1ru3 羞辱
hua2qiao2 华侨
qiao2min2 侨民
jin4sheng1 晋升
jin4ji2 晋级
yin3man2 隐瞒
wen2zi5 蚊子
wen2zhang4 蚊帐
wen2chong2 蚊虫
wen2xiang1 蚊香
tan1lan2 贪婪
tan1guan1 贪官
tan1xin1 贪心
ge1zhi1 咯吱
si1lie4 撕裂
si1diao4 撕掉
si1po4 撕破
si1sui4 撕碎
jin1ling2 金陵
qiu1ling2 丘陵
ling2mu4 陵墓
ling2yuan2 陵园
shan1mai4 山脉
mai4bo2 脉搏
xue4mai4 血脉
gui4hua1 桂花
yue4gui4 月桂
yan3yi4 演绎
jiao1qu1 郊区
jiao1wai4 郊外
shi4jiao1 市郊
jiao1you2 郊游
ying1hua1 樱花
pu4bu4 瀑布
fei1pu4 飞瀑
ang2 昂
ang2gui4 昂贵
gao1ang2 高昂
ji1ang2 激昂
ang2shou3 昂首
feng3 讽
ji1feng3 讥讽
fan3feng3 反讽
zan3 攒
ji1zan3 积攒
hua4tong3 话筒
ting1tong3 听筒
dian4tong3 电筒
zhu2tong3 竹筒
fan3kui4 反馈
hui2kui4 回馈
tao3fa2 讨伐
fa2mu4 伐木
long2zi5 笼子
long3tong3 笼统
wei3zhuang1 伪装
wei3zao4 伪造
zhen1wei3 真伪
cuan4 窜
tao2cuan4 逃窜
liu2cuan4 流窜
chai2 柴
huo3chai2 火柴
chai2you2 柴油
chai2huo5 柴火
mu4chai2 木柴
chang1 昌
nan2chang1 南昌
chang1ping2 昌平
yi2chang1 宜昌
wen2chang1 文昌
pai2huai2 徘徊
bian4gua4 变卦
ju2hua1 菊花
dan4gong1 弹弓
jian3qi3 拣起
gong3 巩
sao1 骚
sao1dong4 骚动
sao1luan4 骚乱
lao2sao1 牢骚
dui4huan4 兑换
dui4xian4 兑现
hui4dui4 汇兑
ji3dui4 挤兑
xiao4jing4 孝敬
xiao4zi3 孝子
xiao4xin1 孝心
bei4song4 背诵
song4du2 诵读
song4jing1 诵经
guang3kuo4 广阔
kai1kuo4 开阔
liao2kuo4 辽阔
ceng4 蹭
mo2ceng5 磨蹭
shang4gou1 上钩
gou1zi5 钩子
yu2gou1 鱼钩
ban1fa1 颁发
ban1jiang3 颁奖
ban1bu4 颁布
tuo4mo5 唾沫
bai2mo4 白沫
tu4mo5 吐沫
pi4ru2 譬如
qian3ze2 谴责
qing1jiao1 青椒
hua1jiao1 花椒
hu2jiao1 胡椒
juan4 倦
kun4juan4 困倦
juan4dai4 倦怠
e4yun4 厄运
jing1hong2 惊鸿
jing1cha4 惊诧
lin2li2 淋漓
lin2shi1 淋湿
lin2yu3 淋雨
hong1dong4 轰动
hong1ran2 轰然
zhong1shi2 忠实
zhong1gao4 忠告
you4zhi4 幼稚
you4er2 幼儿
you4nian2 幼年
you4xiao3 幼小
zhi4qi4 稚气
duo4 堕
duo4luo4 堕落
qi3gai4 乞丐
qi3tao3 乞讨
qi3qiu2 乞求
qi3er2 乞儿
gai4bang1 丐帮
yan4hui4 宴会
wan3yan4 晚宴
yan4qing3 宴请
yan4xi2 宴席
sheng1jiang1 生姜
pan4ni4 叛逆
ni4zhuan3 逆转
ni4xiang4 逆向
ni4jing4 逆境
jin4tou4 浸透
jin4shi1 浸湿
qia1 掐
qia1si3 掐死
ju4xi1 据悉
huo4xi1 获悉
xi1xin1 悉心
qiang2dao4 强盗
dao4qie4 盗窃
hai3dao4 海盗
sui4dao4 隧道
fa1xie4 发泄
xie4lu4 泄露
xuan1xie4 宣泄
chi1cu4 吃醋
tang2cu4 糖醋
cu4yi4 醋意
nie4 涅
yi1shang5 衣裳
you4yi4 右翼
zuo3yi4 左翼
ji1yi4 机翼
zhe1 遮
zhe1zhu4 遮住
zhe1gai4 遮盖
peng2bo2 蓬勃
bo2bo2 勃勃
bo2fa1 勃发
bao4chou5 报酬
ying4chou5 应酬
chou2lao2 酬劳
gao3chou2 稿酬
chan2juan1 婵娟
shen1yin2 呻吟
chen2yin2 沉吟
yin2chang4 吟唱
yin2shi1 吟诗
zhan3duan4 斩断
zhan3shou3 斩首
xi4ni4 细腻
you2ni4 油腻
ni4wei5 腻味
yan1zhi1 焉知
shou4cuo4 受挫
cuo4bai4 挫败
ning3kai1 拧开
ling2ting1 聆听
ci2xiang2 慈祥
xiang2he2 祥和
bu4xiang2 不祥
shuang1xi1 双膝
xi1xia4 膝下
lian2jia4 廉价
di1lian2 低廉
lian2zheng4 廉政
lian2jie2 廉洁
kan3ke3 坎坷
xin1kan3 心坎
kan3jian1 坎肩
zhang4dan1 账单
shen1shi4 绅士
xiang1shen1 乡绅
shu1li3 梳理
shu1zi5 梳子
shu1tou2 梳头
shu1xi3 梳洗
zhui4 坠
zhui4luo4 坠落
zhui4ru4 坠入
zhui4hui3 坠毁
xia4zhui4 下坠
wan3hui2 挽回
wan3jiu4 挽救
wan3liu2 挽留
wan3lian2 挽联
fei4yan2 肺炎
fei4ai2 肺癌
fei4fu3 肺腑
fei4bing4 肺病
gu4zhu3 雇主
gu4yuan2 雇员
gu4yong1 雇佣
gu4yong4 雇用
luo4tuo5 骆驼
tuo2 驼
tuo2bei4 驼背
tuo2feng1 驼峰
bo1xue1 剥削
bo1li2 剥离
bo1luo4 剥落
qiao4 翘
qiao4qi3 翘起
qiao2shou3 翘首
zong4 纵
fang4zong4 放纵
zong4ran2 纵然
shan4chang2 擅长
shan4zi4 擅自
nuo2 挪
nuo2wei1 挪威
nuo2dong4 挪动
nuo2yong4 挪用
nuo2kai1 挪开
da3zhang4 打仗
zhang4yi4 仗义
sheng4zhang4 胜仗
dui4zhang4 对仗
mu4bei1 墓碑
shi2bei1 石碑
kou3bei1 口碑
bei1wen2 碑文
la1shi3 拉屎
zhi3zai4 旨在
zhu3zhi3 主旨
zhi3yi4 旨意
zhuan4xie3 撰写
zhuan4wen2 撰文
bian1zhuan4 编撰
hao4ran2 浩然
hao4han4 浩瀚
hao4da4 浩大
jue2qi3 崛起
tong3po4 捅破
huo3yan4 火焰
yan4huo3 焰火
lie4yan4 烈焰
qi4yan4 气焰
kai1jue2 开掘
jian4die2 间谍
die2bao4 谍报
bo1tao1 波涛
lang4tao1 浪涛
kun3 捆
tun1 吞
tun1shi4 吞噬
tun1mo4 吞没
tun1yan4 吞咽
qin1tun1 侵吞
ga2 嘎
ga1ga1 嘎嘎
ga1zhi1 嘎吱
tuo4zhan3 拓展
kai1tuo4 开拓
tuo4kuan1 拓宽
long3 垄
long3duan4 垄断
zheng1zhao4 征兆
yu4zhao4 预兆
zhao4tou5 兆头
xian1zhao4 先兆
dong4xue2 洞穴
mu4xue2 墓穴
xue2wei4 穴位
xue2dao4 穴道
zai1dao3 栽倒
zai1zang1 栽赃
zai1zhong4 栽种
chuo1 戳
you2chuo1 邮戳
chuo1chuan1 戳穿
wei4jie4 慰藉
lang2ji2 狼藉
ao2xiang2 翱翔
hua2xiang2 滑翔
xiang2shi2 翔实
men2kan3 门槛
xiang1tan2 湘潭
ni2tan2 泥潭
long2tan2 龙潭
tan2shui3 潭水
jiao3ban4 搅拌
liang2ban4 凉拌
tiao4cao2 跳槽
shui3cao2 水槽
you2dang4 游荡
dang4yang4 荡漾
dong4dang4 动荡
hui2dang4 回荡
xi1xi1 嘻嘻
tiao2kan3 调侃
kan3kan3 侃侃
qu1dong4 驱动
qu1che1 驱车
qu1shi3 驱使
xiao1tiao2 萧条
xiao1se4 萧瑟
xiao1suo3 萧索
xiao1ran2 萧然
deng4zi5 凳子
