lüe4guo4 掠过
lüe4duo2 掠夺
jie2lüe4 劫掠
pu3dong1 浦东
huang2pu3 黄浦
sha1che1 刹车
cha4na4 刹那
sha1zhu4 刹住
cha4shi2 刹时
qiao2cui4 憔悴
shuai1lao3 衰老
shuai1tui4 衰退
shuai1luo4 衰落
shuai1ruo4 衰弱
ai4shi4 碍事
chou2bei4 筹备
tong3chou2 统筹
chou2ji2 筹集
chou2jian4 筹建
yuan1 冤
yuan1wang5 冤枉
yuan1jia5 冤家
yuan1an4 冤案
han2yuan1 含冤
pu2ren2 仆人
nü3pu2 女仆
gong1pu2 公仆
nu2pu2 奴仆
ke1tou2 磕头
ci2qi4 瓷器
tang2ci2 搪瓷
guo4yin3 过瘾
shang4yin3 上瘾
du2yin3 毒瘾
yan1yin3 烟瘾
tou1qie4 偷窃
piao1qie4 剽窃
peng2zhang4 膨胀
zhong3zhang4 肿胀
tong1zhang4 通胀
gong1xi3 恭喜
gong1wei5 恭维
gong1jing4 恭敬
qian1gong1 谦恭
zha1zi3 渣滓
zha1zi5 渣子
can2zha1 残渣
ding3sheng4 鼎盛
jie2li4 竭力
shuai1jie2 衰竭
jie2jin4 竭尽
xiang1qian4 镶嵌
qie4yi4 惬意
zuo4ou3 作呕
hu1xiao4 呼啸
hai3xiao4 海啸
zhao1lan3 招揽
bao1lan3 包揽
cheng2lan3 承揽
gong1ting2 宫廷
qing1ting2 清廷
jiao4ting2 教廷
qin1ding4 钦定
qin1zhou1 钦州
ba3bing3 把柄
shou3bing3 手柄
xiao4bing3 笑柄
jue2qiao4 诀窍
kou3jue2 口诀
yao4jue2 要诀
sha1qiu1 沙丘
shan1qiu1 山丘
shang1qiu1 商丘
pai2chi4 排斥
chong1chi4 充斥
xun4chi4 训斥
chi4ze2 斥责
jue2shi4 爵士
gong1jue2 公爵
nan2jue2 男爵
yan2jun4 严峻
leng3jun4 冷峻
xian3jun4 险峻
jiao3na4 缴纳
jiao3fei4 缴费
shang4jiao3 上缴
jiao3huo4 缴获
beng2 甭
cang1zhou1 沧州
kuang4gong1 矿工
kuang4shan1 矿山
kuang4chan3 矿产
qi1mei3 凄美
guan1cai5 棺材
guan1mu4 棺木
shou3zhang4 手杖
mo2zhang4 魔杖
ban4shang3 半晌
shang3wu5 晌午
tun2 屯
bao3you4 保佑
nü3xu5 女婿
fu1xu4 夫婿
bao1fu5 包袱
hong2yang2 弘扬
kui1shi4 窥视
kui1tan4 窥探
tu3rang3 土壤
jie1rang3 接壤
si4zhi1 四肢
zhi1ti3 肢体
yao1zhi1 腰肢
xia4zhi1 下肢
ou1da3 殴打
dou4ou1 斗殴
ji1xu4 积蓄
han2xu4 含蓄
xu4yi4 蓄意
piao3 瞟
re4zhong1 热衷
you2zhong1 由衷
chu1zhong1 初衷
zao4yin1 噪音
zao4sheng1 噪声
gu3zao4 鼓噪
