ye3jin1 冶金
ye3lian4 冶炼
yao1ye3 妖冶
pi2lin2 毗邻
nei3 馁
qi4nei3 气馁
beng4fa1 迸发
di4jiao4 地窖
bing1jiao4 冰窖
jiao3huai2 脚踝
tu3bo1 吐蕃
wei1e2 巍峨
wei1ran2 巍然
yi4ri4 翌日
yi4nian2 翌年
fa4ji4 发髻
si1shu2 私塾
yu2shu4 榆树
qin2cai4 芹菜
ji3zhui1 脊椎
yao1zhui1 腰椎
diao1ling2 凋零
diao1xie4 凋谢
hui4qi4 晦气
hui4an4 晦暗
yin3hui4 隐晦
chan2chan2 潺潺
lian2dao1 镰刀
ying2guang1 荧光
ying2ping2 荧屏
zhuang1zhen1 装帧
jiao1shi2 礁石
nu2bi4 奴婢
bi4nü3 婢女
gao1yang2 羔羊
yang2gao1 羊羔
xian1qin2 先秦
qin2qiang1 秦腔
mang3 莽
mang3zhuang4 莽撞
gao1liang2 高粱
qiu3 糗
jian1mie4 歼灭
weng4 瓮
dian1chi2 滇池
han4jie1 焊接
lin3 凛
lin3lie4 凛冽
du4jin1 镀金
hai3zao3 海藻
ci4wei5 刺猬
peng1peng1 怦怦
duan4zi5 缎子
duan4dai4 缎带
zi4shi4 自恃
chang2yang2 徜徉
rong3 冗
rong3chang2 冗长
yin1yun1 氤氲
diao1pi2 貂皮
zhuo2zhuang4 茁壮
ka1 咖
chui1yan1 炊烟
chui1ju4 炊具
wei2jiao3 围剿
liao2liang4 嘹亮
hai4sao4 害臊
ku4dang1 裤裆
shan1shan1 姗姗
bo2hai3 渤海
zhui1su4 追溯
hui2su4 回溯
su4yuan2 溯源
zhuan4ke4 篆刻
zang4fu3 脏腑
you4er3 诱饵
cha3 衩
ku4cha3 裤衩
cuo2 痤
mo2jie2 摩羯
zhong1shu1 中枢
lei2zhui4 累赘
zhui4shu4 赘述
zhui4rou4 赘肉
dun3 盹
da3dun3 打盹
lin2mo2 临摹
miao2mo2 描摹
ren4shen1 妊娠
yan2xi2 筵席
ci1 疵
bei4lun4 悖论
zha4cai4 榨菜
ya1zha4 压榨
zha4qu3 榨取
jia1suo3 枷锁
yang2zhuang1 佯装
gu3huo4 蛊惑
han1shui4 酣睡
han1chang4 酣畅
tang2se4 搪塞
pin2ji2 贫瘠
bai4ye4 拜谒
meng4yan3 梦魇
shun3 吮
shun3xi1 吮吸
xi1shun3 吸吮
ju1ji1 狙击
xu1yu2 须臾
zuo4yi1 作揖
mi2lan4 糜烂
lei4tai2 擂台
pan2huan2 盘桓
gan3lan3 橄榄
si4ji1 伺机
tiao4zao5 跳蚤
cun3 忖
si1cun3 思忖
jing1yu2 鲸鱼
jing1fan1 经幡
qing3jian3 请柬
bing1lang5 槟榔
bing1cheng2 槟城
lang2tou5 榔头
kui3 傀
kui3lei3 傀儡
qing2su4 情愫
zhi2niu4 执拗
ao4kou3 拗口
tie3qiao1 铁锹
zi4xu3 自诩
shan1lu4 山麓
shang1que4 商榷
hang1 夯
hang1shi2 夯实
jiao4suo1 教唆
li4qing1 沥青
bing4qi4 摒弃
lü2 榈
ji4yu2 鲫鱼
sheng1ge1 笙歌
feng1huo3 烽火
xiao1xiong2 枭雄
nie4ru2 嗫嚅
liu2suan1 硫酸
liu2huang2 硫磺
guan1di3 官邸
fu3di3 府邸
bei1chuang4 悲怆
zhen1bie2 甄别
hui4xing1 彗星
xiao3qu4 小觑
ke4shou3 恪守
fei1e2 飞蛾
ne4 讷
mu4ne4 木讷
kuang2fei4 狂吠
gou3fei4 狗吠
hua1pu3 花圃
miao2pu3 苗圃
xun4fu2 驯服
ma1sa5 摩挲
xiao3qi4 小憩
xiu1qi4 休憩
zan1 簪
