了 "le, liao3" "le huai2 dang4 nong2 zhen1" "⿱乛亅 or ⿱乛㇁" "了 le5 (completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)
为了 wei4le5 for; for the purpose of; in order to
到了 dao4liao3 at last; finally; in the end
了解 liao3jie3 to understand; to realize; to find out; to understand; to realize; to find out
除了 chu2le5 besides; apart from (... also...); in addition to; except (for)" 0
我 wo3 "lu1 xiang1 wo3 fei1 zhuo2" ⿻𠂌戈 "我 wo3 i; me; my
我们 wo3men5 we; us; ourselves; our
我国 wo3guo2 our country; china
自我 zi4wo3 self-; ego (psychology)
我方 wo3fang1 our side; we" 1
一 yi1 "yi1 ma3 cui3 xiong1 yin4"  "一 yi1 one; single; a (article); as soon as; entire; whole; all; throughout
第一 di4yi1 first; number one; primary
一些 yi1xie1 some; a few; a little; (following an adjective) slightly ...er
一样 yi1yang4 same; like; equal to; the same as; just like
一起 yi1qi3 in the same place; together; with; altogether (in total)" 2
在 zai4 "bai2 xia4 shang zai4 fang2" ⿸𠂇⿰丨土 "在 zai4 to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress)
现在 xian4zai4 now; at present; at the moment; modern; current; nowadays
正在 zheng4zai4 just at (that time); right in (that place); right in the middle of (doing sth)
存在 cun2zai4 to exist; to be; existence
在于 zai4yu2 to be in; to lie in; to consist in; to depend on; to rest with" 3
是 shi4 "bei1 mu3 shi4 qu4 zhang3" "⿱日𤴓 or ⿱旦龰" "是 shi4 to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion)
就是 jiu4shi4 exactly; precisely; only; simply; just; even if
不是 bu2shi5 fault; blame
还是 hai2shi5 still (as before); had better; unexpectedly; or
但是 dan4shi4 but; however" 4
他 ta1 "ta1 e1 tan4 han1 qia1" ⿰亻也 "他 ta1 he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); (literary) other
他们 ta1men5 they
其他 qi2ta1 other; (sth or sb) else; the rest
他人 ta1ren2 another; sb else; other people
他乡 ta1xiang1 foreign land; away from one's native place" 5
个 "ge3, ge4" "kuo4 ge3 tiao2 gua4 peng3" ⿱𠆢丨 "个 ge4 (classifier used before a noun that has no specific classifier); (bound form) individual
这个 zhe4ge5 (pronoun) this; (adjective) this
那个 na4ge5 that one; that thing; that (as opposed to this); (used before a verb or adjective for emphasis); (used to humorously or indirectly refer to sth embarrassing, funny etc, or when one can't think of the right word); (euph.) menstruation; sex
个人 ge4ren2 individual; personal; oneself
整个 zheng3ge4 whole; entire; total" 6
你 ni3 "te4 ni3 zou1 chang3 shang4" "⿰亻尔 or ⿰亻尓" "你 ni3 you
你们 ni3men5 you (plural)" 7
和 "he2, he4, hu2, huo2, huo4, huo5" "ka1 liu4 he2 ceng4 xuan4" ⿰禾口 "和 he2 (joining two nouns) and; together with; (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; harmonious
和平 he2ping2 peace; peaceful
和谐 he2xie2 harmonious; harmony; (euphemism) to censor
温和 wen1he2 mild; gentle; moderate
平和 ping2he2 gentle; mild; moderate; placid" 8
不 bu4 "chu4 bu4 guo3 chuan3 cang1" "⿸丆⿰丨丶(GHJKT) or ⿻丆卜(V)" "不 bu4 no; not so; (bound form) not; un-
不是 bu2shi5 fault; blame
不能 bu4neng2 cannot; must not; should not
不会 bu4hui4 improbable; unlikely; will not (act, happen etc); not able; not having learned to do sth; not at all
不过 bu4guo4 only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)" 9
有 you3 "die1 ban4 tian4 you3 zhan1" ⿸𠂇月 "有 you3 to have; there is; (bound form) having; with; -ful; -ed
还有 hai2you3 furthermore; in addition; still; also
只有 zhi3you3 only have ...; there is only ...
所有 suo3you3 all; to have; to possess; to own
有些 you3xie1 some; somewhat" 10
就 jiu4 "wo3 zhuang1 jiu4 kuan1 cou4" ⿰京尤 "就 jiu4 (after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (of food) to go with; with regard to; concerning
