的 de
了 le
我 wo3 "i; me; my"
一 yi1 "one; single; a (article); as soon as; entire; whole; all; throughout"
在 zai4 "to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress)"
是 shi4 "to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion)"
他 ta1 "he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); (literary) other"
个 ge4 "(classifier used before a noun that has no specific classifier); (bound form) individual"
你 ni3 you
和 he2 "(joining two nouns) and; together with; (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; harmonious"
不 bu4 "no; not so; (bound form) not; un-"
是不是 shi4bu4shi4 "is or isn't; yes or no; whether or not"
有的 you3de5 "(there are) some (who are...); some (exist)"
有 you3 "to have; there is; (bound form) having; with; -ful; -ed"
有的是 you3de5shi4
就 jiu4 "(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (of food) to go with; with regard to; concerning"
这 zhe4 "(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this"
也 ye3 "(adverb) also; both ... and ... (before predicates only)"
说 shuo1 "to speak; to talk; to say; to explain; to comment; to scold; to tell off; (bound form) theory; doctrine"
就是说 jiu4shi4shuo1
这就是说 zhe4jiu4shi4shuo1
人 ren2 "person; people"
有人 you3ren2 "someone; people; anyone; there is someone there; occupied (as in restroom)"
个人 ge4ren2 "individual; personal; oneself"
她 ta1 she
着 zhe
着 zhe
有着 you3zhe5 "to have; to possess"
都 dou1 "all; both; entirely; (used for emphasis) even; already; (not) at all"
们 men
你们 ni3men5 "you (plural)"
他们 ta1men5 they
她们 ta1men5 "they; them (for females)"
我们 wo3men5 "we; us; ourselves; our"
人们 ren2men5 people
上 shang4 "(bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above"
年 nian2 "year; grain"
要 yao4 "to want; to need; to ask for; will; shall; about to; need to; should; (bound form) important"
不要 bu4yao4 "must not"
就要 jiu4yao4 "will; shall; to be going to"
要是 yao4shi5 "(coll.) if"
要 yao4 "to want; to need; to ask for; will; shall; about to; need to; should; (bound form) important"
地 de
地上 di4shang5 "on the ground; on the floor"
不对 bu4dui4 "incorrect; wrong; amiss; abnormal; queer"
对 dui4 "right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair"
对 dui4 "right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair"
很 hen3 "(adverb of degree); quite; very; awfully"
到 dao4 "to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough"
看 kan4 "to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try"
看到 kan4dao4 "to see"
看 kan4 "to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try"
去年 qu4nian2 "last year"
去 qu4 "to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation)"
上去 shang4qu5
来 lai2 "to come; (used as a substitute for a more specific verb); for the past (amount of time); (prefix) the coming ...; (between two verbs) in order to; (after a round number) approximately"
来到 lai2dao4 "to come; to arrive"
上来 shang4lai5
看来 kan4lai5 "apparently; it seems that"
到来 dao4lai2 "to arrive; arrival; advent"
中 zhong1 "china; chinese; within; among; in; middle; center; while (doing sth); during; all right"
中年 zhong1nian2 "middle age"
把 ba3 "to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles"
来自 lai2zi4 "to come from (a place); from: (in email header)"
自 zi4 "self; oneself; from; since; naturally; surely"
自我 zi4wo3 "self-; ego (psychology)"
自在 zi4zai5 "comfortable; at ease"
自己 zi4ji3 "oneself; one's own"
还是 hai2shi5 "still (as before); had better; unexpectedly; or"
还有 hai2you3 "furthermore; in addition; still; also"
还 hai2 "still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else"
那 na4 "(specifier) that; the; (pronoun) that (referring to persons, things or situations); then (in that case)"
那 na4 "(specifier) that; the; (pronoun) that (referring to persons, things or situations); then (in that case)"
会 hui4 "can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association"
会 hui4 "can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association"
不大 bu4da4 "not very; not too; not often"
大 da4 "big; large; great; older (than another person); greatly; freely; fully"
大大 da4da5
大人 da4ren5 "adult; grownup; title of respect toward superiors"
大会 da4hui4 "general assembly; general meeting; convention"
大都 da4du1 "for the most part; on the whole; metropolitan"
又 you4 "(once) again; also; both... and...; and yet; (used for emphasis) anyway"
好 hao3 "good; appropriate; proper; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello"
好看 hao3kan4 "good-looking; nice-looking; good (of a movie, book, tv show etc); embarrassed; humiliated"
好 hao3 "good; appropriate; proper; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello"
好人 hao3ren2 "good person; healthy person; person who tries not to offend anyone, even at the expense of principle"
好好 hao3hao3 "well; carefully; nicely; properly"
好 hao3 "good; appropriate; proper; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello"
也好 ye3hao3 "that's fine; may as well; (reduplicated) regardless of whether ... or ..."
看好 kan4hao3 "to regard as having good prospects"
要好 yao4hao3 "to be on good terms; to be close friends; striving for self-improvement"
多 duo1 "many; much; too many; in excess; (after a numeral) ... odd; (bound form) multi-; poly-"
多 duo1 "many; much; too many; in excess; (after a numeral) ... odd; (bound form) multi-; poly-"
好多 hao3duo1 "many; quite a lot; much better"
大多 da4duo1 "for the most part; many; most; the greater part; mostly"
多年 duo1nian2 "many years; for many years; longstanding"
得到 de2dao4 "to get; to obtain; to receive"
得 de
不得不 bu4de2bu4 "have no choice or option but to; cannot but; have to; can't help it; can't avoid"
得 de
不得了 bu4de2liao3
得了 de2le5
为 wei4 "because of; for; to"
为 wei4 "because of; for; to"
为了 wei4le5 "for; for the purpose of; in order to"
与 yu3 "and; to give; together with"
而 er2 "and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast)"
而是 er2shi4 rather
里 li3 "lining; interior; inside; internal; li (surname); neighborhood"
那里 na4li3
这里 zhe4li3 here
两 liang3 "two; both; some; a few"
两 liang3 "two; both; some; a few"
想 xiang3 "to think (about); to think of; to devise; to think (that); to believe (that); to desire; to want (to); to miss (feel wistful about the absence of)"
想到 xiang3dao4 "to think of; to call to mind; to anticipate"
想不到 xiang3bu5dao4
什么 shen2me5 "what?; something; anything"
多么 duo1me5 "how (wonderful etc); what (a great idea etc); however (difficult it may be etc); (in interrogative sentences) how (much etc); to what extent"
那么 na4me5 "like that; in that way; or so; so; so very much; about; in that case"
为什么 wei4shen2me5 "why?; for what reason?"
这么 zhe4me5 "so much; this much; how much?; this way; like this"
要么 yao4me5 "or; either one or the other"
被 bei4 "quilt; to cover (with); (literary) to suffer (a misfortune)"
月 yue4 "moon; month; monthly"
上个月 shang4ge4yue4
从 cong2 "from; through; via; to follow; to obey; to engage in (an activity); never (in negative sentence); assistant; auxiliary; subordinate; related by common paternal grandfather or earlier ancestor"
从来 cong2lai2 "always; at all times; never (if used in negative sentence)"
自从 zi4cong2 "since (a time); ever since"
从而 cong2er2 "thus; thereby"
从中 cong2zhong1 "from within; therefrom"
从不 cong2bu4 never
种 zhong3 "seed; species; kind; type; classifier for types, kinds, sorts"
多种 duo1zhong3 "many kinds of; multiple; diverse; multi-"
种 zhong3 "seed; species; kind; type; classifier for types, kinds, sorts"
种种 zhong3zhong3 "all kinds of"
给 gei3 "to; for; for the benefit of; to give; to allow; to do sth (for sb); (sentence intensifier)"
让 rang4 "to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc)"
不但 bu4dan4 "not only (... but also ...)"
但 dan4 "but; yet; however; still; merely; only; just"
但是 dan4shi4 "but; however"
可是 ke3shi4 "but; however; (used for emphasis) indeed"
可 ke3 "can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very"
可以 ke3yi3 "can; may; possible; able to; not bad; pretty good"
以上 yi3shang4 "that level or higher; that amount or more; the above-mentioned; (used to indicate that one has completed one's remarks) that is all."
以为 yi3wei2
以来 yi3lai2 "since (a previous event)"
得以 de2yi3 "able to; so that sb can; enabling; in order to; finally in a position to; with sth in view"
下 xia4 "down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action"
下 xia4 "down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action"
以下 yi3xia4 "that level or lower; that amount or less; the following"
下来 xia4lai5 "to come down; (completed action marker); (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders)"
下去 xia4qu5
地下 di4xia5
下个月 xia4ge4yue4
上下 shang4xia4 "up and down; top and bottom; old and young; length; about"
时 shi2 "o'clock; time; when; hour; season; period"
不时 bu4shi2 "from time to time; now and then; occasionally; frequently"
时时 shi2shi2 "often; constantly"
时而 shi2er2 "occasionally; from time to time"
一时 yi1shi2 "a period of time; a while; for a short while; temporary; momentary; at the same time"
小 xiao3 "small; tiny; few; young"
小时 xiao3shi2 hour
从小 cong2xiao3 "from childhood; from a young age"
大小 da4xiao3 "dimension; magnitude; size; measurement; large and small; at any rate; adults and children; consideration of seniority"
小说 xiao3shuo1 "novel; fiction"
小 xiao3 "small; tiny; few; young"
地点 di4dian3 "place; site; location; venue"
点 dian3 "point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; dot stroke in chinese characters; classifier for items"
一点点 yi1dian3dian3
后 hou4 "empress; queen; ruler; back; behind; rear; afterwards; after; later; post-"
后来 hou4lai2 "afterwards; later; newly arrived"
以后 yi3hou4 "after; later; afterwards; following; later on; in the future"
后年 hou4nian2 "the year after next"
之后 zhi1hou4 "after; behind; (at the beginning of a sentence) afterwards; since then"
之一 zhi1yi1 "one of (sth); one out of a multitude; one (third, quarter, percent etc)"
之中 zhi1zhong1 "inside; among; in the midst of (doing sth); during"
之下 zhi1xia4 "under; beneath; less than"
日 ri4 "sun; day; date, day of the month"
能 neng2 "can; to be able to; might possibly; ability; (physics) energy"
可能 ke3neng2 "might (happen); possible; probable; possibility; probability; maybe; perhaps"
能不能 neng2bu4neng2
不能不 bu4neng2bu4
国 guo2 "country; nation; (bound form) national"
中国 zhong1guo2 china
国会 guo2hui4 "parliament (uk); congress (us)"
过 guo4 "to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-"
不过 bu4guo4 "only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)"
过来 guo4lai5
过年 guo4nian5
过去 guo4qu5 "(verb suffix)"
过 guo4 "to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-"
过去 guo4qu5 "(verb suffix)"
过后 guo4hou4 "after the event"
过时 guo4shi2 "old-fashioned; out of date; to be later than the time stipulated or agreed upon"
不用 bu4yong4 "need not"
用 yong4 "to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore"
有用 you3yong4 useful
用不着 yong4bu5zhao2
用来 yong4lai2 "to be used for"
用得着 yong4de5zhao2
做 zuo4 "to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)"
做到 zuo4dao4 "to accomplish; to achieve"
等 deng3 "class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once"
等 deng3 "class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once"
等到 deng3dao4 "to wait until; by the time when (sth is ready etc)"
中等 zhong1deng3 medium
几 ji3 "how much; how many; several; a few"
将 jiang1 "will; shall; to use; to take; to checkmate; just a short while ago"
将要 jiang1yao4 "will; shall; to be going to"
三 san1 "three; 3"
最 zui4 "most; the most; -est (superlative suffix)"
最好 zui4hao3 "best; (you) had better (do what we suggest)"
最后 zui4hou4 "final; last; finally; ultimate"
一样 yi1yang4 "same; like; equal to; the same as; just like"
那样 na4yang4 "that kind; that sort"
什么样 shen2me5yang4 "what kind?; what sort?"
这样 zhe4yang4 "this kind of; so; this way; like this; such"
多样 duo1yang4 "diverse; diversity; manifold"
样 yang4 "manner; pattern; way; appearance; shape; classifier: kind, type"
次 ci4 "next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time"
上次 shang4ci4 "last time"
下次 xia4ci4 "next time"
次 ci4 "next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time"
多次 duo1ci4 "many times; repeatedly"
时候 shi2hou5 "time; length of time; moment; period"
有时候 you3shi2hou5 sometimes
那时候 na4shi2hou5 "at that time"
小时候 xiao3shi2hou5 "in one's childhood"
这时候 zhe4shi2hou4
等候 deng3hou4 "to wait; to wait for"
没 mei2 "(negative prefix for verbs) have not; not"
没什么 mei2shen2me5 "nothing; it doesn't matter; it's nothing; never mind"
没有 mei2you5
从没 cong2mei2 "never (in the past); never did"
有没有 you3mei2you3
现在 xian4zai4 "now; at present; at the moment; modern; current; nowadays"
现有 xian4you3 "currently existing; currently available"
已 yi3 "already; to stop; then; afterwards"
经过 jing1guo4 "to pass; to go through; process; course"
已经 yi3jing1 already
再 zai4 "again; once more; re-; second; another; then (after sth, and not until then)"
一再 yi1zai4 repeatedly
再三 zai4san1 "over and over again; again and again"
再次 zai4ci4 "one more time; again; one more; once again"
再也 zai4ye3 "(not) any more"
不再 bu4zai4 "no more; no longer"
再说 zai4shuo1 "to say again; to put off a discussion until later; moreover; what's more; besides"
吧 ba
后天 hou4tian1 "the day after tomorrow; acquired (not innate or congenital); a posteriori"
天 tian1 "day; sky; heaven"
天上 tian1shang5
天下 tian1xia4 "land under heaven; the whole world; the whole of china; realm; rule"
间 jian1 "between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms"
时间 shi2jian1 "time; period"
中间 zhong1jian1 "the middle; the inside; in the middle; within; between; among; during; in the meantime"
之间 zhi1jian1 "(after a noun) between; among; amid"
人间 ren2jian1 "the human world; the earth"
走 zou3 "to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; to change (shape, form, meaning)"
走过 zou3guo4 "to walk past; to pass by"
更 geng4 "more; even more; further; still; still more"
更是 geng4shi4 "even more (so)"
呢 ne
只 zhi3 "only; merely; just; but"
只能 zhi3neng2 "can only; obliged to do sth; to have no other choice"
只要 zhi3yao4 "if only; so long as"
只不过 zhi3bu5guo4 "only; merely; nothing but; no more than; it's just that ..."
只得 zhi3de2 "to have no alternative but to; to be obliged to"
问 wen4 "to ask; to inquire"
问候 wen4hou4 "to give one's respects; to send a greeting; (fig.) (coll.) to make offensive reference to (somebody dear to the person to whom one is speaking)"
题 ti2 "topic; problem for discussion; exam question; subject; to inscribe; to mention"
问题 wen4ti2 "question; problem; issue; topic"
它 ta1 it
它们 ta1men5 "they (for inanimate objects)"
不如 bu4ru2 "not equal to; not as good as; inferior to; it would be better to"
如下 ru2xia4 "as follows"
如 ru2 "as; as if; such as"
如一 ru2yi1 "consistent; the same; unvarying"
如果 ru2guo3 "if; in case; in the event that"
后果 hou4guo3 "consequences; aftermath"
国家 guo2jia1 "country; nation; state"
家 jia1 "home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-han china; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to english -ist, -er, -ary or -ian"
家里 jia1li3 home
家人 jia1ren2 "family member"
在家 zai4jia1 "to be at home"
大家 da4jia1 "everyone; influential family; great expert"
家 jia1 "home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-han china; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to english -ist, -er, -ary or -ian"
