爱 ai4
爱好 ai4hao4
爸爸 ba4ba5
白 bai2
八 ba1
白天 bai2tian5
班 ban1
百 bai3
吧 ba
半 ban4
半年 ban4nian2
半天 ban4tian1
帮 bang1
帮忙 bang1mang2
包 bao1
包子 bao1zi5
杯 bei1
杯子 bei1zi5
北边 bei3bian5
本 ben3
北京 bei3jing1
北 bei3
本子 ben3zi5
别 bie2
别的 bie2de5
别人 bie2ren5
病 bing4
病人 bing4ren2
比 bi3
不大 bu4da4
不客气 bu4ke4qi4
不用 bu4yong4
菜 cai4
不对 bu4dui4
差 cha4
不 bu4
茶 cha2
常常 chang2chang2
常 chang2
车 che1
唱歌 chang4ge1
车上 che1shang4
车票 che1piao4
唱 chang4
吃 chi1
车站 che1zhan4
吃饭 chi1fan4
出来 chu1lai5
出 chu1
出去 chu1qu5
床 chuang2
次 ci4
穿 chuan1
错 cuo4
从 cong2
打 da3
打车 da3che1
打电话 da3dian4hua4
打开 da3kai1
打球 da3qiu2
大学 da4xue2
大 da4
大学生 da4xue2sheng1
得到 de2dao4
到 dao4
等 deng3
地点 di4dian3
地 de
地方 di4fang5
地上 di4shang5
的 de
地图 di4tu2
弟弟 di4di5
第 di4
点 dian3
电话 dian4hua4
电 dian4
电脑 dian4nao3
电视机 dian4shi4ji1
电影 dian4ying3
电视 dian4shi4
电影院 dian4ying3yuan4
东边 dong1bian1
东 dong1
东西 dong1xi5
动 dong4
动作 dong4zuo4
读 du2
都 dou1
读书 du2shu1
对不起 dui4bu5qi3
多 duo1
多少 duo1shao5
儿子 er2zi5
饿 e4
对 dui4
二 er4
饭 fan4
饭店 fan4dian4
房间 fang2jian1
房子 fang2zi5
放 fang4
放假 fang4jia4
飞 fei1
放学 fang4xue2
飞机 fei1ji1
非常 fei1chang2
分 fen1
风 feng1
干 gan4
干净 gan1jing4
高兴 gao1xing4
高 gao1
告诉 gao4su5
哥哥 ge1ge5
歌 ge1
干什么 gan4shen2me5
个 ge4
给 gei3
跟 gen1
工人 gong1ren5
工作 gong1zuo4
关 guan1
关上 guan1shang4
国 guo2
