wo3men5 我们 "we; us; ourselves; our" "浆糊 挨着 隐匿 我们 空旷" 0
wo3guo2 我国 "our country; china" "揭晓 佝偻 覆盖 我国 信纸" 1
zi4wo3 自我 "self-; ego (psychology)" "官兵 产生 几乎 自我 乳头" 2
you3de5 有的 "(there are) some (who are...); some (exist)" "泥潭 澳元 长裙 有的 设置" 3
shi4de5 似的 "seems as if; rather like" "响起 情景 附加 似的 入侵" 4
mu4di4 目的 "purpose; aim; goal; target; objective" "渐渐 乔治 挪动 目的 对方" 5
ni3men5 你们 "you (plural)" "转身 误会 囚徒 你们 烤鸭" 6
jiu4shi4 就是 "exactly; precisely; only; simply; just; even if" "拉丁 阿曼 方便 就是 言喻" 7
bu2shi5 不是 "fault; blame" "洛德 陆续 添置 不是 踱步" 8
hai2shi5 还是 "still (as before); had better; unexpectedly; or" "导致 贫穷 弹簧 还是 那样" 9
wei4le5 为了 "for; for the purpose of; in order to" "打烊 涉嫌 无数 为了 安妮" 10
dao4liao3 到了 "at last; finally; in the end" "中央 锄头 岛屿 到了 佃农" 11
liao3jie3 了解 "to understand; to realize; to find out; to understand; to realize; to find out" "目眩 博士 中午 了解 娃子" 12
bu4neng2 不能 "cannot; must not; should not" "年末 同僚 肖像 不能 翻身" 13
bu4hui4 不会 "improbable; unlikely; will not (act, happen etc); not able; not having learned to do sth; not at all" "鞭炮 遵循 各地 不会 梳理" 14
ta1men5 他们 they "𬩽 乡村 推翻 他们 含糊" 15
zhe4ge5 这个 "(pronoun) this; (adjective) this" "子孙 年薪 异性 这个 颓然" 16
zhe4yang4 这样 "this kind of; so; this way; like this; such" "门口 凯歌 迁徙 这样 桎梏" 17
zhe4xie1 这些 these "留学 曲子 恭喜 这些 呼吁" 18
di4yi1 第一 "first; number one; primary" "特别 百姓 香醇 第一 磨蹭" 19
yi1xie1 一些 "some; a few; a little; (following an adjective) slightly ...er" "拥有 贿赂 多余 一些 绿化" 20
yi1yang4 一样 "same; like; equal to; the same as; just like" "无缘 箩筐 悠久 一样 洋溢" 21
qi2ta1 其他 "other; (sth or sb) else; the rest" "铁锹 混合 唏嘘 其他 航空" 22
ta1ren2 他人 "another; sb else; other people" "闹钟 驻地 瘟疫 他人 咧嘴" 23
shen2me5 什么 "what?; something; anything" "饕餮 不要 弟兄 什么 按钮" 24
zen3me5 怎么 "how?; what?; why?" "及时 盒饭 酬劳 怎么 开拓" 25
na4me5 那么 "like that; in that way; or so; so; so very much; about; in that case" "保障 嘹亮 汲取 那么 惹人" 26
xian4zai4 现在 "now; at present; at the moment; modern; current; nowadays" "懊丧 洱海 绝不 现在 胜利" 27
zheng4zai4 正在 "just at (that time); right in (that place); right in the middle of (doing sth)" "诠释 教堂 保存 正在 放晴" 28
cun2zai4 存在 "to exist; to be; existence" "安曼 叛逆 运行 存在 芦花" 29
hai2you3 还有 "furthermore; in addition; still; also" "福祉 老鹰 去年 还有 觉悟" 30
zhi3you3 只有 "only have ...; there is only ..." "只要 诺言 驼背 只有 褪色" 31
suo3you3 所有 "all; to have; to possess; to own" "澡盆 邮局 打死 所有 倘若" 32
na4ge5 那个 "that one; that thing; that (as opposed to this); (used before a verb or adjective for emphasis); (used to humorously or indirectly refer to sth embarrassing, funny etc, or when one can't think of the right word); (euph.) menstruation; sex" "考察 写信 估计 那个 宜昌" 33
