我们 wo3men5
什么 shen2me5
知道 zhi1dao4
他们 ta1men5
你们 ni3men5
没有 mei2you3
这个 zhe4ge5
怎么 zen3me5
现在 xian4zai4
可以 ke3yi3
如果 ru2guo3
这样 zhe4yang4
告诉 gao4su5
因为 yin1wei4
自己 zi4ji3
这里 zhe4li3
但是 dan4shi4
时候 shi2hou5
已经 yi3jing1
为什么 wei4shen2me5
觉得 jue2de5
先生 xian1sheng5
喜欢 xi3huan5
可能 ke3neng2
需要 xu1yao4
是的 shi4de5
那么 na4me5
那个 na4ge5
东西 dong1xi5
应该 ying1gai1
孩子 hai2zi5
起来 qi3lai5
所以 suo3yi3
这些 zhe4xie1
还有 hai2you3
问题 wen4ti2
一起 yi1qi3
开始 kai1shi3
时间 shi2jian1
工作 gong1zuo4
然后 ran2hou4
事情 shi4qing5
就是 jiu4shi4
所有 suo3you3
一下 yi1xia4
非常 fei1chang2
看到 kan4dao4
希望 xi1wang4
当然 dang1ran2
也许 ye3xu3
朋友 peng2you5
相信 xiang1xin4
认为 ren4wei2
这儿 zhe4r5
今天 jin1tian1
明白 ming2bai5
一直 yi1zhi2
地方 di4fang5
不过 bu4guo4
发生 fa1sheng1
回来 hui2lai5
准备 zhun3bei4
找到 zhao3dao4
一切 yi1qie4
抱歉 bao4qian4
感觉 gan3jue2
只是 zhi3shi4
出来 chu1lai2
不要 bu4yao4
对不起 dui4bu5qi3
离开 li2kai1
一点 yi1dian3
一定 yi1ding4
还是 hai2shi5
而且 er2qie3
必须 bi4xu1
意思 yi4si5
不错 bu4cuo4
肯定 ken3ding4
电话 dian4hua4
为了 wei4le5
第一 di4yi1
大家 da4jia1
高兴 gao1xing4
生活 sheng1huo2
医生 yi1sheng1
最后 zui4hou4
之前 zhi1qian2
伙计 huo3ji5
任何 ren4he2
哪儿 na3r5
这种 zhe4zhong3
上帝 shang4di4
女人 nü3ren5
名字 ming2zi5
认识 ren4shi5
今晚 jin1wan3
其他 qi2ta1
记得 ji4de5
或者 huo4zhe3
过去 guo4qu5
担心 dan1xin1
继续 ji4xu4
亲爱 qin1ai4
父亲 fu4qin1
以前 yi3qian2
美国 mei3guo2
完全 wan2quan2
宝贝 bao3bei4
世界 shi4jie4
小时 xiao3shi2
重要 zhong4yao4
别人 bie2ren5
男人 nan2ren2
机会 ji1hui4
看见 kan4jian4
打电话 da3dian4hua4
好像 hao3xiang4
警察 jing3cha2
儿子 er2zi5
之后 zhi1hou4
漂亮 piao4liang5
分钟 fen1zhong1
再见 zai4jian4
如何 ru2he2
比赛 bi3sai4
情况 qing2kuang4
关系 guan1xi5
真是 zhen1shi5
女士 nü3shi4
马上 ma3shang4
决定 jue2ding4
根本 gen1ben3
关于 guan1yu2
里面 li3mian4
到底 dao4di3
了解 liao3jie3
明天 ming2tian1
结束 jie2shu4
公司 gong1si1
成为 cheng2wei2
永远 yong3yuan3
帮助 bang1zhu4
多少 duo1shao5
它们 ta1men5
确定 que4ding4
清楚 qing1chu5
晚上 wan3shang5
安全 an1quan2
愿意 yuan4yi4
计划 ji4hua4
说话 shuo1hua4
她们 ta1men5
感谢 gan3xie4
照片 zhao4pian4
欢迎 huan1ying2
兄弟 xiong1di4
从来 cong2lai2
总是 zong3shi4
拜托 bai4tuo1
小姐 xiao3jie5
消息 xiao1xi5
或许 huo4xu3
如此 ru2ci3
无法 wu2fa3
衣服 yi1fu5
听说 ting1shuo1
参加 can1jia1
办法 ban4fa3
唯一 wei2yi1
该死 gai1si3
选择 xuan3ze2
原因 yuan2yin1
确实 que4shi2
混蛋 hun2dan4
保证 bao3zheng4
学校 xue2xiao4
接受 jie1shou4
改变 gai3bian4
麻烦 ma2fan5
打算 da3suan4
电影 dian4ying3
身上 shen1shang5
房间 fang2jian1
不管 bu4guan3
