一   yi1 one 1
丨   gun3 line 1
丿 "乀 (fu2), 乁(yi2)"  pie3 slash 1
乙 "乚 (yin3), 乛"  yi4 second 1
亅   jue2 hook 1
丶   zhu3 dot 1
二   er4 two 2
亠   tou2 lid 2
人 亻  ren2 man 2
儿   er2 legs 2
入   ru4 enter 2
八 丷  ba1 eight 2
冂   jiong3 "down box" 2
冖   mi4 over 2
冫   bing1 ice 2
几   ji1 table 2
凵   qu3 "open box" 2
刀 刂  dao1 knife 2
力   li4 power 2
勹   bao1 wrap 2
匕   bi3 spoon 2
匚   fang1 "right open box" 2
匸   xi3 "hiding enclo­sure" 2
十   shi2 ten 2
卜   bu3 mysti­cism 2
卩   jie2 seal 2
厂   han4 cliff 2
厶   si1 private 2
又   you4 again 2
囗   wei2 enclo­sure 3
土   tu3 earth 3
士   shi4 scholar 3
夂   "zhi3 (top)" go 3
夊   "sui1 (bot­tom)" "go slowly" 3
夕   xi1 evening 3
大   da4 big 3
女   nü3 woman 3
子   zi3 child 3
宀   mian2 roof 3
寸   cun4 inch 3
小   xiao3 small 3
尢 尣  wang1 lame 3
尸   shi1 corpse 3
屮   che4 sprout 3
山   shan1 moun­tain 3
川 "巛, 巜 (gui4)"  chuan1 river 3
工   gong1 work 3
己   ji3 oneself 3
巾   jin1 turban 3
干   gan1 dry 3
幺   yao1 "short thread" 3
口   kou3 mouth 3
广   guan3 "dotted cliff" 3
廴   yin3 "long stride" 3
廾   gong3 "two hands" 3
弋   yi4 shoot 3
弓   gong1 bow 3
彐 彑  ji4 snout 3
彡   shan1 bristle 3
彳   chi4 step 3
心 忄  xin1 heart 4
戈   ge1 halberd 4
戶   hu4 door 4
手 扌  shou3 hand 4
支   zhi1 branch 4
攴 攵  pu1 rap 4
文   wen2 script 4
斗   dou3 dipper 4
斤   jin1 axe 4
方   fang1 square 4
无   wu2 not 4
日   ri4 sun 4
曰   yue1 say 4
月   yue4 moon 4
木   mu4 tree 4
欠   qian4 lack 4
止   zhi3 stop 4
殳   shu1 weapon 4
毋   wu2 "do not" 4
比   bi3 compare 4
毛   mao2 fur 4
氏   shi4 clan 4
气   qi4 steam 4
水 氵  shui3 water 4
火 灬  huo3 fire 4
爪 爫  zhao3 claw 4
父   fu4 father 4
爻   yao2 "double x" 4
爿 丬  "pan2, qiang2" "half tree trunk" 4
片   pian4 slice 4
牙   ya2 fang 4
牛 牜  niu2 cow 4
犬 犭  quan3 dog 4
歹   dai3 death 4
玄   xuan2 pro­found 5
玉 王  yu4 jade 5
瓜   gua1 melon 5
瓦   wa3 tile 5
甘   gan1 sweet 5
生   sheng1 life 5
用   yong4 use 5
田   tian2 field 5
疋   pi3 "bolt of cloth" 5
疒   chuang2 sick­ness 5
癶   bo4 "dotted tent" 5
白   bai2 white 5
皮   pi2 skin 5
皿   min3 dish 5
目   mu4 eye 5
矛   mao2 spear 5
矢   shi3 arrow 5
石   shi2 stone 5
示 礻  shi4 spirit 5
禸   rou3 track 5
禾   he2 grain 5
穴   xue4 cave 5
立   li4 stand 5
至   zhi4 arrive 6
竹 ⺮  zhu2 bamboo 6
缶   fou3 jar 6
网 罒  wang3 net 6
羊   yang2 sheep 6
羽   yu3 feather 6
老   lao3 old 6
而   er2 and 6
耒   lei3 plow 6
耳   er3 ear 6
聿   yu4 brush 6
肉   rou4 meat 6
臣   chen2 minis­ter 6
自   zi4 self 6
糸  纟 mi4 silk 6
臼   jiu4 mortar 6
舌   she2 tongue 6
舛   chuan3 oppose 6
舟   zhou1 boat 6
艮   gen4 stop­ping 6
色   se4 color 6
艸 艹  cao3 grass 6
虍   hu1 tiger 6
虫   chong2 insect 6
血   xue3 blood 6
行   xing2 "walk enclo­sure" 6
衣 衤  yi1 clothes 6
襾 覀  ya4 west 6
米   mi3 rice 6
見  见 jian4 see 7
角   jue2 horn 7
言  讠 yan2 speech 7
谷   gu3 valley 7
豆   dou4 bean 7
豕   shi3 pig 7
豸   zhi4 badger 7
貝  贝 bei4 shell 7
赤   chi4 red 7
走   zou3 run 7
足  ⻊ zu2 foot 7
身   shen1 body 7
車  车 che1 cart 7
辛   xin1 bitter 7
辰   chen2 morning 7
辵 辶  chuo4 walk 7
邑 "阝 (right)"  yi4 city 7
酉   you3 wine 7
釆   bian4 distin­guish 7
里   li3 village 7
金   jin1 gold 8
長  长 chang2 long 8
阜 "阝 (left)"  fu4 mound 8
隶   dai4 slave 8
隹   zhui1 "short tailed bird" 8
雨   yu3 rain 8
青   qing1 blue 8
非   fei1 wrong 8
門  门 men2 gate 8
風  风 feng1 wind 9
革   ge2 leather 9
韭   jiu3 leek 9
音   yin1 sound 9
頁  页 ye4 leaf 9
面   mian4 face 9
飛  飞 fei1 fly 9
食 飠 饣 shi2 eat 9
首   shou3 head 9
香   xiang1 fragrant 9
韋  韦 wei2 "tanned leather" 9
馬  马 ma3 horse 10
骨   gu3 bone 10
高   gao1 tall 10
髟   biao1 hair 10
鬥   dou4 fight 10
鬯   chang4 "sacri­ficial wine" 10
鬲   li4 caul­dron 10
鬼   gui3 ghost 10
魚  鱼 yu2 fish 11
鹵   lu3 salt 11
鹿   lu4 deer 11
麥  麦 mai4 wheat 11
麻   ma2 hemp 11
鳥  鸟 niao3 bird 11
黃   huang2 yellow 12
黍   shu3 millet 12
黑   hei1 black 12
黹   zhi3 embroi­dery 12
黽  黾 min3 frog 13
鼎   ding3 tripod 13
鼓   gu3 drum 13
鼠  鼡 shu3 rat 13
鼻   bi2 nose 14
齊  齐 qi2 even 14
齒  齿 chi3 tooth 15
龍  龙 long2 dragon 16
龜  龟 gui1 turtle 16
龠   yue4 flute 17
