的 de5 "possessive; marker; attributive; marker; nominalizer; particle"
我 wo3 "I; me"
是 shi4 "be; yes; correct"
了 le5 "completed-action marker; change-of-state marker; particle"
不 bu4 "not; no"
在 zai4 "at; in; on; exist; be-present"
他 ta1 "he; him"
我们 wo3men5 "we; us; ourselves; our"
好 hao3 "good; fine; well; easy-to; hello"
有 you3 "have; there-is"
这 zhe4 this
就 jiu4 "then; right-away; only; exactly; precisely"
会 hui4 "can; know-how; meeting; society"
吗 ma5 question-particle
要 yao4 "want; need; will; important"
什么 shen2me5 "what?; something; anything"
说 shuo1 "speak; say; talk; explain"
她 ta1 "she; her"
想 xiang3 "think; want; miss"
一 yi1 "one; a; single; entire; whole"
很 hen3 "very; quite"
知道 zhi1dao4 "to know; to become aware of"
人 ren2 "person; people"
吧 ba5 "suggestion-particle; confirm-particle"
那 na4 "that; then"
来 lai2 "come; arrive; about-approx"
都 dou1 "all; both; even; already"
个 ge4 "classifier; general"
能 neng2 "can; able; energy"
去 qu4 "go; remove; away"
没 mei2 "not; have-not"
和 he2 "and; with; harmony"
他们 ta1men5 they
到 dao4 "arrive; reach; until"
对 dui4 "correct; towards; to; treat; match"
也 ye3 "also; too"
啊 a5 "particle; affirmation; exclamation"
还 hai2 "still; yet; also; rather"
把 ba3 "hold; grasp; handle; classifier"
让 rang4 "let; allow; yield; make"
做 zuo4 "do; make; become; act"
给 gei3 "give; for; allow"
上 shang4 "up; above; go-up; previous; attend"
你们 ni3men5 "you (plural)"
过 guo4 "cross; pass; spend; exceed"
没有 mei2you3 "haven't; hasn't; doesn't exist; to not have; to not be"
得 de5 "particle; linking; result/degree"
看 kan4 "see; look; watch; read; visit; treat"
真 zhen1 "real; true; really"
着 zhe5 "aspect-particle; ongoing"
事 shi4 "matter; affair; thing; work"
这个 zhe4ge5 "(pronoun) this; (adjective) this"
怎么 zen3me5 "how?; what?; why?"
现在 xian4zai4 "now; at present; at the moment; modern; current; nowadays"
可以 ke3yi3 "can; may; possible; able to; not bad; pretty good"
点 dian3 "dot; point; o'clock; order; select; touch"
呢 ne5 "particle; continuation; emphasis"
如果 ru2guo3 "if; in case; in the event that"
只 zhi3 "only; merely"
别 bie2 "don't; other; separate"
哦 o2 "oh; (surprise,; doubt,; realization)"
但 dan4 "but; however; only"
被 bei4 "passive-marker; suffer; (misfortune); quilt"
走 zou3 "walk; go; leave"
太 tai4 "too; very; extremely"
这样 zhe4yang4 "this kind of; so; this way; like this; such"
里 li3 "inside; within; neighborhood"
跟 gen1 "with; follow; heel"
告诉 gao4su5 "to tell; to inform; to let know"
因为 yin1wei4 "because; owing to; on account of"
自己 zi4ji3 "oneself; one's own"
再 zai4 "again; once-more; then; (afterwards)"
听 ting1 "listen; hear; obey"
这里 zhe4li3 here
快 kuai4 "fast; quick; soon; happy; sharp"
谁 shei2 who
但是 dan4shi4 "but; however"
多 duo1 "many; much; how; (question)"
用 yong4 "use; need"
时候 shi2hou5 "time; length of time; moment; period"
下 xia4 "down; below; next; fall; (rain; etc)"
已经 yi3jing1 already
谢谢 xie4xie5 "to thank; thanks; thank you"
为什么 wei4shen2me5 "why?; for what reason?"
觉得 jue2de5 "to think that ...; to feel that ...; to feel (uncomfortable etc)"
天 tian1 "day; sky; heaven"
像 xiang4 "resemble; be-like; image"
这么 zhe4me5 "so much; this much; how much?; this way; like this"
它 ta1 it
从 cong2 "from; follow"
先生 xian1sheng5 "teacher; gentleman; sir; mister (mr.); husband"
找 zhao3 "look-for; seek; give-change"
最 zui4 "most; -est"
喜欢 xi3huan5 "to like; to be fond of"
可 ke3 "can; may; certainly"
为 wei4 "for; because-of"
大 da4 "big; great; major"
可能 ke3neng2 "might (happen); possible; probable; possibility; probability; maybe; perhaps"
需要 xu1yao4 "to need; to want; to demand; to require; needs"
是的 shi4de5 "yes, that's right"
死 si3 "die; death; rigid"
次 ci4 "time; occasion; order; next"
出 chu1 "go-out; come-out; produce; emerge"
那么 na4me5 "like that; in that way; or so; so; so very much; about; in that case"
干 gan4 "do; work; manage; (coll.); fuck"
那个 na4ge5 "that one; that thing; that (as opposed to this); (used before a verb or adjective for emphasis); (used to humorously or indirectly refer to sth embarrassing, funny etc, or when one can't think of the right word); (euph.) menstruation; sex"
嘿 hei1 hey
们 men5 plural-marker
话 hua4 "word; speech; talk; language"
而 er2 "and; yet; but"
么 me5 "(suffix; in; 什么; etc); what"
东西 dong1xi5 "thing; stuff; person"
应该 ying1gai1 "ought to; should; must"
孩子 hai2zi5 child
起来 qi3lai5 "to stand up; to get up"
所以 suo3yi3 "therefore; as a result; so; the reason why"
这些 zhe4xie1 these
才 cai2 "only; just; just-now; ability; talent"
两 liang3 "two; both; some"
错 cuo4 "wrong; mistake; miss"
还有 hai2you3 "furthermore; in addition; still; also"
又 you4 "again; also; both"
小 xiao3 "small; little; young"
中 zhong1 "middle; center; within; china"
叫 jiao4 "call; shout; order; be-called"
嗯 en5 "uh-huh; mm"
该 gai1 "should; ought; to; deserve"
等 deng3 "wait; rank; class; etc"
问题 wen4ti2 "question; problem; issue; topic"
一起 yi1qi3 "in the same place; together; with; altogether (in total)"
拿 na2 "take; hold; seize"
更 geng4 "more; even-more"
开始 kai1shi3 "to begin; beginning; to start; initial"
帮 bang1 "help; assist; gang"
打 da3 "hit; beat; play; make"
爱 ai4 "love; like"
带 dai4 "bring; take; carry; wear; belt; zone"
时间 shi2jian1 "time; period"
年 nian2 year
请 qing3 "ask; invite; please; treat; request"
回 hui2 "return; go-back; answer; time; (classifier)"
工作 gong1zuo4 "to work; (of a machine) to operate; job; work; task"
然后 ran2hou4 "then; after that; afterwards"
当 dang1 "be; act-as; should; when; just-at"
见 jian4 "see; meet"
钱 qian2 "money; coin"
一样 yi1yang4 "same; like; equal to; the same as; just like"
事情 shi4qing5 "affair; matter; thing; business"
就是 jiu4shi4 "exactly; precisely; only; simply; just; even if"
吃 chi1 "eat; consume"
所有 suo3you3 "all; to have; to possess; to own"
开 kai1 "open; start; turn-on; operate"
一下 yi1xia4 "(used after a verb) give it a go; to do (sth for a bit to give it a try); one time; once; in a while; all of a sudden; all at once"
家 jia1 "home; family; household; -ist; specialist; (suffix)"
非常 fei1chang2 "very; really; unusual; extraordinary"
看到 kan4dao4 "to see"
希望 xi1wang4 "to wish for; to desire; hope"
那些 na4xie1 those
哪 na3 "which; what"
当然 dang1ran2 "only natural; as it should be; certainly; of course; without doubt"
也许 ye3xu3 "perhaps; maybe"
行 xing2 "go; walk; do; OK; capable"
朋友 peng2you5 friend
