大 da4 "big; large; great; older (than another person); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother)"
多 duo1 "many; much; too many; in excess; (after a numeral) ... odd; (bound form) multi-; poly-"
高兴 gao1xing4 "happy; glad; willing (to do sth); in a cheerful mood"
好 hao3 "good; appropriate; proper; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello"
冷 leng3 cold
漂亮 piao4liang5 "pretty; beautiful"
热 re4 "to warm up; to heat up; hot (of weather); heat; fervent"
少 shao3 "few; less; to lack; to be missing; to stop (doing sth); seldom"
小 xiao3 "small; tiny; few; young"
白 bai2 "white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera"
长 zhang3 "chief; head; elder; to grow; to develop; to increase; to enhance"
对 dui4 "right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair"
高 gao1 "high; tall; above average; loud; your (honorific)"
贵 gui4 "expensive; noble; precious; (honorific) your"
好吃 hao3chi1 "tasty; delicious"
黑 hei1 "black; dark; sinister; secret; shady; illegal; to hide (sth) away; to vilify"
红 hong2 "red; popular; revolutionary; bonus"
近 jin4 "near; close to; approximately"
快 kuai4 "rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plainspoken; gratified; pleased; pleasant"
快乐 kuai4le4 "happy; joyful"
累 lei4 "tired; weary; to strain; to wear out; to work hard"
慢 man4 slow
忙 mang2 "busy; hurriedly; to hurry; to rush"
便宜 pian2yi5 "cheap; inexpensive; small advantages; to let sb off lightly"
新 xin1 "new; newly; meso- (chemistry)"
远 yuan3 "far; distant; remote; (intensifier in a comparison) by far; much (lower etc)"
矮 ai3 "low; short (in length)"
安静 an1jing4 "quiet; peaceful; calm"
饱 bao3 "to eat till full; satisfied"
聪明 cong1ming5 "intelligent; clever; bright; smart; acute (of sight and hearing)"
低 di1 "low; beneath; to lower (one's head); to let droop; to hang down; to incline"
短 duan3 "short; brief; to lack; weak point; fault"
饿 e4 "to be hungry; hungry; to starve (sb)"
方便 fang1bian4 "convenient; suitable; to facilitate; to make things easy; having money to spare; (euphemism) to relieve oneself"
干净 gan1jing4 "clean; neat"
高兴 gao1xing4 "happy; glad; willing (to do sth); in a cheerful mood"
坏 huai4 "bad; spoiled; broken; to break down; (suffix) to the utmost"
黄 huang2 "yellow; pornographic; to fall through"
简单 jian3dan1 "simple; not complicated"
健康 jian4kang1 "health; healthy"
久 jiu3 "(long) time; (long) duration of time"
旧 jiu4 "old; former; worn (with age)"
渴 ke3 thirsty
可爱 ke3ai4 "adorable; cute; lovely"
蓝 lan2 "blue; indigo plant"
老 lao3 "prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough"
绿 lü4
难 nan2 "difficult (to...); problem; difficulty; difficult; not good"
难过 nan2guo4 "to feel sad; to feel unwell; (of life) to be difficult"
年轻 nian2qing1 young
努力 nu3li4 "to make an effort; to try hard; to strive; hard-working; conscientious"
胖 pang4 "fat; plump"
便宜 pian2yi5 "cheap; inexpensive; small advantages; to let sb off lightly"
奇怪 qi2guai4 "strange; odd; to marvel; to be baffled"
清楚 qing1chu5 "clear; distinct; to understand thoroughly; to be clear about"
认真 ren4zhen1 "conscientious; earnest; serious; to take seriously; to take to heart"
热情 re4qing2 "cordial; enthusiastic; passion; passionate; passionately"
容易 rong2yi4 "easy; straightforward; likely; liable to; apt to"
瘦 shou4 "thin; to lose weight; (of clothing) tight; (of meat) lean; (of land) unproductive"
舒服 shu1fu5 "comfortable; feeling well"
甜 tian2 sweet
突然 tu1ran2 "sudden; abrupt; unexpected"
小心 xiao3xin1 "to be careful; to take care"
