大 da4
多 duo1
高兴 gao1xing4
好 hao3
冷 leng3
漂亮 piao4liang5
热 re4
少 shao3
小 xiao3
白 bai2
长 zhang3
对 dui4
高 gao1
贵 gui4
好吃 hao3chi1
黑 hei1
红 hong2
近 jin4
快 kuai4
快乐 kuai4le4
累 lei4
慢 man4
忙 mang2
便宜 pian2yi5
新 xin1
远 yuan3
矮 ai3
安静 an1jing4
饱 bao3
聪明 cong1ming5
低 di1
短 duan3
饿 e4
方便 fang1bian4
干净 gan1jing4
高兴 gao1xing4
坏 huai4
黄 huang2
简单 jian3dan1
健康 jian4kang1
久 jiu3
旧 jiu4
渴 ke3
可爱 ke3ai4
蓝 lan2
老 lao3
绿 lü4
难 nan2
难过 nan2guo4
年轻 nian2qing1
努力 nu3li4
胖 pang4
便宜 pian2yi5
奇怪 qi2guai4
清楚 qing1chu5
认真 ren4zhen1
热情 re4qing2
容易 rong2yi4
瘦 shou4
舒服 shu1fu5
甜 tian2
突然 tu1ran2
小心 xiao3xin1
新鲜 xin1xian1
一般 yi1ban1
一样 yi1yang4
有名 you3ming2
着急 zhao2ji2
真 zhen1
重要 zhong4yao4
主要 zhu3yao4
安全 an1quan2
棒 bang4
笨 ben4
成功 cheng2gong1
诚实 cheng2shi2
粗心 cu1xin1
得意 de2yi4
低 di1
烦恼 fan2nao3
丰富 feng1fu4
富 fu4
复杂 fu4za2
共同 gong4tong2
合格 he2ge2
合适 he2shi4
厚 hou4
火 huo3
活泼 huo2po5
假 jia3
骄傲 jiao1ao4
激动 ji1dong4
积极 ji1ji2
精彩 jing1cai3
紧张 jin3zhang1
开心 kai1xin1
可怜 ke3lian2
可惜 ke3xi1
空 kong1
苦 ku3
困 kun4
辣 la4
懒 lan3
浪漫 lang4man4
冷静 leng3jing4
凉快 liang2kuai5
厉害 li4hai5
礼貌 li3mao4
流利 liu2li4
乱 luan4
麻烦 ma2fan5
马虎 ma3hu5
美丽 mei3li4
免费 mian3fei4
难受 nan2shou4
暖 nuan3
暖和 nuan3huo5
破 po4
普遍 pu3bian4
轻 qing1
轻松 qing1song1
穷 qiong2
热闹 re4nao5
