不 bu4 "no; not so; (bound form) not; un-"
没有 mei2you3 "haven't; hasn't; doesn't exist; to not have; to not be"
很 hen3 "(adverb of degree); quite; very; awfully"
太 tai4 "highest; greatest; too (much); very; extremely"
都 dou1 "all; both; entirely; (used for emphasis) even; already; (not) at all"
别 bie2 "to leave; to part (from); (literary) to differentiate; to distinguish; (bound form) other; another; different; to fasten with a pin or clip; to stick in; to insert (in order to hinder movement)"
非常 fei1chang2 "very; really; unusual; extraordinary"
还 huan2 "to pay back; to return"
就 jiu4 "(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (of food) to go with; with regard to; concerning"
也 ye3 "(adverb) also; both ... and ... (before predicates only)"
已经 yi3jing1 already
一起 yi1qi3 "in the same place; together; with; altogether (in total)"
再 zai4 "again; once more; re-; second; another; then (after sth, and not until then)"
真 zhen1 "really; truly; indeed; real; true; genuine"
正在 zheng4zai4 "just at (that time); right in (that place); right in the middle of (doing sth)"
最 zui4 "most; the most; -est (superlative suffix)"
比较 bi3jiao4 "to compare; to contrast; comparatively; relatively; quite; comparison"
必须 bi4xu1 "to have to; must; compulsory; necessarily"
才 cai2 "ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only; (before an expression of quantity) only"
当然 dang1ran2 "only natural; as it should be; certainly; of course; without doubt"
多么 duo1me5 "how (wonderful etc); what (a great idea etc); however (difficult it may be etc); (in interrogative sentences) how (much etc); to what extent"
更 geng4 "more; even more; further; still; still more"
极 ji2 "extremely; pole (geography, physics); utmost; top"
几乎 ji1hu1 "almost; nearly; practically"
经常 jing1chang2 "frequently; constantly; regularly; often; day-to-day; everyday; daily"
马上 ma3shang4 "at once; right away; immediately; on horseback (i.e. by military force)"
其实 qi2shi2 "actually; in fact; really"
特别 te4bie2 "unusual; special; very; especially; particularly; expressly; for a specific purpose"
先 xian1 "early; prior; former; in advance; first"
一定 yi1ding4 "surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must"
一共 yi1gong4 altogether
一直 yi1zhi2 "straight (in a straight line); continuously; always; all the way through"
又 you4 "(once) again; also; both... and...; and yet; (used for emphasis) anyway"
越 yue4 "generic word for peoples or states of south china or south asia at different historical periods; to exceed; to climb over; to surpass; the more... the more"
真 zhen1 "really; truly; indeed; real; true; genuine"
只 zhi1 "grain that has begun to ripen; classifier for birds and certain animals, one of a pair, some utensils, vessels etc"
终于 zhong1yu2 "at last; in the end; finally; eventually"
总是 zong3shi4 always
别 bie2 "to leave; to part (from); (literary) to differentiate; to distinguish; (bound form) other; another; different; to fasten with a pin or clip; to stick in; to insert (in order to hinder movement)"
按时 an4shi2 "on time; before deadline; on schedule"
本来 ben3lai2 "original; originally; at first; it goes without saying; of course"
差不多 cha4bu5duo1 "almost; nearly; more or less; about the same; good enough; not bad"
重新 chong2xin1 "again; once more; re-"
从来 cong2lai2 "always; at all times; never (if used in negative sentence)"
大概 da4gai4 "roughly; probably; rough; approximate; about; general idea"
倒 dao3 "to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow; to change (trains or buses); to move around; to resell at a profit"
到处 dao4chu4 everywhere
到底 dao4di3 "finally; in the end; when all is said and done; after all; to the end; to the last"
大约 da4yue1 "approximately; probably"
刚 gang1 "hard; firm; strong; just; barely; exactly"
光 guang1 "light; ray; bright; only; merely; to use up"
故意 gu4yi4 "deliberately; on purpose"
好像 hao3xiang4 "as if; to seem like"
互相 hu4xiang1 "each other; mutually; mutual"
接着 jie1zhe5 "to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn"
竟然 jing4ran2 "unexpectedly; to one's surprise; in spite of everything; in that crazy way; actually; to go as far as to"
及时 ji2shi2 "timely; at the right time; promptly; without delay"
究竟 jiu1jing4 "to go to the bottom of a matter; after all; when all is said and done; (in an interrogative sentence) finally; outcome; result"
肯定 ken3ding4 "to be certain; to be positive; assuredly; definitely; to give recognition; to affirm; affirmative (answer)"
恐怕 kong3pa4 "fear; to dread; i'm afraid that...; perhaps; maybe"
难道 nan2dao4 "don't tell me ...; could it be that...?"
偶尔 ou3er3 "occasionally; once in a while; sometimes"
千万 qian1wan4 "ten million; countless; many; one must by all means"
却 que4 "but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though"
确实 que4shi2 "indeed; really; reliable; real; true"
仍然 reng2ran2 "still; as before; yet"
稍微 shao1wei1 "a little bit"
十分 shi2fen1 "very; completely; utterly; extremely; absolutely; hundred percent; to divide into ten equal parts"
是否 shi4fou3 "whether (or not); if; is or isn't"
实在 shi2zai4 "really; actually; indeed; true; real; honest; dependable; (philosophy) reality"
顺便 shun4bian4 "conveniently; in passing; without much extra effort"
挺 ting3 "straight; erect; to stick out (a part of the body); to (physically) straighten up; to support; to withstand; outstanding; (coll.) quite; very; classifier for machine guns"
提前 ti2qian2 "to shift to an earlier date; to do sth ahead of time; in advance"
往往 wang3wang3 "usually; in many cases; more often than not"
完全 wan2quan2 "complete; whole; totally; entirely"
也许 ye3xu3 "perhaps; maybe"
永远 yong3yuan3 "forever; eternal"
尤其 you2qi2 "especially; particularly"
正好 zheng4hao3 "just (in time); just right; just enough; to happen to; to chance to; by chance; it just so happens that"
只好 zhi3hao3 "to have no other option but to ...; to have to; to be forced to"
至少 zhi4shao3 "at least; (to say the) least"
专门 zhuan1men2 "specialist; specialized; customized"
自然 zi4ran2 "nature; natural; naturally"
最好 zui4hao3 "best; (you) had better (do what we suggest)"
便 bian4 "plain; informal; suitable; convenient; opportune; to urinate or defecate; in that case; even if; soon afterwards"
毕竟 bi4jing4 "after all; all in all; when all is said and done; in the final analysis"
必然 bi4ran2 "inevitable; certain; necessity"
不断 bu4duan4 "unceasing; uninterrupted; continuous; constant"
不见得 bu4jian4de5
曾经 ceng2jing1 "once; already; former; previously; ever; (past tense marker used before verb or clause)"
彻底 che4di3 "thorough; thoroughly; complete"
迟早 chi2zao3 "sooner or later"
抽象 chou1xiang4 "abstract; abstraction"
从此 cong2ci3 "from now on; since then; henceforth"
匆忙 cong1mang2 "hasty; hurried"
单独 dan1du2 "alone; by oneself; on one's own"
的确 di2que4 "really; indeed"
反复 fan3fu4 "repeatedly; over and over; to upend; unstable; to come and go; (of an illness) to return"
纷纷 fen1fen1 "one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell"
干脆 gan1cui4 "candid; direct and to the point; simply; just; might as well"
赶紧 gan3jin3 "hurriedly; without delay"
赶快 gan3kuai4 quickly
根本 gen1ben3 "fundamental; basic; root; simply; absolutely (not); (not) at all"
格外 ge2wai4 "especially; particularly"
果然 guo3ran2 "really; sure enough; as expected; if indeed"
忽然 hu1ran2 "suddenly; all of a sudden"
简直 jian3zhi2 "simply; really"
激烈 ji1lie4 "(of competition or fighting) intense; fierce; (of pain) acute; (of an expression of opinion) impassioned; vehement; (of a course of action) drastic; extreme"
急忙 ji2mang2 hastily
尽快 jin4kuai4
尽量 jin3liang4 "as much as possible; to the greatest extent"
极其 ji2qi2 extremely
绝对 jue2dui4 "absolute; unconditional"
居然 ju1ran2 "unexpectedly; to one's surprise; go so far as to"
具体 ju4ti3 "concrete; definite; specific"
连忙 lian2mang2 "promptly; at once"
连续 lian2xu4 "continuous; in a row; serial; consecutive"
立即 li4ji2 immediately
立刻 li4ke4 "forthwith; immediate; prompt; promptly; straightway; thereupon; at once"
轮流 lun2liu2 "to alternate; to take turns"
陆续 lu4xu4 "in turn; successively; one after the other; bit by bit"
难免 nan2mian3 "hard to avoid; difficult to escape from; will inevitably"
偶然 ou3ran2 "incidentally; occasional; occasionally; by chance; randomly"
平常 ping2chang2 "ordinary; common; usually; ordinarily"
迫切 po4qie4 "urgent; pressing"
强烈 qiang2lie4 "strong; intense"
悄悄 qiao1qiao1 "quiet; making little or no noise; surreptitious; stealthy; anxious; worried"
轻易 qing1yi4 "easily; lightly; rashly"
亲自 qin1zi4 "personally; in person; oneself"
热烈 re4lie4 "enthusiastic; ardent; warm"
生动 sheng1dong4 "vivid; lively"
事先 shi4xian1 "in advance; before the event; beforehand; prior"
始终 shi3zhong1 "from beginning to end; all along"
丝毫 si1hao2 "the slightest amount or degree; a bit"
似乎 si4hu1 "it seems; seemingly; as if"
随时 sui2shi2 "at any time; at all times; at the right time; whenever necessary"
随手 sui2shou3 "conveniently; without extra trouble; while doing it; in passing"
通常 tong1chang2 "regular; usual; normal; usually; normally"
痛快 tong4kuai4 "delighted; to one's heart's content; straightforward"
