不 bu4
没有 mei2you3
很 hen3
太 tai4
都 dou1
别 bie2
非常 fei1chang2
还 huan2
就 jiu4
也 ye3
已经 yi3jing1
一起 yi1qi3
再 zai4
真 zhen1
正在 zheng4zai4
最 zui4
比较 bi3jiao4
必须 bi4xu1
才 cai2
当然 dang1ran2
多么 duo1me5
更 geng4
极 ji2
几乎 ji1hu1
经常 jing1chang2
马上 ma3shang4
其实 qi2shi2
特别 te4bie2
先 xian1
一定 yi1ding4
一共 yi1gong4
一直 yi1zhi2
又 you4
越 yue4
真 zhen1
只 zhi1
终于 zhong1yu2
总是 zong3shi4
别 bie2
按时 an4shi2
本来 ben3lai2
差不多 cha4bu5duo1
重新 chong2xin1
从来 cong2lai2
大概 da4gai4
倒 dao3
到处 dao4chu4
到底 dao4di3
大约 da4yue1
刚 gang1
光 guang1
故意 gu4yi4
好像 hao3xiang4
互相 hu4xiang1
接着 jie1zhe5
竟然 jing4ran2
及时 ji2shi2
究竟 jiu1jing4
肯定 ken3ding4
恐怕 kong3pa4
难道 nan2dao4
偶尔 ou3er3
千万 qian1wan4
却 que4
确实 que4shi2
仍然 reng2ran2
稍微 shao1wei1
十分 shi2fen1
是否 shi4fou3
实在 shi2zai4
顺便 shun4bian4
挺 ting3
提前 ti2qian2
往往 wang3wang3
完全 wan2quan2
也许 ye3xu3
永远 yong3yuan3
尤其 you2qi2
正好 zheng4hao3
只好 zhi3hao3
至少 zhi4shao3
专门 zhuan1men2
自然 zi4ran2
最好 zui4hao3
便 bian4
毕竟 bi4jing4
必然 bi4ran2
不断 bu4duan4
不见得 bu4jian4de5
曾经 ceng2jing1
彻底 che4di3
迟早 chi2zao3
抽象 chou1xiang4
从此 cong2ci3
匆忙 cong1mang2
单独 dan1du2
的确 di2que4
反复 fan3fu4
纷纷 fen1fen1
干脆 gan1cui4
赶紧 gan3jin3
赶快 gan3kuai4
根本 gen1ben3
格外 ge2wai4
果然 guo3ran2
忽然 hu1ran2
简直 jian3zhi2
激烈 ji1lie4
急忙 ji2mang2
尽快 jin4kuai4
尽量 jin3liang4
极其 ji2qi2
绝对 jue2dui4
居然 ju1ran2
具体 ju4ti3
连忙 lian2mang2
连续 lian2xu4
立即 li4ji2
立刻 li4ke4
轮流 lun2liu2
陆续 lu4xu4
难免 nan2mian3
偶然 ou3ran2
平常 ping2chang2
迫切 po4qie4
强烈 qiang2lie4
悄悄 qiao1qiao1
轻易 qing1yi4
亲自 qin1zi4
热烈 re4lie4
生动 sheng1dong4
事先 shi4xian1
始终 shi3zhong1
丝毫 si1hao2
似乎 si4hu1
随时 sui2shi2
随手 sui2shou3
通常 tong1chang2
痛快 tong4kuai4
未必 wei4bi4
瞎 xia1
相当 xiang1dang1
幸亏 xing4kui1
迅速 xun4su4
一律 yi1lü4
依然 yi1ran2
一再 yi1zai4
再三 zai4san1
照常 zhao4chang2
至今 zhi4jin1
逐步 zhu2bu4
逐渐 zhu2jian4
总算 zong3suan4
