和 he2
但是 dan4shi4
虽然 sui1ran2
所以 suo3yi3
因为 yin1wei4
不但 bu4dan4
而且 er2qie3
还是 hai2shi4
或者 huo4zhe3
然后 ran2hou4
如果 ru2guo3
虽然 sui1ran2
一边 yi1bian1
只有 zhi3you3
但是 dan4shi4
并且 bing4qie3
不管 bu4guan3
不过 bu4guo4
不仅 bu4jin3
而 er2
否则 fou3ze2
尽管 jin3guan3
既然 ji4ran2
即使 ji2shi3
可是 ke3shi4
另外 ling4wai4
然而 ran2er2
甚至 shen4zhi4
同时 tong2shi2
无论 wu2lun4
相反 xiang1fan3
要是 yao4shi5
因此 yin1ci3
由于 you2yu2
于是 yu2shi4
只要 zhi3yao4
不然 bu4ran2
除非 chu2fei1
此外 ci3wai4
从而 cong2er2
反而 fan3er2
反正 fan3zheng4
何必 he2bi4
何况 he2kuang4
或许 huo4xu3
假如 jia3ru2
假设 jia3she4
可见 ke3jian4
难怪 nan2guai4
哪怕 na3pa4
宁可 ning4ke3
万一 wan4yi1
要不 yao4bu4
一旦 yi1dan4
以及 yi3ji2
以来 yi3lai2
因而 yin1er2
与其 yu3qi2
则 ze2
至于 zhi4yu2
自从 zi4cong2
总之 zong3zhi1
