爸爸 ba4ba5 "(informal) father"
北京 Bei3jing1
杯子 bei1zi5 "cup; glass"
菜 cai4 "dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor"
茶 cha2 "tea; tea plant"
出租车 chu1zu1che1 taxi
点 dian3 "point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; dot stroke in chinese characters; classifier for items"
电脑 dian4nao3 computer
电视 dian4shi4 "television; tv"
电影 dian4ying3 "movie; film"
东西 dong1xi5 "thing; stuff; person"
儿子 er2zi5 son
饭店 fan4dian4 "restaurant; hotel"
飞机 fei1ji1 airplane
分钟 fen1zhong1 minute
狗 gou3 dog
汉语 han4yu3 "chinese language"
后面 hou4mian4
家 jia1 "home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-han china; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to english -ist, -er, -ary or -ian"
今天 jin1tian1 "today; at the present; now"
老师 lao3shi1 teacher
里面 li3mian4 "inside; interior"
妈妈 ma1ma5 "mama; mommy; mother"
猫 mao1 "cat; (dialect) to hide oneself; (coll.) modem"
米饭 mi3fan4 "(cooked) rice"
明天 ming2tian1 tomorrow
名字 ming2zi5 "name (of a person or thing)"
年 nian2 "year; grain"
女儿 nü3er2
朋友 peng2you5 friend
苹果 ping2guo3 apple
钱 qian2 "coin; money"
前面 qian2mian4 "ahead; in front; preceding; above"
人 ren2 "person; people"
上 shang4 "(bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above"
商店 shang1dian4 "store; shop"
上午 shang4wu3 morning
时候 shi2hou5 "time; length of time; moment; period"
书 shu1 "book; letter; document; to write"
水 shui3 "water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes"
水果 shui3guo3 fruit
天气 tian1qi4 weather
同学 tong2xue2 "to study at the same school; fellow student; classmate"
下 xia4 "down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action"
先生 xian1sheng5 "teacher; gentleman; sir; mister (mr.); husband; (dialect) doctor"
现在 xian4zai4 "now; at present; at the moment; modern; current; nowadays"
小姐 xiao3jie3
下午 xia4wu3 "afternoon; p.m."
星期 xing1qi1 "week; day of the week; sunday"
学生 xue2sheng1
学校 xue2xiao4 school
衣服 yi1fu5 clothes
医生 yi1sheng1 doctor
医院 yi1yuan4 hospital
椅子 yi3zi5 chair
月 yue4 "moon; month; monthly"
中国 Zhong1guo2
中午 zhong1wu3 "noon; midday"
桌子 zhuo1zi5 "table; desk"
字 zi4 "letter; symbol; character; word; courtesy or style name traditionally given to males aged 20 in dynastic china"
昨天 zuo2tian1 yesterday
报纸 bao4zhi3 "newspaper; newsprint"
宾馆 bin1guan3 "guesthouse; lodge; hotel"
