爸爸 ba4ba5
北京 Bei3jing1
杯子 bei1zi5
菜 cai4
茶 cha2
出租车 chu1zu1che1
点 dian3
电脑 dian4nao3
电视 dian4shi4
电影 dian4ying3
东西 dong1xi5
儿子 er2zi5
饭店 fan4dian4
飞机 fei1ji1
分钟 fen1zhong1
狗 gou3
汉语 han4yu3
后面 hou4mian4
家 jia1
今天 jin1tian1
老师 lao3shi1
里面 li3mian4
妈妈 ma1ma5
猫 mao1
米饭 mi3fan4
明天 ming2tian1
名字 ming2zi5
年 nian2
女儿 nü3er2
朋友 peng2you5
苹果 ping2guo3
钱 qian2
前面 qian2mian4
人 ren2
上 shang4
商店 shang1dian4
上午 shang4wu3
时候 shi2hou5
书 shu1
水 shui3
水果 shui3guo3
天气 tian1qi4
同学 tong2xue2
下 xia4
先生 xian1sheng5
现在 xian4zai4
小姐 xiao3jie3
下午 xia4wu3
星期 xing1qi1
学生 xue2sheng1
学校 xue2xiao4
衣服 yi1fu5
医生 yi1sheng1
医院 yi1yuan4
椅子 yi3zi5
月 yue4
中国 Zhong1guo2
中午 zhong1wu3
桌子 zhuo1zi5
字 zi4
昨天 zuo2tian1
报纸 bao4zhi3
宾馆 bin1guan3
错 cuo4
弟弟 di4di5
房间 fang2jian1
服务员 fu2wu4yuan2
哥哥 ge1ge5
公共汽车 "gong1gong4 qi4che1"
公司 gong1si1
孩子 hai2zi5
火车站 huo3che1zhan4
教室 jiao4shi4
机场 ji1chang3
鸡蛋 ji1dan4
姐姐 jie3jie5
咖啡 ka1fei1
考试 kao3shi4
课 ke4
路 lu4
旅游 lü3you2
妹妹 mei4mei5
门 men2
面条 mian4tiao2
男 nan2
牛奶 niu2nai3
女 nü3
旁边 pang2bian1
票 piao4
铅笔 qian1bi3
晴 qing2
妻子 qi1zi5
去年 qu4nian2
日 ri4
生日 sheng1ri4
身体 shen1ti3
时间 shi2jian1
事情 shi4qing5
手表 shou3biao3
手机 shou3ji1
题 ti2
外 wai4
问题 wen4ti2
洗 xi3
小时 xiao3shi2
西瓜 xi1gua1
姓 xing4
希望 xi1wang4
雪 xue3
羊肉 yang2rou4
眼睛 yan3jing5
颜色 yan2se4
药 yao4
阴 yin1
意思 yi4si5
游泳 you2yong3
右边 you4bian5
鱼 yu2
运动 yun4dong4
早上 zao3shang5
丈夫 zhang4fu5
准备 zhun3bei4
左边 zuo3bian5
爱好 ai4hao4
阿姨 a1yi2
班 ban1
办法 ban4fa3
办公室 ban4gong1shi4
包 bao1
报纸 bao4zhi3
北 bei3
北方 bei3fang1
杯子 bei1zi5
变化 bian4hua4
表演 biao3yan3
别人 bie2ren2
笔记本 bi3ji4ben3
宾馆 bin1guan3
冰箱 bing1xiang1
比赛 bi3sai4
鼻子 bi2zi5
菜 cai4
菜单 cai4dan1
船 chuan2
草 cao3
超市 chao1shi4
成绩 cheng2ji4
城市 cheng2shi4
衬衫 chen4shan1
厨房 chu2fang2
春 chun1
出租车 chu1zu1che1
词典 ci2dian3
词语 ci2yu3
蛋糕 dan4gao1
打算 da3suan4
灯 deng1
电脑 dian4nao3
电视 dian4shi4
电梯 dian4ti1
电影 dian4ying3
电子邮件 "dian4zi3 you2jian4"
地方 di4fang5
地铁 di4tie3
地图 di4tu2
东 dong1
冬 dong1
动物 dong4wu4
东西 dong1xi5
耳朵 er3duo5
飞机 fei1ji1
附近 fu4jin4
刚才 gang1cai2
个子 ge4zi5
公园 gong1yuan2
狗 gou3
关系 guan1xi5
国家 guo2jia1
过去 guo4qu4
果汁 guo3zhi1
故事 gu4shi5
河 he2
黑板 hei1ban3
后来 hou4lai2
花 hua1
画 hua4
黄河 Huang2He2
环境 huan2jing4
花园 hua1yuan2
会议 hui4yi4
护照 hu4zhao4
脚 jiao3
街道 jie1dao4
节目 jie2mu4
节日 jie2ri4
机会 ji1hui4
季节 ji4jie2
经理 jing1li3
句子 ju4zi5
客人 ke4ren2
空调 kong1tiao2
口 kou3
筷子 kuai4zi5
裤子 ku4zi5
脸 lian3
练习 lian4xi2
邻居 lin2ju1
历史 li4shi3
礼物 li3wu4
楼 lou2
路 lu4
马 ma3
猫 mao1
帽子 mao4zi5
门 men2
米 mi3
面包 mian4bao1
面条 mian4tiao2
奶奶 nai3nai5
南 nan2
年级 nian2ji2
鸟 niao3
盘子 pan2zi5
票 piao4
啤酒 pi2jiu3
瓶子 ping2zi5
皮鞋 pi2xie2
葡萄 pu2tao5
普通话 pu3tong1hua4
钱 qian2
铅笔 qian1bi3
秋 qiu1
裙子 qun2zi5
伞 san3
声音 sheng1yin1
世界 shi4jie4
手机 shou3ji1
书 shu1
树 shu4
水平 shui3ping2
叔叔 shu1shu5
数学 shu4xue2
司机 si1ji1
太阳 tai4yang2
糖 tang2
天气 tian1qi4
体育 ti3yu4
同事 tong2shi4
头发 tou2fa5
腿 tui3
图书馆 tu2shu1guan3
碗 wan3
文化 wen2hua4
问题 wen4ti2
西 xi1
夏 xia4
香蕉 xiang1jiao1
先生 xian1sheng5
校长 xiao4zhang3
习惯 xi2guan4
信 xin4
行李箱 xing2li5xiang1
兴趣 xing4qu4
新闻 xin1wen2
信用卡 xin4yong4ka3
熊猫 xiong2mao1
洗手间 xi3shou3jian1
选择 xuan3ze2
雪 xue3
眼镜 yan3jing4
眼睛 yan3jing5
要求 yao1qiu2
爷爷 ye2ye5
衣服 yi1fu5
以后 yi3hou4
一会儿 yi1hui4
影响 ying3xiang3
银行 yin2hang2
饮料 yin3liao4
音乐 yin1yue4
以前 yi3qian2
游戏 you2xi4
鱼 yu2
月亮 yue4liang5
照片 zhao4pian4
照相机 zhao4xiang4ji1
中间 zhong1jian1
中文 Zhong1wen2
周末 zhou1mo4
字典 zi4dian3
自行车 zi4xing2che1
嘴 zui3
最后 zui4hou4
最近 zui4jin4
作业 zuo4ye4
作用 zuo4yong4
爱情 ai4qing2
安排 an1pai2
安全 an1quan2
包子 bao1zi5
表格 biao3ge2
表演 biao3yan3
标准 biao1zhun3
饼干 bing3gan1
博士 bo2shi4
部分 bu4fen5
材料 cai2liao4
餐厅 can1ting1
厕所 ce4suo3
长城 Chang2cheng2
长江 chang2jiang1
成功 cheng2gong1
窗户 chuang1hu5
厨房 chu2fang2
词语 ci2yu3
错误 cuo4wu4
答案 da2an4
大夫 dai4fu5
当时 dang1shi2
刀 dao1
导游 dao3you2
大使馆 da4shi3guan3
登机牌 deng1ji1pai2
底 di3
调查 diao4cha2
地点 di4dian3
地球 di4qiu2
地址 di4zhi3
动作 dong4zuo4
短信 duan3xin4
对话 dui4hua4
对面 dui4mian4
肚子 du4zi5
儿童 er2tong2
法律 fa3lü4
房东 fang2dong1
方法 fang1fa3
方面 fang1mian4
方向 fang1xiang4
翻译 fan1yi4
付款 fu4kuan3
父亲 fu4qin5
感觉 gan3jue2
感情 gan3qing2
高速公路 gao1su4gong1lu4
胳膊 ge1bo5
功夫 gong1fu5
工资 gong1zi1
广播 guang3bo1
广告 guang3gao4
关键 guan1jian4
管理 guan3li3
观众 guan1zhong4
规定 gui1ding4
顾客 gu4ke4
鼓励 gu3li4
过程 guo4cheng2
国籍 guo2ji2
国际 guo2ji4
果汁 guo3zhi1
海洋 hai3yang2
汗 han4
航班 hang2ban1
寒假 han2jia4
好处 hao3chu4
号码 hao4ma3
盒子 he2zi5
互联网 Hu4lian2wang3
活动 huo2dong4
护士 hu4shi5
价格 jia4ge2
家具 jia1ju4
奖金 jiang3jin1
将来 jiang1lai2
建议 jian4yi4
郊区 jiao1qu1
教授 jiao4shou4
交通 jiao1tong1
教育 jiao4yu4
饺子 jiao3zi5
加油站 jia1you2zhan4
基础 ji1chu3
节 jie2
结果 jie2guo3
解释 jie3shi4
计划 ji4hua4
警察 jing3cha2
经济 jing1ji4
京剧 jing1ju4
经历 jing1li4
景色 jing3se4
经验 jing1yan4
竞争 jing4zheng1
技术 ji4shu4
记者 ji4zhe3
聚会 ju4hui4
距离 ju4li2
看法 kan4fa3
烤鸭 kao3ya1
客厅 ke4ting1
科学 ke1xue2
空气 kong1qi4
空儿 kong4
矿泉水 kuang4quan2shui3
困难 kun4nan5
垃圾桶 la1ji1tong3
老虎 lao3hu3
联系 lian2xi4
礼拜天 li3bai4tian1
礼貌 li3mao4
零钱 ling2qian2
力气 li4qi5
理想 li3xiang3
律师 lü4shi1
旅行 lü3xing2
麻烦 ma2fan5
毛 mao2
毛巾 mao2jin1
梦 meng4
密码 mi4ma3
民族 min2zu2
目的 mu4di4
母亲 mu3qin1
耐心 nai4xin1
内 nei4
内容 nei4rong2
能力 neng2li4
年龄 nian2ling2
判断 pan4duan4
皮肤 pi2fu1
乒乓球 ping1pang1qiu2
平时 ping2shi2
批评 pi1ping2
脾气 pi2qi5
葡萄 pu2tao5
普通话 pu3tong1hua4
签证 qian1zheng4
桥 qiao2
巧克力 qiao3ke4li4
气候 qi4hou4
情况 qing2kuang4
亲戚 qin1qi5
其中 qi2zhong1
全部 quan2bu4
区别 qu1bie2
缺点 que1dian3
任务 ren4wu5
日记 ri4ji4
入口 ru4kou3
森林 sen1lin2
沙发 sha1fa1
勺子 shao2zi5
社会 she4hui4
省 sheng3
生活 sheng1huo2
生命 sheng1ming4
生意 sheng1yi5
申请 shen1qing3
失败 shi1bai4
师傅 shi1fu5
实际 shi2ji4
世纪 shi4ji4
首都 shou3du1
售货员 shou4huo4yuan2
收入 shou1ru4
数量 shu4liang4
顺序 shun4xu4
说明 shuo1ming2
硕士 shuo4shi4
数字 shu4zi4
速度 su4du4
塑料袋 su4liao4dai4
孙子 sun1zi5
态度 tai4du5
汤 tang1
糖 tang2
讨论 tao3lun4
特点 te4dian3
条件 tiao2jian4
同情 tong2qing2
通知 tong1zhi1
网球 wang3qiu2
网站 wang3zhan4
袜子 wa4zi5
味道 wei4dao4
卫生间 wei4sheng1jian1
危险 wei1xian3
温度 wen1du4
文章 wen2zhang1
误会 wu4hui4
污染 wu1ran3
橡皮 xiang4pi2
现金 xian4jin1
小吃 xiao3chi1
效果 xiao4guo3
笑话 xiao4hua4
