对不起 dui4bu4qi3 "i'm sorry; excuse me; i beg your pardon; to let (sb) down; to disappoint"
工作 gong1zuo4 "to work; (of a machine) to operate; job; work; task"
看见 kan4jian4 "to see; to catch sight of"
没有 mei2you3 "haven't; hasn't; doesn't exist; to not have; to not be"
认识 ren4shi5 "to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition"
睡觉 shui4jiao4 "to go to bed; to sleep"
下雨 xia4yu3 "to rain"
谢谢 xie4xie5 "to thank; thanks; thank you"
喜欢 xi3huan1
学习 xue2xi2 "to learn; to study"
再见 zai4jian4 "goodbye; see you again later"
帮助 bang1zhu4 "assistance; aid; to help; to assist"
唱歌 chang4ge1 "to sing a song"
告诉 gao4su5 "to tell; to inform; to let know"
介绍 jie4shao4 "to introduce (sb to sb); to give a presentation; to present (sb for a job etc); introduction"
觉得 jue2de5 "to think that ...; to feel that ...; to feel (uncomfortable etc)"
开始 kai1shi3 "to begin; beginning; to start; initial"
旅游 lü3you2
跑步 pao3bu4 "to run; to jog; (military) to march at the double"
起床 qi3chuang2 "to get out of bed; to get up"
上班 shang4ban1 "to go to work; to be on duty; to start work; to go to the office"
生病 sheng1bing4 "to fall ill"
说话 shuo1hua4 "to speak; to say; to talk; to gossip; to tell stories; talk; word"
跳舞 tiao4wu3 "to dance"
晚上 wan3shang5 "evening; night; in the evening"
休息 xiu1xi5 "rest; to rest"
游泳 you2yong3 "swimming; to swim"
运动 yun4dong4 "to move; to exercise; sports; exercise; motion; movement; campaign"
知道 zhi1dao4 "to know; to become aware of"
准备 zhun3bei4 "preparation; to prepare; to intend; to be about to; reserve (fund)"
帮忙 bang1mang2 "to help; to lend a hand; to do a favor; to do a good turn"
变化 bian4hua4 "(intransitive) to change; to vary; change; variation"
表示 biao3shi4 "to express; to show; to say; to state; to indicate; to mean"
表演 biao3yan3 "play; show; performance; exhibition; to perform; to act; to demonstrate"
参加 can1jia1 "to participate; to take part; to join"
迟到 chi2dao4 "to arrive late"
出现 chu1xian4 "to appear; to arise; to emerge; to show up"
担心 dan1xin1 "anxious; worried; uneasy; to worry; to be anxious"
打扫 da3sao3 "to clean; to sweep"
打算 da3suan4 "to plan; to intend; to calculate; plan; intention; calculation"
锻炼 duan4lian4 "to toughen; to temper; to engage in physical exercise; to work out; (fig.) to develop one's skills; to train oneself"
放心 fang4xin1 "to feel relieved; to feel reassured; to be at ease"
发烧 fa1shao1 "to have a high temperature (from illness); to have a fever"
发现 fa1xian4 "to notice; to become aware of; to discover; to find; to detect; a discovery"
复习 fu4xi2 "to review; revision"
感冒 gan3mao4 "to catch cold; (common) cold; (coll.) to be interested in (often used in the negative); can't stand"
刮风 gua1feng1 "to be windy"
关心 guan1xin1 "to be concerned about; to care about"
害怕 hai4pa4 "to be afraid; to be scared"
欢迎 huan1ying2 "to welcome; welcome"
回答 hui2da2 "to reply; to answer; reply; answer"
检查 jian3cha2 "inspection; to examine; to inspect"
见面 jian4mian4 "to meet; to see each other"
记得 ji4de5 "to remember"
结婚 jie2hun1 "to marry; to get married"
解决 jie3jue2 "to solve; to resolve; to settle (a problem); to eliminate; to wipe out (an enemy, bandits etc)"
结束 jie2shu4 "termination; to finish; to end; to conclude; to close"
经过 jing1guo4 "to pass; to go through; process; course"
决定 jue2ding4 "to decide (to do something); to resolve; decision; certainly"
练习 lian4xi2 "to practice; exercise; drill; practice"
离开 li2kai1 "to depart; to leave"
了解 liao3jie3 "to understand; to realize; to find out; to understand; to realize; to find out"
聊天 liao2tian1 "to chat; to gossip"
留学 liu2xue2 "to study abroad"
满意 man3yi4 "satisfied; pleased; to one's satisfaction"
明白 ming2bai5 "clear; obvious; unequivocal; to understand; to realize"
爬山 pa2shan1 "to climb a mountain; to mountaineer; hiking; mountaineering"
起床 qi3chuang2 "to get out of bed; to get up"
起飞 qi3fei1 "(of an aircraft) to take off"
起来 qi3lai2
请假 qing3jia4 "to request leave of absence"
认为 ren4wei2 "to believe; to think; to consider; to feel"
上网 shang4wang3 "to go online; to connect to the internet; (of a document etc) to be uploaded to the internet; (tennis, volleyball etc) to move in close to the net"
生气 sheng1qi4 "to get angry; to take offense; angry; vitality; liveliness"
刷牙 shua1ya2 "to brush one's teeth"
提高 ti2gao1 "to raise; to increase; to improve"
同意 tong2yi4 "to agree; to consent; to approve"
完成 wan2cheng2 "to complete; to accomplish"
忘记 wang4ji4 "to forget"
相信 xiang1xin4 "to be convinced (that sth is true); to believe; to accept sth as true"
洗澡 xi3zao3 "to bathe; to take a shower"
选择 xuan3ze2 "to select; to pick; choice; option; alternative"
学习 xue2xi2 "to learn; to study"
需要 xu1yao4 "to need; to want; to demand; to require; needs"
要求 yao1qiu2 "to request; to require; requirement; to stake a claim; to ask; to demand"
应该 ying1gai1 "ought to; should; must"
以为 yi3wei2
愿意 yuan4yi4 "to wish; to want; ready; willing (to do sth)"
遇到 yu4dao4 "to meet; to run into; to come across"
再见 zai4jian4 "goodbye; see you again later"
照顾 zhao4gu5 "to take care of; to show consideration; to attend to; to look after"
注意 zhu4yi4 "to take note of; to pay attention to"
安排 an1pai2 "to arrange; to plan; to set up; arrangements; plans"
保护 bao3hu4 "to protect; to defend; to safeguard; protection"
报名 bao4ming2 "to sign up; to enter one's name; to apply; to register; to enroll; to enlist"
抱歉 bao4qian4 "to be sorry; to feel apologetic"
保证 bao3zheng4 "guarantee; to guarantee; to ensure; to safeguard; to pledge"
表示 biao3shi4 "to express; to show; to say; to state; to indicate; to mean"
表演 biao3yan3 "play; show; performance; exhibition; to perform; to act; to demonstrate"
表扬 biao3yang2 "to praise; to commend"
比如 bi3ru2 "for example; for instance; such as"
毕业 bi4ye4 "graduation; to graduate; to finish school"
参观 can1guan1 "to look around; to tour; to visit"
超过 chao1guo4 "to surpass; to exceed; to outstrip"
成功 cheng2gong1 "success; to succeed"
成为 cheng2wei2 "to become; to turn into"
乘坐 cheng2zuo4 "to ride (in a vehicle)"
吃惊 chi1jing1 "to be startled; to be shocked; to be amazed"
抽烟 chou1yan1 "to smoke (a cigarette, tobacco)"
传真 chuan2zhen1 "fax; facsimile"
出差 chu1chai1 "to go on an official or business trip"
出发 chu1fa1 "to set off; to start (on a journey)"
出生 chu1sheng1 "to be born"
出现 chu1xian4 "to appear; to arise; to emerge; to show up"
打扮 da3ban5 "to decorate; to dress; to make up; to adorn; manner of dressing; style of dress"
道歉 dao4qian4 "to apologize"
打扰 da3rao3 "to disturb; to bother; to trouble"
打印 da3yin4 "to affix a seal; to stamp; to print out (with a printer)"
打折 da3zhe2 "to give a discount"
打针 da3zhen1 "to give or have an injection"
调查 diao4cha2 "investigation; inquiry; to investigate; to survey; survey; (opinion) poll"
堵车 du3che1 "traffic jam; (of traffic) to get congested"
对话 dui4hua4 "to talk (with sb); dialogue; conversation"
反对 fan3dui4 "to fight against; to oppose; to be opposed to; opposition"
放弃 fang4qi4 "to renounce; to abandon; to give up"
放松 fang4song1 "to relax; to slacken; to loosen"
翻译 fan1yi4 "to translate; to interpret; translator; interpreter; translation; interpretation"
发生 fa1sheng1 "to happen; to occur; to take place; to break out"
发展 fa1zhan3 "development; growth; to develop; to grow; to expand"
丰富 feng1fu4 "to enrich; rich; plentiful; abundant"
符合 fu2he2 "in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle"
付款 fu4kuan3 "to pay a sum of money; payment"
复印 fu4yin4 "to photocopy; to duplicate a document"
负责 fu4ze2 "to be in charge of; to take responsibility for; to be to blame; conscientious"
改变 gai3bian4 "to change; to alter; to transform"
干杯 gan1bei1 "to drink a toast; lit. dry cup"
感动 gan3dong4 "to move (sb); to touch (sb emotionally); moving"
感谢 gan3xie4 "(express) thanks; gratitude; grateful; thankful; thanks"
购物 gou4wu4 shopping
广播 guang3bo1 "broadcast; broadcasting; to broadcast; (formal) to propagate; to publicize"
管理 guan3li3 "to supervise; to manage; to administer; management; administration"
规定 gui1ding4 "to stipulate; to specify; to prescribe; to fix (a price); to set (a quota); regulations; rules; provisions; stipulations"
估计 gu1ji4 "to estimate; to reckon; (coll.) to suppose"
鼓励 gu3li4 "to encourage"
害羞 hai4xiu1 "shy; embarrassed; bashful"
合格 he2ge2 "to meet the standard required; qualified; eligible (voter etc)"
后悔 hou4hui3 "to regret; to feel remorse"
怀疑 huai2yi2 "to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions; to suspect that"
回忆 hui2yi4 "to recall; memories"
获得 huo4de2 "to obtain; to receive; to get"
加班 jia1ban1 "to work overtime"
坚持 jian1chi2 "to persevere with; to persist in; to insist on"
减肥 jian3fei2 "to lose weight"
降低 jiang4di1 "to reduce; to lower; to bring down"
降落 jiang4luo4 "to descend; to land"
减少 jian3shao3 "to lessen; to decrease; to reduce; to lower"
建议 jian4yi4 "to propose; to suggest; to recommend; proposal; suggestion; recommendation"
交流 jiao1liu2 "to exchange; exchange; communication; interaction; to have social contact (with sb)"
教育 jiao4yu4 "to educate; to teach; education"
解释 jie3shi4 "explanation; to explain; to interpret; to resolve"
接受 jie1shou4 "to accept; to receive"
节约 jie2yue1 "to economize; to conserve (resources); economy; frugal"
计划 ji4hua4 "plan; project; program; to plan; to map out"
