爱 ai4
吃 chi1
读 du2
对不起 dui4bu4qi3
工作 gong1zuo4
喝 he1
回 hui2
叫 jiao4
开 kai1
看 kan4
看见 kan4jian4
来 lai2
没有 mei2you3
买 mai3
请 qing3
去 qu4
认识 ren4shi5
是 shi4
睡觉 shui4jiao4
说 shuo1
听 ting1
下雨 xia4yu3
写 xie3
谢谢 xie4xie5
喜欢 xi3huan1
学习 xue2xi2
有 you3
再见 zai4jian4
住 zhu4
做 zuo4
坐 zuo4
帮助 bang1zhu4
唱歌 chang4ge1
出 chu1
穿 chuan1
到 dao4
等 deng3
懂 dong3
告诉 gao4su5
给 gei3
介绍 jie4shao4
进 jin4
觉得 jue2de5
开始 kai1shi3
离 li2
旅游 lü3you2
卖 mai4
跑步 pao3bu4
起床 qi3chuang2
让 rang4
上班 shang4ban1
生病 sheng1bing4
说话 shuo1hua4
送 song4
跳舞 tiao4wu3
完 wan2
玩 wan2
晚上 wan3shang5
问 wen4
笑 xiao4
姓 xing4
休息 xiu1xi5
游泳 you2yong3
运动 yun4dong4
找 zhao3
知道 zhi1dao4
准备 zhun3bei4
走 zou3
搬 ban1
帮忙 bang1mang2
变化 bian4hua4
表示 biao3shi4
表演 biao3yan3
参加 can1jia1
差 cha4
迟到 chi2dao4
出现 chu1xian4
带 dai4
担心 dan1xin1
打扫 da3sao3
打算 da3suan4
懂 dong3
锻炼 duan4lian4
发 fa1
放 fang4
放心 fang4xin1
发烧 fa1shao1
发现 fa1xian4
分 fen1
复习 fu4xi2
敢 gan3
感冒 gan3mao4
刮风 gua1feng1
关 guan1
关心 guan1xin1
过 guo4
害怕 hai4pa4
花 hua1
画 hua4
还 huan2
换 huan4
欢迎 huan1ying2
回答 hui2da2
检查 jian3cha2
讲 jiang3
见面 jian4mian4
教 jiao1
记得 ji4de5
接 jie1
借 jie4
结婚 jie2hun1
解决 jie3jue2
结束 jie2shu4
经过 jing1guo4
决定 jue2ding4
哭 ku1
练习 lian4xi2
离开 li2kai1
了解 liao3jie3
聊天 liao2tian1
留学 liu2xue2
卖 mai4
满意 man3yi4
明白 ming2bai5
拿 na2
爬山 pa2shan1
骑 qi2
起床 qi3chuang2
起飞 qi3fei1
起来 qi3lai2
请 qing3
请假 qing3jia4
认为 ren4wei2
上网 shang4wang3
生气 sheng1qi4
使 shi3
试 shi4
刷牙 shua1ya2
疼 teng2
提高 ti2gao1
同意 tong2yi4
完成 wan2cheng2
忘记 wang4ji4
像 xiang4
相信 xiang1xin4
洗澡 xi3zao3
选择 xuan3ze2
学习 xue2xi2
需要 xu1yao4
要求 yao1qiu2
应该 ying1gai1
以为 yi3wei2
用 yong4
愿意 yuan4yi4
遇到 yu4dao4
再见 zai4jian4
站 zhan4
长 zhang3
照顾 zhao4gu5
祝 zhu4
注意 zhu4yi4
安排 an1pai2
抱 bao4
保护 bao3hu4
报名 bao4ming2
抱歉 bao4qian4
保证 bao3zheng4
表示 biao3shi4
表演 biao3yan3
表扬 biao3yang2
比如 bi3ru2
毕业 bi4ye4
擦 ca1
猜 cai1
参观 can1guan1
尝 chang2
超过 chao1guo4
成功 cheng2gong1
成为 cheng2wei2
乘坐 cheng2zuo4
吃惊 chi1jing1
抽烟 chou1yan1
传真 chuan2zhen1
出差 chu1chai1
出发 chu1fa1
出生 chu1sheng1
出现 chu1xian4
存 cun2
打扮 da3ban5
戴 dai4
倒 dao3
道歉 dao4qian4
打扰 da3rao3
打印 da3yin4
打折 da3zhe2
打针 da3zhen1
掉 diao4
调查 diao4cha2
丢 diu1
堵车 du3che1
对话 dui4hua4
反对 fan3dui4
放弃 fang4qi4
放松 fang4song1
翻译 fan1yi4
发生 fa1sheng1
发展 fa1zhan3
丰富 feng1fu4
符合 fu2he2
付款 fu4kuan3
复印 fu4yin4
负责 fu4ze2
改变 gai3bian4
赶 gan3
敢 gan3
干 gan4
干杯 gan1bei1
感动 gan3dong4
感谢 gan3xie4
够 gou4
购物 gou4wu4
挂 gua4
逛 guang4
广播 guang3bo1
管理 guan3li3
规定 gui1ding4
估计 gu1ji4
鼓励 gu3li4
害羞 hai4xiu1
合格 he2ge2
后悔 hou4hui3
怀疑 huai2yi2
回忆 hui2yi4
获得 huo4de2
寄 ji4
加班 jia1ban1
坚持 jian1chi2
减肥 jian3fei2
降低 jiang4di1
降落 jiang4luo4
减少 jian3shao3
建议 jian4yi4
交 jiao1
交流 jiao1liu2
教育 jiao4yu4
解释 jie3shi4
接受 jie1shou4
节约 jie2yue1
计划 ji4hua4
积累 ji1lei3
经历 jing1li4
竞争 jing4zheng1
镜子 jing4zi5
进行 jin4xing2
禁止 jin4zhi3
继续 ji4xu4
举 ju3
举办 ju3ban4
聚会 ju4hui4
拒绝 ju4jue2
举行 ju3xing2
考虑 kao3lü4
咳嗽 ke2sou5
拉 la1
来不及 lai2bu5ji2
来得及 lai2de5ji2
来自 lai2zi4
浪费 lang4fei4
联系 lian2xi4
理发 li3fa4
理解 li3jie3
例如 li4ru2
留 liu2
流行 liu2xing2
旅行 lü3xing2
麻烦 ma2fan5
满 man3
免费 mian3fei4
迷路 mi2lu4
弄 nong4
排队 pai2dui4
排列 pai2lie4
判断 pan4duan4
陪 pei2
骗 pian4
批评 pi1ping2
破 po4
敲 qiao1
取 qu3
缺少 que1shao3
扔 reng1
散步 san4bu4
商量 shang1liang5
